index,part,slide_id,source_file,tcga_case_id,best_cluster,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
0,part00,TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,_tmp_merge_shard00/part00/slide_embedding_TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D_20260430_v1.npy,TCGA-3C-AALJ,C2,10.537342,-12.70859,5.8237934,-8.066791,-1.4014593,-9.550841,0.2767228,2.893036,-5.7441134,-3.653024
1,part00,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,_tmp_merge_shard00/part00/slide_embedding_TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53_20260430_v1.npy,TCGA-3C-AALK,C2,8.302228,3.8773685,11.681808,-6.0238748,6.3548303,-6.1835213,-5.5031314,5.430067,-1.2534986,4.567412
2,part00,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,_tmp_merge_shard00/part00/slide_embedding_TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9_20260430_v1.npy,TCGA-4H-AAAK,C0,-2.942883,-9.721299,5.482168,-7.9650116,-10.425283,-0.654959,11.822056,-9.085107,1.491207,3.1780832
3,part00,TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,_tmp_merge_shard00/part00/slide_embedding_TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D_20260430_v1.npy,TCGA-5L-AAT1,C0,1.1492778,3.7231321,11.19524,-2.0831664,-0.10852594,-7.4606905,1.4012054,-5.6067905,6.689371,13.0389
4,part00,TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,_tmp_merge_shard00/part00/slide_embedding_TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_20260430_v1.npy,TCGA-A1-A0SE,C2,5.028464,10.47238,7.0142846,-0.423922,6.5884824,9.026867,-7.643807,-0.8731355,-5.5095863,7.5282516
5,part00,TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,_tmp_merge_shard00/part00/slide_embedding_TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_20260430_v1.npy,TCGA-A1-A0SF,C2,10.789478,3.286663,3.8432853,-4.2003245,1.1444956,12.569864,-6.2360725,1.6011897,-5.2691545,9.281115
6,part00,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297,_tmp_merge_shard00/part00/slide_embedding_TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_20260430_v1.npy,TCGA-A1-A0SK,C2,4.499502,-4.231731,-10.207338,2.6669087,0.59478766,-1.6949348,-4.0658927,-1.4411372,-1.722713,-3.62689
7,part00,TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78,_tmp_merge_shard00/part00/slide_embedding_TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_20260430_v1.npy,TCGA-A1-A0SM,C2,9.420615,2.0574155,3.0264037,-1.9308962,-0.210803,5.0238137,-6.989281,1.603613,-7.487439,5.5875754
8,part00,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4,_tmp_merge_shard00/part00/slide_embedding_TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4_20260430_v1.npy,TCGA-A2-A04Q,C2,-0.097087435,16.245209,3.126472,-6.7320533,3.645011,5.7422,-19.610811,-2.4344263,-5.6004066,-4.010944
9,part00,TCGA-A2-A04W-01Z-00-DX1.F7E7B945-2ADC-4741-8FCE-ACEA657DB9C7,_tmp_merge_shard00/part00/slide_embedding_TCGA-A2-A04W-01Z-00-DX1.F7E7B945-2ADC-4741-8FCE-ACEA657DB9C7_20260430_v1.npy,TCGA-A2-A04W,C2,10.0215845,1.9058656,-6.797333,-8.765477,-1.5601035,-5.801489,6.609803,-2.787623,0.079085566,-1.4274927
10,part00,TCGA-A2-A04Y-01Z-00-DX1.4DC97AD6-4806-4A3A-A998-FD36F93590A4,_tmp_merge_shard00/part00/slide_embedding_TCGA-A2-A04Y-01Z-00-DX1.4DC97AD6-4806-4A3A-A998-FD36F93590A4_20260430_v1.npy,TCGA-A2-A04Y,C2,10.220581,7.7288575,2.0102444,-9.4095745,2.888061,17.831259,-5.624534,4.3201714,3.2442849,-4.9170365
