source_key,url
nci_crc_drugs,https://www.cancer.gov/about-cancer/treatment/drugs/colorectal
irinotecan_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7a30d551-9ea7-47ea-9073-f541bff457a3
gemcitabine_nci,https://www.cancer.gov/about-cancer/treatment/drugs/gemcitabinehydrochloride
gemcitabine_rectal_phase2,https://pubmed.ncbi.nlm.nih.gov/35146939/
gemcitabine_mcrc,https://pubmed.ncbi.nlm.nih.gov/26885049/
trametinib_nci,https://www.cancer.gov/about-cancer/treatment/drugs/trametinib
trametinib_ulixertinib_crc_case,https://pmc.ncbi.nlm.nih.gov/articles/PMC6954994/
pd0325901_crc_trial,https://clinicaltrials.gov/study/NCT02510001
pd0325901_crc_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC7156736/
pd0325901_crc_preclinical,https://pmc.ncbi.nlm.nih.gov/articles/PMC4234626/
mg132_colon_pubmed,https://pubmed.ncbi.nlm.nih.gov/18414391/
bi2536_phase1,https://pubmed.ncbi.nlm.nih.gov/18955456/
bi2536_pancreas_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC3394983/
hsp90_crc_pubmed,https://pubmed.ncbi.nlm.nih.gov/25296971/
avagacestat_gsi_review,https://pubmed.ncbi.nlm.nih.gov/33284507/
ro4929097_crc_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC4522922/
fulvestrant_fda,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-capivasertib-fulvestrant-breast-cancer
esr1_crc_pubmed,https://pubmed.ncbi.nlm.nih.gov/32266127/
mycophenolic_crc_pubmed,https://pubmed.ncbi.nlm.nih.gov/8640790/
mycophenolate_label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s049s051%2C050723s049s051%2C050758s047s049%2C050759s054s056lbl.pdf
azd8055_colon_pubmed,https://pubmed.ncbi.nlm.nih.gov/29491070/
azd8055_crc_pubmed,https://pubmed.ncbi.nlm.nih.gov/24163374/
elesclomol_crc_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC8637554/
