canonical_drug_id,drug_name,admet_filtered_rank,crc_4tier,best_match_score,mean_match_score,matched_cluster_count,best_clusters,matched_keywords,target,target_pathway,admet_verdict,admet_adjusted_score,classification_status
1088,Irinotecan,3,Tier1,8,8.0,4,MSI/MMR-enriched CRC-like cluster,tier1/admet/driver:TP53/pathway/cluster_context,TOP1,DNA replication,PASS,0.9470748299319728,protocol_prior_needs_current_regulatory_verification
1060,PD0325901,2,Tier2,6,6.0,4,MSI/MMR-enriched CRC-like cluster,tier2/admet/driver:KRAS/pathway/cluster_context,"MEK1, MEK2",ERK MAPK signaling,PASS,0.960374149659864,protocol_prior_needs_current_regulatory_verification
1372,Trametinib,8,Tier2,6,6.0,4,MSI/MMR-enriched CRC-like cluster,tier2/admet/driver:KRAS/pathway/cluster_context,"MEK1, MEK2",ERK MAPK signaling,PASS,0.8724149659863946,protocol_prior_needs_current_regulatory_verification
2047,Ulixertinib,15,Tier3,6,6.0,4,MSI/MMR-enriched CRC-like cluster,tier3/admet/driver:KRAS/pathway/cluster_context,"ERK1, ERK2",ERK MAPK signaling,PASS,0.7845238095238096,provisional_im4c_remap_needs_current_regulatory_verification
1862,MG-132,1,Tier3,5,5.0,4,MSI/MMR-enriched CRC-like cluster,tier3/admet/driver:TP53/pathway,"Proteasome, CAPN1",Protein stability and degradation,PASS,0.9860544217687076,provisional_im4c_remap_needs_current_regulatory_verification
1190,Gemcitabine,12,Tier3,5,5.0,4,MSI/MMR-enriched CRC-like cluster,tier3/admet/driver:TP53/cluster_context,Pyrimidine antimetabolite,DNA replication,PASS,0.8020408163265307,provisional_im4c_remap_needs_current_regulatory_verification
1059,AZD8055,14,Tier3,5,4.0,4,MSI/MMR-enriched CRC-like cluster,tier3/admet/driver:PIK3CA/pathway | tier3/admet/pathway,"MTORC1, MTORC2",PI3K/MTOR signaling,PASS,0.7928571428571429,provisional_im4c_remap_needs_current_regulatory_verification
1170,CCT-018159,5,Tier3,4,4.0,4,MSI/MMR-enriched CRC-like cluster,tier3/admet/driver:TP53,HSP90,Protein stability and degradation,PASS,0.9253401360544218,provisional_im4c_remap_needs_current_regulatory_verification
1031,Elesclomol,13,Tier3,4,4.0,4,MSI/MMR-enriched CRC-like cluster,tier3/admet/driver:TP53,HSP90,Protein stability and degradation,PASS,0.795748299319728,provisional_im4c_remap_needs_current_regulatory_verification
1086,BI-2536,4,Tier4,1,1.0,4,MSI/MMR-enriched CRC-like cluster,admet,"PLK1, PLK2, PLK3",Cell cycle,PASS,0.9412925170068028,provisional_im4c_remap_needs_current_regulatory_verification
1239,YK-4-279,6,Tier4,1,1.0,4,MSI/MMR-enriched CRC-like cluster,admet,RNA helicase A,Other,PASS,0.9071428571428573,provisional_im4c_remap_needs_current_regulatory_verification
1072,Avagacestat,7,Tier4,1,1.0,4,MSI/MMR-enriched CRC-like cluster,admet,"Amyloid beta20, Amyloid beta40",Other,PASS,0.8873809523809524,provisional_im4c_remap_needs_current_regulatory_verification
1816,Fulvestrant,9,Tier4,1,1.0,4,MSI/MMR-enriched CRC-like cluster,admet,ESR,Hormone-related,PASS,0.8545238095238097,provisional_im4c_remap_needs_current_regulatory_verification
1845,Schweinfurthin A,10,Tier4,1,1.0,4,MSI/MMR-enriched CRC-like cluster,admet,,Unclassified,PASS,0.8189795918367349,provisional_im4c_remap_needs_current_regulatory_verification
2055,Mycophenolic acid,11,Tier4,1,1.0,4,MSI/MMR-enriched CRC-like cluster,admet,,Unclassified,PASS,0.8120748299319727,provisional_im4c_remap_needs_current_regulatory_verification
