admet_filtered_rank,drug_name,canonical_drug_id,admet_adjusted_score,final_selection_score,admet_strict_pass,admet_good_signal_count,image_modal_matched,cluster_evidence_matched,provisional_crc_4tier,classification_status,provisional_tier_rationale,image_crc_4tier,image_crc_4tier_rationale,image_drug_name,image_target,image_target_pathway,image_prior_rank,image_clinical_tier,image_verdict,image_safety_score,image_admet_category,image_cluster_count,image_clusters,image_dominant_drivers,image_biology_hypotheses,image_drug_hypotheses,image_match_score_max,image_match_score_mean,finalization_note,mean_y_pred,mean_y_true,std_y_pred,n_pairs,pred_top5_rate,pred_top10_rate,pred_top20_rate,canonical_smiles,has_smiles,putative_target,pathway_name,drug__target_list,drug_name_normalized,final_rank,rdkit_valid_smiles,mol_weight,logp,tpsa,hbd,hba,rot_bonds,pains_alert_count,lipinski_violations,admet_ames_nearest_y,admet_ames_nearest_similarity,admet_ames_good_flag,admet_dili_nearest_y,admet_dili_nearest_similarity,admet_dili_good_flag,admet_herg_nearest_y,admet_herg_nearest_similarity,admet_herg_good_flag,admet_hia_hou_nearest_y,admet_hia_hou_nearest_similarity,admet_hia_hou_good_flag,admet_bioavailability_ma_nearest_y,admet_bioavailability_ma_nearest_similarity,admet_bioavailability_ma_good_flag,admet_pgp_broccatelli_nearest_y,admet_pgp_broccatelli_nearest_similarity,admet_pgp_broccatelli_good_flag,admet_caco2_wang_nearest_y,admet_caco2_wang_nearest_similarity,admet_caco2_wang_good_flag,admet_half_life_obach_nearest_y,admet_half_life_obach_nearest_similarity,admet_half_life_obach_good_flag,admet_solubility_aqsoldb_nearest_y,admet_solubility_aqsoldb_nearest_similarity,admet_solubility_aqsoldb_good_flag,admet_lipophilicity_astrazeneca_nearest_y,admet_lipophilicity_astrazeneca_nearest_similarity,admet_lipophilicity_astrazeneca_good_flag,admet_clearance_hepatocyte_az_nearest_y,admet_clearance_hepatocyte_az_nearest_similarity,admet_clearance_hepatocyte_az_good_flag,admet_clearance_microsome_az_nearest_y,admet_clearance_microsome_az_nearest_similarity,admet_clearance_microsome_az_good_flag,admet_vdss_lombardo_nearest_y,admet_vdss_lombardo_nearest_similarity,admet_vdss_lombardo_good_flag,admet_ppbr_az_nearest_y,admet_ppbr_az_nearest_similarity,admet_ppbr_az_good_flag,admet_ld50_zhu_nearest_y,admet_ld50_zhu_nearest_similarity,admet_ld50_zhu_good_flag,admet_cyp2c9_veith_nearest_y,admet_cyp2c9_veith_nearest_similarity,admet_cyp2c9_veith_good_flag,admet_cyp2d6_veith_nearest_y,admet_cyp2d6_veith_nearest_similarity,admet_cyp2d6_veith_good_flag,admet_cyp3a4_veith_nearest_y,admet_cyp3a4_veith_nearest_similarity,admet_cyp3a4_veith_good_flag,admet_cyp2c9_substrate_carbonmangels_nearest_y,admet_cyp2c9_substrate_carbonmangels_nearest_similarity,admet_cyp2c9_substrate_carbonmangels_good_flag,admet_cyp2d6_substrate_carbonmangels_nearest_y,admet_cyp2d6_substrate_carbonmangels_nearest_similarity,admet_cyp2d6_substrate_carbonmangels_good_flag,admet_cyp3a4_substrate_carbonmangels_nearest_y,admet_cyp3a4_substrate_carbonmangels_nearest_similarity,admet_cyp3a4_substrate_carbonmangels_good_flag,admet_bbb_martins_nearest_y,admet_bbb_martins_nearest_similarity,admet_bbb_martins_good_flag,drug_name_norm_join,image_canonical_drug_id,image_tier,image_tier_rationale,image_cluster_admet_verdict,image_cluster_safety_score
1,MG-132,1862,0.9860544217687076,0.9860544217687076,True,1,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,-0.84913605,-1.2517877,1.2127569,24,0.9583333333333334,1.0,1.0,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1,"Proteasome, CAPN1",Protein stability and degradation,,mg-132,5,1,475.6300000000002,3.5882000000000014,113.6,3,5,14,0,0,0.0,0.4032258064516129,0,1.0,0.3285714285714285,0,1.0,0.2659574468085106,0,1.0,0.2857142857142857,0,1.0,0.2857142857142857,0,0.0,0.2571428571428571,0,-5.2142239,0.4727272727272727,0,12.0,0.2549019607843137,0,-3.74,0.4310344827586206,0,2.6,0.4363636363636363,0,91.0,0.2575757575757575,0,3.0,0.28125,0,0.13,0.3461538461538461,0,81.01,0.4901960784313725,0,1.796,0.425531914893617,0,0.0,0.7843137254901961,1,0.0,0.6037735849056604,0,1.0,0.7843137254901961,0,1.0,0.3285714285714285,0,1.0,0.3285714285714285,0,1.0,0.3285714285714285,0,1.0,0.328125,0,mg 132,,,,,
2,PD0325901,1060,0.960374149659864,0.960374149659864,True,0,True,True,Tier2,needs_current_regulatory_verification,carried_forward_from_existing_coad_image_modal_protocol_prior,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.,PD0325901,"MEK1, MEK2",ERK MAPK signaling,22.0,Tier3,WARNING,5.0,Caution,4.0,MSI/MMR-enriched CRC-like cluster,TP53;APC;KRAS | APC;TP53;KRAS;PIK3CA | APC;TP53;KRAS | TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",PD0325901 may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | PD0325901 may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | PD0325901 may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | PD0325901 may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,1.0,1.0,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,0.65226763,-0.83045083,0.6583384,24,0.0416666666666666,0.4166666666666667,0.8333333333333334,[H][C@@](O)(CO)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1,1,"MEK1, MEK2",ERK MAPK signaling,,pd0325901,7,1,482.196,2.4667000000000003,90.82,4,5,7,0,0,1.0,0.2545454545454545,0,0.0,0.2258064516129032,0,0.0,0.2112676056338028,0,1.0,0.2758620689655172,0,1.0,0.2328767123287671,0,1.0,0.2307692307692307,0,-5.9430285000000005,0.2065217391304347,0,1.5,0.2428571428571428,0,-4.54,0.282051282051282,0,3.5,0.282051282051282,0,3.0,0.275,0,3.0,0.275,0,0.2,0.2567567567567567,0,99.05,0.2777777777777778,0,2.036,0.2542372881355932,0,0.0,0.2428571428571428,0,0.0,0.2686567164179104,0,1.0,0.282051282051282,0,0.0,0.2,0,0.0,0.2,0,0.0,0.2,0,1.0,0.2375,0,pd0325901,1060,Tier3,Not used/established for CRC in current protocol context,WARNING,5.0
3,Irinotecan,1088,0.9470748299319728,0.9870748299319728,True,1,True,True,Tier1,needs_current_regulatory_verification,carried_forward_from_existing_coad_image_modal_protocol_prior,Tier1,CRC current/reference therapy or approved biomarker-selected therapy.,Irinotecan,TOP1,DNA replication,24.0,Tier1,PASS,6.4,Candidate,4.0,MSI/MMR-enriched CRC-like cluster,TP53;APC;KRAS | APC;TP53;KRAS;PIK3CA | APC;TP53;KRAS | TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",Irinotecan may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | Irinotecan may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | Irinotecan may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | Irinotecan may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,3.0,3.0,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,-0.8624607,3.9124873,1.1343133,24,0.875,1.0,1.0,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,1,TOP1,DNA replication,,irinotecan,4,1,586.6890000000004,4.0911000000000035,114.2,1,8,4,0,1,0.0,0.211864406779661,0,0.0,0.5161290322580645,0,0.0,0.2547169811320754,0,1.0,0.1926605504587156,0,0.0,1.0,0,0.0,0.4719101123595505,0,-4.1100001000000015,0.4719101123595505,0,9.0,1.0,1,-2.106,0.2333333333333333,0,1.6,0.6385542168674698,0,3.0,1.0,0,13.49,1.0,0,3.5,0.8352941176470589,0,57.99,1.0,0,2.123,0.2359550561797752,0,0.0,0.5106382978723404,0,0.0,0.5106382978723404,0,0.0,0.5106382978723404,0,0.0,1.0,0,0.0,1.0,0,1.0,1.0,0,1.0,0.5161290322580645,0,irinotecan,1088,Tier1,CRC approved drug,PASS,6.4
4,BI-2536,1086,0.9412925170068028,0.9812925170068028,True,1,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,-0.23225905,-0.662989,0.86823833,23,0.1304347826086956,1.0,1.0,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,1,"PLK1, PLK2, PLK3",Cell cycle,,bi-2536,6,1,521.6660000000004,3.5568000000000017,102.93,2,8,7,0,1,0.0,0.2386363636363636,0,1.0,0.24,0,1.0,0.2765957446808511,0,1.0,0.2616822429906542,0,1.0,0.2616822429906542,0,1.0,0.2788461538461538,0,-5.3899999,0.2616822429906542,0,2.2,0.2549019607843137,0,-2.319,0.275,0,3.14,1.0,1,16.22,0.32,0,3.0,0.2688172043010752,0,31.2,0.8441558441558441,0,96.72,0.3238095238095238,0,2.335,0.2674418604651162,0,1.0,0.2916666666666667,0,1.0,0.3764705882352941,0,0.0,0.3764705882352941,0,0.0,0.2616822429906542,0,0.0,0.2616822429906542,0,1.0,0.2616822429906542,0,1.0,0.2765957446808511,0,bi 2536,,,,,
5,CCT-018159,1170,0.9253401360544218,0.9253401360544218,True,0,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,0.51535636,5.4231634,0.9619849,2,0.0,0.5,1.0,CCC1=C(O)C=C(O)C(=C1)C1=C(C(C)=NN1)C1=CC2=C(OCCO2)C=C1,1,HSP90,Protein stability and degradation,,cct-018159,11,1,352.3900000000001,3.7969200000000023,87.60000000000001,3,5,3,0,0,0.0,0.2307692307692307,0,1.0,0.2266666666666666,0,1.0,0.2117647058823529,0,1.0,0.2318840579710145,0,1.0,0.1948051948051948,0,0.0,0.2328767123287671,0,-5.4699998,0.2439024390243902,0,11.0,0.2375,0,-0.6,0.2542372881355932,0,3.5,0.303030303030303,0,41.69,0.2528735632183908,0,44.67,0.2575757575757575,0,7.9,0.225,0,95.53,0.2142857142857142,0,2.41,0.2884615384615384,0,0.0,0.2982456140350877,0,0.0,0.3076923076923077,0,0.0,0.2982456140350877,0,0.0,0.2153846153846154,0,1.0,0.1948051948051948,0,0.0,0.2153846153846154,0,1.0,0.2205882352941176,0,cct 018159,,,,,
6,YK-4-279,1239,0.9071428571428573,0.9071428571428573,True,0,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,0.78937644,2.5066092,1.2938677,24,0.0,0.4166666666666667,0.8333333333333334,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,1,RNA helicase A,Other,,yk-4-279,14,1,366.2,3.414700000000002,75.63,2,4,4,0,0,0.0,0.3571428571428571,0,1.0,0.2769230769230769,0,1.0,0.25,0,1.0,0.25,0,1.0,0.25,0,0.0,0.3333333333333333,0,-4.6900001,0.2686567164179104,0,5.0,0.25,0,-1.0632,0.4042553191489361,0,1.96,0.3584905660377358,0,39.81,0.2777777777777778,0,9.0,0.273972602739726,0,0.1,0.2647058823529412,0,99.92,0.273972602739726,0,1.941,0.3636363636363636,0,0.0,0.3448275862068966,0,0.0,0.3448275862068966,0,0.0,0.320754716981132,0,0.0,0.2461538461538461,0,0.0,0.2686567164179104,0,1.0,0.2461538461538461,0,0.0,0.3137254901960784,0,yk 4 279,,,,,
7,Avagacestat,1072,0.8873809523809524,0.9273809523809524,True,0,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,0.4204179,5.052437,0.70568115,24,0.0,0.625,1.0,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,1,"Amyloid beta20, Amyloid beta40",Other,,avagacestat,10,1,520.8920000000002,3.916400000000003,119.39,1,6,9,0,1,0.0,0.21875,0,1.0,0.2051282051282051,0,1.0,0.1894736842105263,0,1.0,0.2191780821917808,0,1.0,0.2027027027027027,0,1.0,0.2077922077922078,0,-4.5086384000000015,0.233009708737864,0,46.0,0.2051282051282051,0,-2.41,0.2236842105263158,0,2.7,0.2446808510638297,0,150.0,0.2409638554216867,0,94.0,0.2409638554216867,0,0.19,0.2025316455696202,0,98.81,1.0,0,2.784,0.25,0,0.0,0.2432432432432432,0,1.0,0.2531645569620253,0,0.0,0.2432432432432432,0,1.0,0.1976744186046511,0,0.0,0.1976744186046511,0,1.0,0.1976744186046511,0,1.0,0.2077922077922078,0,avagacestat,,,,,
8,Trametinib,1372,0.8724149659863946,0.9124149659863946,True,0,True,True,Tier2,needs_current_regulatory_verification,carried_forward_from_existing_coad_image_modal_protocol_prior,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.,Trametinib,"MEK1, MEK2",ERK MAPK signaling,16.0,Tier2,WARNING,5.15,Caution,4.0,MSI/MMR-enriched CRC-like cluster,TP53;APC;KRAS | APC;TP53;KRAS;PIK3CA | APC;TP53;KRAS | TP53;APC;KRAS;PIK3CA,"MSI/MMR, immune-checkpoint relevance, hypermutated subtype proxy",Trametinib may fit cluster 0 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | Trametinib may fit cluster 1 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | Trametinib may fit cluster 2 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context. | Trametinib may fit cluster 3 (MSI/MMR-enriched CRC-like cluster) via tier/admet/context.,1.0,1.0,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,0.73692924,-2.2669222,0.7442432,24,0.0,0.1666666666666666,0.9583333333333334,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,1,"MEK1, MEK2",ERK MAPK signaling,,trametinib,13,1,615.4029999999999,3.940120000000002,107.13,2,5,5,0,1,0.0,0.2857142857142857,0,0.0,0.2676056338028169,0,0.0,0.2023809523809523,0,1.0,0.2318840579710145,0,1.0,0.2083333333333333,0,1.0,0.209090909090909,0,-4.907450700000001,0.2244897959183673,0,4.5,0.2083333333333333,0,-2.091,0.2857142857142857,0,2.1,0.2631578947368421,0,79.43,0.2162162162162162,0,3.0,0.2307692307692307,0,0.58,0.2083333333333333,0,99.05,1.0,0,1.254,0.2835820895522388,0,0.0,0.3424657534246575,0,0.0,0.3424657534246575,0,0.0,0.3424657534246575,0,0.0,0.2318840579710145,0,0.0,0.2318840579710145,0,0.0,0.2318840579710145,0,1.0,0.2676056338028169,0,trametinib,1372,Tier2,Approved outside CRC and under CRC study (indication expansion),WARNING,5.15
9,Fulvestrant,1816,0.8545238095238097,0.9345238095238096,True,1,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,-0.41631183,4.845918,1.1490004,24,0.0,1.0,1.0,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,1,ESR,Hormone-related,,fulvestrant,8,1,606.7820000000003,8.682600000000003,63.52,2,3,14,0,2,0.0,0.2317073170731707,0,0.0,0.4366197183098591,0,1.0,0.1875,0,1.0,0.3111111111111111,0,0.0,0.2298850574712643,0,1.0,0.2439024390243902,0,-4.7799463,0.188235294117647,0,2.5,0.2298850574712643,0,-4.8789,0.4366197183098591,0,3.72,0.4366197183098591,0,141.0,0.1683168316831683,0,51.0,0.1683168316831683,0,4.15,0.7605633802816901,0,17.28,0.1720430107526881,0,1.781,0.3086419753086419,0,0.0,0.3333333333333333,0,0.0,0.7605633802816901,1,0.0,0.3333333333333333,0,1.0,0.4366197183098591,0,0.0,0.2911392405063291,0,1.0,0.4366197183098591,0,0.0,0.4366197183098591,0,fulvestrant,,,,,
10,Schweinfurthin A,1845,0.8189795918367349,0.8989795918367348,True,0,False,False,Needs image-modal remapping,needs_image_modal_mapping_and_current_regulatory_verification,new_gcs_basic_top15_candidate_not_found_in_existing_coad_image_modal_top30,,,,,,,,,,,,,,,,,,ADMET top15 from new GCS basic pipeline; image/tier evidence carried from existing COAD image-modal outputs only when matched by normalized drug name.,1.1093363,2.6171787,0.7956577,24,0.0,0.0416666666666666,0.8333333333333334,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cc(O)c3c(c2)C[C@@H]2C(C)(C)[C@H](O)[C@H](O)C[C@@]2(C)O3)cc1O,1,,Unclassified,,schweinfurthin a,15,1,548.7200000000004,6.670500000000011,110.38,5,6,7,0,2,0.0,0.2542372881355932,0,0.0,0.2317073170731707,0,0.0,0.1724137931034483,0,1.0,0.2317073170731707,0,0.0,0.2317073170731707,0,0.0,0.2,0,-6.5883503,0.1851851851851851,0,2.5,0.2317073170731707,0,-5.44,0.2588235294117647,0,2.5,0.160919540229885,0,3.24,0.1538461538461538,0,3.0,0.1428571428571428,0,0.99,0.2641509433962264,0,98.4,0.1976744186046511,0,1.535,0.2459016393442623,0,1.0,0.2337662337662337,0,0.0,0.2337662337662337,0,0.0,0.2459016393442623,0,0.0,0.2317073170731707,0,1.0,0.2317073170731707,0,1.0,0.1648351648351648,0,1.0,0.2317073170731707,0,schweinfurthin a,,,,,
