canonical_drug_id,pred_ic50_weighted_mean,prediction_std_mean,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank,raw_rank,tier,tier_rationale,drug_name_display,ensemble_member_std_mean,canonical_smiles,dedup_rank,clinical_tier,safety_score,verdict,n_total_matches,n_exact,n_close_analog,n_analog,pains_alert,mw,logp,hbd,hba,tpsa,rotatable_bonds,admet_coverage,admet_category,smiles,crc_4tier,crc_4tier_rationale
1811,-3.8779856184962926,0.6122776182796288,-4.794112793122428,-2.141869298587387,-2.3932862,35,dactinomycin,Dactinomycin,RNA polymerase,Other,1,1,Tier3,Not used/established for CRC in current protocol context,Dactinomycin,0.6122776182796288,,1,Tier3,4.0,WARNING,5,5,0,0,False,1255.44,0.73,5,18,359.98,8,0.2272727272727272,Caution,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Tier3,Repurposing candidate without current CRC therapy status.
1080,-1.9727778834003955,0.994570164263114,-3.2422048048780447,0.8233452778663641,-2.260472,34,paclitaxel,Paclitaxel,Microtubule stabiliser,Mitosis,2,2,Tier2,Approved outside CRC and under CRC study (indication expansion),Paclitaxel,0.994570164263114,,2,Tier2,4.25,WARNING,12,11,0,1,False,853.92,3.74,4,14,221.29,10,0.5454545454545454,Caution,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
1004,-1.88130152959283,0.8877903561946269,-2.972125143163342,0.4396240209206846,-2.883335,32,vinblastine,Vinblastine,Microtubule destabiliser,Mitosis,3,3,Tier3,Not used/established for CRC in current protocol context,Vinblastine,0.8877903561946269,,3,Tier3,7.0,PASS,12,9,2,1,False,810.99,3.99,3,12,154.1,7,0.5454545454545454,Candidate,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
2048,-1.6594675574451558,0.8887211268890233,-2.7013098666115463,1.06243229498815,-2.8993995,34,vinorelbine,Vinorelbine,Microtubule destabiliser,Mitosis,4,4,Tier2,Approved outside CRC and under CRC study (indication expansion),Vinorelbine,0.8887211268890233,,4,Tier2,7.25,PASS,10,6,0,4,False,778.95,4.75,2,11,133.87,7,0.4545454545454545,Candidate,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
1007,-1.3270215996310566,0.9575443694301804,-2.6757079592681885,1.270446408688791,-3.7785606,35,docetaxel,Docetaxel,Microtubule stabiliser,Mitosis,5,5,Tier2,Approved outside CRC and under CRC study (indication expansion),Docetaxel,0.9575443694301804,,5,Tier2,4.25,WARNING,12,2,3,7,False,861.94,0.79,5,14,318.95,8,0.5454545454545454,Caution,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
1809,-1.1010943237644248,0.9092352016410448,-2.1926845645232595,1.515404746287297,1.8319936,35,teniposide,Teniposide,,DNA replication,6,6,Tier3,Not used/established for CRC in current protocol context,Teniposide,0.9092352016410448,,6,Tier3,3.15,FAIL,18,9,0,9,False,656.66,2.75,3,14,160.83,6,0.8181818181818182,NO_SMILES,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
1016,-0.9397781208459692,0.7418608798334463,-2.0084161137890555,0.9926970667275864,2.0678022,34,temsirolimus,Temsirolimus,MTOR,PI3K/MTOR signaling,7,7,Tier2,Approved outside CRC and under CRC study (indication expansion),Temsirolimus,0.7418608798334463,,7,Tier2,5.5,WARNING,7,3,0,4,False,1030.3,5.72,4,16,241.96,10,0.3181818181818182,Caution,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
1084,-0.7914829007194344,0.7248989367182039,-1.8774746689476705,1.1935458202936435,-1.4873266,33,rapamycin,Rapamycin,MTORC1,PI3K/MTOR signaling,8,8,Tier2,Approved outside CRC and under CRC study (indication expansion),Rapamycin,0.7248989367182039,,8,Tier2,5.5,WARNING,7,2,4,1,False,914.19,6.18,3,13,195.43,6,0.3181818181818182,Caution,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
1024,-0.7814684715852739,0.6189374168063226,-1.4909149862564322,1.1383406414206632,0.1444848,35,lestaurtinib,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",9,9,Tier4,Compound / requires further review,Lestaurtinib,0.6189374168063226,,9,Tier4,5.0,WARNING,0,0,0,0,False,439.47,3.47,3,4,88.65,1,0.0,Caution,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,Tier3,Repurposing candidate without current CRC therapy status.
1014,-0.4660854717227367,0.6198914511230816,-1.2409042248964377,1.3409616542042948,0.4142785,35,refametinib,Refametinib,"MEK1, MEK2",ERK MAPK signaling,10,10,Tier4,Compound / requires further review,Refametinib,0.6198914511230816,,10,Tier4,5.0,WARNING,0,0,0,0,False,572.34,3.48,4,6,107.89,9,0.0,Caution,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,Tier2,CRC-relevant target/pathway or prior protocol evidence for CRC research/indication expansion.
