rank,drug_name,step6_external_match,validation_evidence_tier,step7_decision,notes
1,Dactinomycin,matched,VT3,KEEP_TOP15,
2,Docetaxel,matched,VT3,KEEP_TOP15,
3,Vinorelbine,matched,VT3,KEEP_TOP15,
4,Paclitaxel,matched,VT3,KEEP_TOP15,
5,Temsirolimus,matched,VT3,KEEP_TOP15,
6,Topotecan,matched,VT3,KEEP_TOP15,
7,Vinblastine,unmatched,VT3,REVIEW,
8,SN-38,matched,VT3,KEEP_TOP15,
9,Lestaurtinib,matched,VT3,KEEP_TOP15,
10,SL0101,matched,VT3,KEEP_TOP15,
11,Teniposide,unmatched,VT3,REVIEW,
12,Irinotecan,matched,VT3,KEEP_TOP15,
13,Camptothecin,matched,VT3,KEEP_TOP15,
14,Pyridostatin,unmatched,VT3,REVIEW,
15,Schweinfurthin A,unmatched,VT3,REVIEW,
