Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,assay,task_type,predicted_value,admet_value,probability_positive
1,CHEMBL6059683,Unnamed JAK1 preclinical compound,1,-4.404797301413812,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@@H](C)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,caco2_wang,regression,-4.679140316439284,-4.679140316439284,
2,CHEMBL5945428,Unnamed JAK1 preclinical compound,2,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccncc2)C1,caco2_wang,regression,-4.795256336827111,-4.795256336827111,
3,CHEMBL6020772,Unnamed JAK1 preclinical compound,3,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccnc2)C1,caco2_wang,regression,-4.807213271444573,-4.807213271444573,
4,CHEMBL5956808,Unnamed JAK1 preclinical compound,4,-4.399579280076667,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,caco2_wang,regression,-5.207424934474209,-5.207424934474209,
5,CHEMBL6021211,Unnamed JAK1 preclinical compound,5,-4.387690687283208,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1cc2cc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)ccc2n1,caco2_wang,regression,-5.315987845858358,-5.315987845858358,
6,CHEMBL5777052,Unnamed JAK1 preclinical compound,6,-4.372804416520248,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cncc(F)c2)C1,caco2_wang,regression,-4.8700256871956356,-4.8700256871956356,
7,CHEMBL3652405,Unnamed JAK1 preclinical compound,7,-4.372175927193261,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1,caco2_wang,regression,-5.046483079128708,-5.046483079128708,
8,CHEMBL5885656,Unnamed JAK1 preclinical compound,8,-4.372069936947769,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccc3ncccc23)C1,caco2_wang,regression,-5.391682456657932,-5.391682456657932,
9,CHEMBL5883265,Unnamed JAK1 preclinical compound,9,-4.36987363523634,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccccc2Cl)C1,caco2_wang,regression,-4.918678283292859,-4.918678283292859,
10,CHEMBL5784853,Unnamed JAK1 preclinical compound,10,-4.369612369501382,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cc1,caco2_wang,regression,-4.9381448371754,-4.9381448371754,
