Final_Rank,Drug_Name,ChEMBL_ID,Model_Rank,drug_level_score,Primary_Target,max_phase,Tier,Tier_Description,ADMET_Status,Hard_Fail_Reason,Soft_Flags,IPF_Relevance
1,Nintedanib,CHEMBL502835,8350,-1.13900439821085,PDGFRB,17.828125,Tier1,IPF approved/reference drug,Clinical_Context_Hard_Fail,hERG_prob>0.7 (0.817),DILI_prob>0.5 (0.722); CYP3A4_inhibition_prob>0.5 (0.664); High_hepatocyte_clearance>50 (82.5); High_microsome_clearance>50 (57.9),IPF-approved reference
2,AT-9283,CHEMBL495727,835,-3.279430904509071,FGFR2,,Tier2,Approved or clinical repurposing candidate,Pass_With_Flags,,DILI_prob>0.5 (0.775); CYP3A4_inhibition_prob>0.5 (0.524); Low_Caco2_logPapp<-5.15 (-5.73),Approved/clinical drug hitting IPF-relevant target axis
3,Ruxolitinib,CHEMBL1789941,2001,-2.739619827189386,JAK1,17.828125,Tier2,Approved or clinical repurposing candidate,Pass_With_Flags,,DILI_prob>0.5 (0.669); CYP3A4_inhibition_prob>0.5 (0.518); High_BBB_prob>0.7 (0.762),Approved/clinical drug hitting IPF-relevant target axis
4,Tofacitinib,CHEMBL221959,2885,-2.464100708535658,JAK1,17.828125,Tier2,Approved or clinical repurposing candidate,Pass_With_Flags,,DILI_prob>0.5 (0.645),Approved/clinical drug hitting IPF-relevant target axis
5,Pazopanib,CHEMBL477772,12419,-0.3689907468086709,KDR,17.828125,Tier2,Approved or clinical repurposing candidate,Pass_With_Flags,,DILI_prob>0.5 (0.794); CYP3A4_inhibition_prob>0.5 (0.606); High_hepatocyte_clearance>50 (93.0); High_microsome_clearance>50 (57.1),Approved/clinical drug hitting IPF-relevant target axis
6,Sorafenib,CHEMBL1336,14031,-0.1196366092660834,KDR,17.828125,Tier2,Approved or clinical repurposing candidate,Pass_With_Flags,,DILI_prob>0.5 (0.801); CYP3A4_inhibition_prob>0.5 (0.507); PPB>95% (98.0); Low_Caco2_logPapp<-5.15 (-5.31),Approved/clinical drug hitting IPF-relevant target axis
7,Ponatinib,CHEMBL1171837,887,-3.2458617673888663,PDGFRB,17.828125,Tier2,Approved or clinical repurposing candidate,Clinical_Context_Hard_Fail,hERG_prob>0.7 (0.844),DILI_prob>0.5 (0.740); CYP3A4_inhibition_prob>0.5 (0.577); Low_Caco2_logPapp<-5.15 (-5.28); High_BBB_prob>0.7 (0.738); High_microsome_clearance>50 (54.2),Approved/clinical drug hitting IPF-relevant target axis
8,Sunitinib,CHEMBL535,13857,-0.1375403344708105,PDGFRB,17.828125,Tier2,Approved or clinical repurposing candidate,Clinical_Context_Hard_Fail,hERG_prob>0.7 (0.717),DILI_prob>0.5 (0.639); CYP3A4_inhibition_prob>0.5 (0.513),Approved/clinical drug hitting IPF-relevant target axis
9,Unnamed JAK1 preclinical compound,CHEMBL6059683,1,-4.404797301413812,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.587); CYP3A4_inhibition_prob>0.5 (0.502); High_BBB_prob>0.7 (0.748),High model-ranked JAK1 lead
10,Unnamed JAK1 preclinical compound,CHEMBL5945428,2,-4.402420762619502,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.749); CYP3A4_inhibition_prob>0.5 (0.631); High_BBB_prob>0.7 (0.728),High model-ranked JAK1 lead
11,Unnamed JAK1 preclinical compound,CHEMBL6020772,3,-4.402420762619502,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.743); CYP3A4_inhibition_prob>0.5 (0.722); High_BBB_prob>0.7 (0.718),High model-ranked JAK1 lead
12,Unnamed JAK1 preclinical compound,CHEMBL5956808,4,-4.399579280076667,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.777); CYP3A4_inhibition_prob>0.5 (0.521); Low_Caco2_logPapp<-5.15 (-5.21),High model-ranked JAK1 lead
13,Unnamed JAK1 preclinical compound,CHEMBL6021211,5,-4.387690687283208,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.787); CYP3A4_inhibition_prob>0.5 (0.627); Low_Caco2_logPapp<-5.15 (-5.32),High model-ranked JAK1 lead
14,Unnamed JAK1 preclinical compound,CHEMBL5777052,6,-4.372804416520248,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.767); CYP3A4_inhibition_prob>0.5 (0.640); High_BBB_prob>0.7 (0.702),High model-ranked JAK1 lead
15,Unnamed JAK1 preclinical compound,CHEMBL3652405,7,-4.372175927193261,JAK1,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.604); High_BBB_prob>0.7 (0.720),High model-ranked JAK1 lead
