molecule_chembl_id,target_gene,target_chembl_id,ln_ic50_uM,ic50_nM,pchembl_value,n_measurements
CHEMBL10,TGFBR1,CHEMBL4439,2.8903717578961645,18000.0,4.869999999999999,2
CHEMBL100174,KDR,CHEMBL279,-1.8904754421672127,151.0,6.82,1
CHEMBL100305,PDGFRB,CHEMBL1913,2.388762789235098,10900.0,4.96,1
CHEMBL100523,PDGFRB,CHEMBL1913,-0.0304592074847085,970.0,6.01,1
CHEMBL100542,PDGFRB,CHEMBL1913,0.3646431135879092,1440.0,5.84,1
CHEMBL100735,PDGFRB,CHEMBL1913,-0.4780358009429998,620.0,6.21,1
CHEMBL100736,PDGFRB,CHEMBL1913,-3.218875824868201,40.0,7.4,1
CHEMBL100775,KDR,CHEMBL279,0.2421615571499716,1274.0,5.89,1
CHEMBL100804,PDGFRB,CHEMBL1913,1.0577902941478543,2880.0,5.54,1
CHEMBL100852,PDGFRB,CHEMBL1913,1.6409365794934714,5160.0,5.29,1
CHEMBL101113,PDGFRB,CHEMBL1913,0.1133286853070032,1120.0,5.95,1
CHEMBL101221,KDR,CHEMBL279,-4.135166556742356,16.0,7.8,1
CHEMBL101227,PDGFRB,CHEMBL1913,-1.8325814637483104,160.0,6.8,1
CHEMBL101253,KDR,CHEMBL279,-2.8387285247443264,58.5,7.234999999999999,14
CHEMBL101253,PDGFRB,CHEMBL1913,-0.7133498878774648,490.0,6.31,1
CHEMBL101325,KDR,CHEMBL279,2.1186622548331173,8320.0,5.08,1
CHEMBL101461,KDR,CHEMBL279,-0.5533852381847867,575.0,6.24,1
CHEMBL101464,KDR,CHEMBL279,-4.268697949366879,14.0,7.85,1
CHEMBL101544,KDR,CHEMBL279,-3.324236340526028,36.0,7.44,1
CHEMBL101682,KDR,CHEMBL279,1.308332819650179,3700.0,5.43,1
CHEMBL101683,KDR,CHEMBL279,-3.912023005428146,20.0,7.7,1
CHEMBL101797,KDR,CHEMBL279,-0.941608539858445,390.0,6.41,1
CHEMBL101924,KDR,CHEMBL279,-1.987774353154012,137.0,6.86,1
CHEMBL102301,KDR,CHEMBL279,2.8507065015037334,17300.0,4.76,1
CHEMBL102301,PDGFRA,CHEMBL2007,3.218875824868201,25000.0,4.6,3
CHEMBL102301,PDGFRB,CHEMBL1913,-2.407945608651872,90.0,7.05,1
CHEMBL102330,PDGFRB,CHEMBL1913,0.0392207131532813,1040.0,5.98,1
CHEMBL102346,PDGFRA,CHEMBL2007,-2.995732273553991,50.0,7.3,1
CHEMBL102346,PDGFRB,CHEMBL1913,-2.2537949288246137,105.0,6.994999999999999,2
CHEMBL102383,PDGFRB,CHEMBL1913,0.2151113796169455,1240.0,5.91,1
CHEMBL102427,PDGFRB,CHEMBL1913,0.8372475245337022,2310.0,5.64,1
CHEMBL102554,PDGFRB,CHEMBL1913,-1.8971199848858813,150.0,6.82,1
CHEMBL102686,PDGFRB,CHEMBL1913,-2.2072749131897207,110.0,6.96,1
