target_gene,target_chembl_id,n_pairs,n_unique_drugs,median_ln_ic50_uM,min_ln_ic50_uM,max_ln_ic50_uM,median_pchembl
FGFR1,CHEMBL3650,3456,3456,-2.796881414808826,-9.028018815182229,4.12955081795672,7.37
FGFR2,CHEMBL4142,1693,1693,-4.491841500681089,-9.115030192171858,4.564348191467836,7.96
FGFR3,CHEMBL2742,2009,2009,-3.400577573782749,-9.210340371976182,4.548599834499697,7.68
JAK1,CHEMBL2835,7838,7838,-3.772261063052987,-11.512925464970229,4.574710978503383,7.66
JAK2,CHEMBL2971,9758,9758,-2.8302178350764176,-11.454656556846253,4.584967478670572,7.26
KDR,CHEMBL279,9522,9522,-1.7990899434336471,-10.680016342035124,4.605170185988092,6.800000000000001
LGALS3,CHEMBL6164,1053,1053,-3.146555163288575,-10.008848068193954,4.543294782270004,7.38
LPAR1,CHEMBL3819,406,406,-2.2118411549713572,-8.568486485803788,3.7071620542048542,6.96
MTOR,CHEMBL2842,4309,4309,-2.900422093749666,-9.567015315914915,4.605170185988092,7.26
PDGFRA,CHEMBL2007,588,588,-2.307610260920796,-9.315700887634009,3.912023005428146,7.0
PDGFRB,CHEMBL1913,1651,1651,-2.385966701933097,-9.210340371976182,4.590056548178043,7.05
TGFBR1,CHEMBL4439,2363,2363,-3.165335057940171,-8.568486485803788,4.59511985013459,7.39
TGFBR2,CHEMBL4267,402,402,0.6692238758313355,-8.078938260485081,2.9831534913471307,5.71
