cluster,cluster_label,dominant_pathway,candidate_targets,canonical_drug_id,drug_name,admet_filtered_rank,crc_4tier,luad_4tier,crc_4tier_rationale,target,target_pathway,admet_verdict,admet_adjusted_score,final_selection_score,safety_score,prior_image_modal_matched,match_score,matched_keywords,driver_overlap,hypothesis,classification_status
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1819,Docetaxel,1,Tier1,Tier1,Current/reference lung cancer therapy; validation control.,Microtubule stabiliser,Mitosis,PASS,0.625,0.625,75,True,5,tier1/target_context/ranking_score,,Docetaxel may fit LUAD cluster 0 via tier1/target_context/ranking_score.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1080,Paclitaxel,2,Tier1,Tier1,Current/reference lung cancer therapy; validation control.,Microtubule stabiliser,Mitosis,PASS,0.5583333333333333,0.5583333333333333,75,True,5,tier1/target_context/ranking_score,,Paclitaxel may fit LUAD cluster 0 via tier1/target_context/ranking_score.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1811,Dactinomycin,3,Tier3,Tier3,Named repurposing candidate without direct current-lung-treatment status.,RNA polymerase,Other,PASS,0.55,0.55,50,True,2,tier3/ranking_score,,Dactinomycin may fit LUAD cluster 0 via tier3/ranking_score.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1593,Entinostat,4,Tier2,Tier2,"Evidence of lung cancer clinical investigation, but not current standard-control tier.","HDAC1, HDAC3",Chromatin histone acetylation,PASS,0.3650122025985619,0.3650122025985619,100,True,1,tier2,,Entinostat may fit LUAD cluster 0 via tier2.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1909,Venetoclax,5,Tier2,Tier2,"Evidence of lung cancer clinical investigation, but not current standard-control tier.",BCL2,Apoptosis regulation,PASS,0.3296907437737568,0.3296907437737568,100,True,1,tier2,,Venetoclax may fit LUAD cluster 0 via tier2.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1026,Tanespimycin,6,Tier2,Tier2,"Evidence of lung cancer clinical investigation, but not current standard-control tier.",HSP90,Protein stability and degradation,PASS,0.3269999999999999,0.3269999999999999,75,True,1,tier2,,Tanespimycin may fit LUAD cluster 0 via tier2.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1191,Bortezomib,7,Tier2,Tier2,"Evidence of lung cancer clinical investigation, but not current standard-control tier.",Proteasome,Protein stability and degradation,PASS,0.290391304347826,0.290391304347826,75,True,1,tier2,,Bortezomib may fit LUAD cluster 0 via tier2.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1936,Savolitinib,8,Tier1,Tier1,Current/reference lung cancer therapy; validation control.,MET,RTK signaling,PASS,0.2697973204950822,0.2697973204950822,75,True,3,tier1,,Savolitinib may fit LUAD cluster 0 via tier1.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1237,EPZ004777,9,Tier4,Tier4,Excluded by prior LUNG tiering as weak/non-actionable for this protocol.,DOT1L,Chromatin histone methylation,PASS,0.2668557667323745,0.2668557667323745,50,True,0,review,,EPZ004777 may fit LUAD cluster 0 via review.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1008,Methotrexate,10,Tier3,Tier3,Named repurposing candidate without direct current-lung-treatment status.,Antimetabolite,DNA replication,PASS,0.257,0.257,75,True,1,tier3,,Methotrexate may fit LUAD cluster 0 via tier3.,lung_manual_tiering_20260429
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,TP53; CDK; DNA; TOP; MITOSIS; MICROTUBULE,1873,Buparlisib,11,Tier4,Tier4,Excluded by prior LUNG tiering as weak/non-actionable for this protocol.,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,PASS,0.2545294117647058,0.2545294117647058,75,True,0,review,,Buparlisib may fit LUAD cluster 0 via review.,lung_manual_tiering_20260429
