feature,source
target_overlap_count,pair_target_features.parquet
target_overlap_ratio,pair_target_features.parquet
target_overlap_down_count,pair_target_features.parquet
target_overlap_down_ratio,pair_target_features.parquet
target_expr_mean,pair_target_features.parquet
target_expr_std,pair_target_features.parquet
target_pathway_score_mean,pair_target_features.parquet
target_pathway_hit_count,pair_target_features.parquet
target_gene_coverage_ratio,pair_target_features.parquet
target_gene_count,pair_target_features.parquet
lincs_cosine,pair_lincs_features.parquet
lincs_pearson,pair_lincs_features.parquet
lincs_spearman,pair_lincs_features.parquet
lincs_reverse_score_top50,pair_lincs_features.parquet
lincs_reverse_score_top100,pair_lincs_features.parquet
