dedup_rank,raw_rank,canonical_drug_id,drug_name_display,pred_ic50_weighted_mean,ensemble_member_std_mean,top_model_vote_count,confidence_grade
1,1,1811,Dactinomycin,-4.053302546469662,0.8652301789838175,5,C
2,2,1819,Docetaxel,-3.760376550280419,0.6365993804655524,5,C
3,3,1080,Paclitaxel,-2.2443879143836734,0.8516442353650957,5,C
4,4,1026,Tanespimycin,0.6622212487947816,0.9487999277792815,3,C
5,5,1809,Teniposide,1.0416438834877602,0.5333919972622017,3,B
6,6,1037,BX795,1.5264930213081376,0.795609656262101,2,C
7,7,1058,Pictilisib,1.7777926187242483,0.6518966537290284,0,C
8,8,1838,Sinularin,1.9384753471794123,1.4438157855683276,1,C
9,9,1086,BI-2536,2.1204303039619226,0.5384869324379601,0,C
10,10,1237,EPZ004777,2.1987563531691836,0.3861433211399985,0,C
11,11,1378,Bleomycin (50 uM),2.3972268321013837,0.2405542894314817,0,C
12,12,1593,Entinostat,2.4011891618920376,0.45525719531675374,0,C
13,13,1563,EPZ5676,2.499174640589128,0.6546605621406677,0,C
14,14,2159,UNC0379,2.5674867586928007,1.1175342892768763,0,C
15,15,1582,SGC-CBP30,2.5934309503114656,0.40642249372928013,0,C
16,16,1732,TAF1_5496,2.6138281856496426,0.6858246228782737,0,C
17,17,1059,AZD8055,2.6518546898644866,0.6159208155236762,0,C
18,18,1873,Buparlisib,2.660421708060861,0.4551016271939351,0,C
19,19,1031,Elesclomol,2.7993148862484505,0.5528673760349015,0,C
20,20,1909,Venetoclax,2.815333455830143,0.4185306346735851,0,C
21,21,1008,Methotrexate,2.823883109278714,1.8861990217225117,1,C
22,22,1853,OF-1,2.832421099076647,0.3468344777075104,0,C
23,23,2037,GSK343,2.871465423491876,0.1993200816134962,0,C
24,24,1191,Bortezomib,2.9094056047448276,0.9380671546032402,0,C
25,25,1936,Savolitinib,2.9153192879404433,0.6750427207025904,0,C
26,26,1620,PFI3,2.946352233095248,1.207769192378528,0,C
27,27,2174,IOX2,2.962867128352769,0.5366455059671834,0,C
28,28,1932,NVP-ADW742,3.2943171677220846,0.5626426408473895,0,C
29,29,1030,KU-55933,3.2997712703123634,0.37474284140287273,0,C
30,30,1243,Piperlongumine,3.337476396867821,0.5601341615108746,0,C
