dedup_rank,raw_rank,canonical_drug_id,drug_name_display,pred_ic50_weighted_mean,ensemble_member_std_mean,top_model_vote_count,confidence_grade,pred_ic50_weighted_std,pred_ic50_weighted_min,pred_ic50_weighted_max,sample_count,rank_pct,target_raw_mean,XGBoost_mean,FTTransformer_mean,CatBoost_mean,LightGBM_mean,ResidualMLP_mean,DRUG_NAME,TARGET,TARGET_PATHWAY,SYNONYMS,canonical_smiles,canonical_smiles_raw,drug_name_norm,has_smiles
1,1,1811,Dactinomycin,-4.053302546469662,0.8652301789838175,5,C,0.5635575721276866,-5.492908341200069,-1.7508737695999763,390,0.01694915254237288,-2.3607439358974363,-3.7567410153846152,-5.537875783076923,-3.3874896967776453,-3.9695592566493128,-3.3584401026410258,Dactinomycin,RNA polymerase,Other,Actinomycin D,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,dactinomycin,1
2,2,1819,Docetaxel,-3.760376550280419,0.6365993804655524,5,C,0.7580651168168904,-5.439469539795519,-0.9196651655011588,369,0.03389830508474576,-2.1149934173441736,-3.6006381147425475,-4.677277777886179,-3.7437163853346673,-3.3380992807950642,-3.210765084317073,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere",CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,docetaxel,1
3,3,1080,Paclitaxel,-2.2443879143836734,0.8516442353650957,5,C,0.8194825288270977,-4.272788096509052,0.6900380359629613,486,0.05084745762711865,-3.108335989711934,-1.8535519363703703,-3.3881409737345676,-1.0104660798825866,-2.500907742626018,-2.555682042942387,Paclitaxel,Microtubule stabiliser,Mitosis,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,paclitaxel,1
4,4,1026,Tanespimycin,0.6622212487947816,0.9487999277792815,5,C,0.6798025488179669,-1.3092638246833446,3.094622650100772,481,0.06779661016949153,-0.2041484074844075,0.28880036176923074,1.174629761968815,1.5563371064228122,-0.8776191394336811,1.18871089666237,Tanespimycin,HSP90,Protein stability and degradation,"17-AAG, BMS-722782",C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,tanespimycin,1
5,5,1809,Teniposide,1.0416438834877602,0.5333919972622017,5,B,0.6338953020249749,-0.8351403424390621,3.402034666029092,390,0.0847457627118644,0.5870157743589743,0.957481681551282,0.8246919468279488,1.6241732287463813,1.413841732458593,0.27676718033923076,Teniposide,,DNA replication,Vumon,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,teniposide,1
6,6,1037,BX795,1.5264930213081376,0.795609656262101,5,C,0.571908919324538,0.3109203184267821,3.534588028941637,89,0.1016949152542373,2.605098146067416,2.2664354370786515,0.8962454202134831,1.6903076952459117,2.1420494417722984,0.260531522447191,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,bx795,1
7,7,1058,Pictilisib,1.7777926187242483,0.6518966537290284,5,C,0.6010699111437586,-0.0281539549837054,4.031423922428707,489,0.11864406779661017,1.2347501942740287,1.2821810249366055,2.6915713114928423,1.8227850268663668,0.9692731914127858,2.173836625460123,Pictilisib,PI3K (class 1),PI3K/MTOR signaling,"GDC-0941, GDC0941, RG-7621",CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,pictilisib,1
8,8,1838,Sinularin,1.9384753471794123,1.4438157855683276,5,C,0.7579922521233384,-0.3056394826390005,4.508721393742477,390,0.13559322033898305,3.6842483589743593,1.4388085250341025,3.174818182605128,2.69786388766245,-0.586770932373337,2.9757280345128208,Sinularin,,Unclassified,,CC1=CCCC(C2CC(CCC3(C(O3)CC1)C)C(=C)C(=O)O2)(C)O,CC1=CCCC(C2CC(CCC3(C(O3)CC1)C)C(=C)C(=O)O2)(C)O,sinularin,1
9,9,1086,BI-2536,2.1204303039619226,0.5384869324379601,5,B,0.7347588041310145,-0.1872591451427103,4.60689647112737,469,0.15254237288135594,-1.1781421791044775,2.3325753029637526,1.6752206523859274,2.533941462063382,2.5142034655067556,1.3959534575735608,BI-2536,"PLK1, PLK2, PLK3",Cell cycle,,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,bi2536,1
10,10,1237,EPZ004777,2.1987563531691836,0.3861433211399985,5,B,0.553516084217913,0.44823179508757,4.264959665693601,487,0.1694915254237288,5.2180129753593425,2.4278138827515403,2.327459509328542,2.298810572376763,1.5269363668355513,2.3010075331108832,EPZ004777,DOT1L,Chromatin histone methylation,EPZ-004777,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,epz004777,1
