canonical_drug_id,drug_name,target,canonical_smiles,final_rank,prediction_score,prism_validated,clinical_trials_validated,cosmic_validated,cptac_validated,n_clinical_trials,n_cosmic_records,target_expression,validation_score,multi_objective_score,confidence,drug_name_norm,admet_filtered_rank,admet_adjusted_score,admet_strict_pass,admet_good_signal_count,safety_score,final_selection_score
1819,Docetaxel,Microtubule stabiliser,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,1,0.5,True,True,True,False,423,281,0.0,0.75,0.625,75,docetaxel,1,0.625,True,0.75,75,0.625
1080,Paclitaxel,Microtubule stabiliser,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,2,0.3333333333333333,True,True,True,False,489,602,0.0,0.75,0.5583333333333333,75,paclitaxel,2,0.5583333333333333,True,0.75,75,0.5583333333333333
1811,Dactinomycin,RNA polymerase,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,3,1.0,True,False,True,False,0,4,0.0,0.5,0.55,50,dactinomycin,3,0.55,True,0.5,50,0.55
1593,Entinostat,"HDAC1, HDAC3",Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,4,0.0833333333333333,True,True,True,True,13,14,56.78869265228531,1.0,0.3650122025985619,100,entinostat,4,0.3650122025985619,True,1.0,100,0.3650122025985619
1909,Venetoclax,BCL2,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,5,0.0526315789473684,True,True,True,True,4,159,6.381121948094883,1.0,0.3296907437737568,100,venetoclax,5,0.3296907437737568,True,1.0,100,0.3296907437737568
1026,Tanespimycin,HSP90,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,6,0.25,True,True,True,False,1,7,0.0,0.75,0.3269999999999999,75,tanespimycin,6,0.3269999999999999,True,0.75,75,0.3269999999999999
1191,Bortezomib,Proteasome,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,7,0.0434782608695652,True,True,True,False,24,41,0.0,0.75,0.290391304347826,75,bortezomib,7,0.290391304347826,True,0.75,75,0.290391304347826
1936,Savolitinib,MET,C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,8,0.0416666666666666,False,True,True,True,12,29,41.30653828415571,0.75,0.2697973204950822,75,savolitinib,8,0.2697973204950822,True,0.75,75,0.2697973204950822
1237,EPZ004777,DOT1L,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,9,0.1,True,False,False,True,0,0,768.5576673237456,0.5,0.2668557667323745,50,epz004777,9,0.2668557667323745,True,0.5,50,0.2668557667323745
1008,Methotrexate,Antimetabolite,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,10,0.05,True,True,True,False,6,144,0.0,0.75,0.257,75,methotrexate,10,0.257,True,0.75,75,0.257
1873,Buparlisib,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,11,0.0588235294117647,True,True,True,False,3,34,0.0,0.75,0.2545294117647058,75,buparlisib,11,0.2545294117647058,True,0.75,75,0.2545294117647058
1809,Teniposide,,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,12,0.2,True,False,True,False,0,2,0.0,0.5,0.23,50,teniposide,12,0.23,True,0.5,50,0.23
2174,IOX2,EGLN1,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,13,0.0384615384615384,True,False,False,True,0,0,498.1100763575502,0.5,0.2151956230203704,50,iox2,13,0.2151956230203704,True,0.5,50,0.2151956230203704
1058,Pictilisib,PI3K (class 1),CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,14,0.1428571428571428,False,True,True,False,1,7,0.0,0.5,0.2091428571428571,50,pictilisib,14,0.2091428571428571,True,0.5,50,0.2091428571428571
1086,BI-2536,"PLK1, PLK2, PLK3",CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,15,0.1111111111111111,True,False,False,True,0,0,54.233430078243394,0.5,0.1998677874522688,50,bi-2536,15,0.1998677874522688,True,0.5,50,0.1998677874522688
