canonical_drug_id,DRUG_NAME,nct_id,ct_drug_name,ct_status,match_type
1819,Docetaxel,NCT00684099,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01828112,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06775483,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT03830411,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT01646125,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00890825,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00630110,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01935947,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02536495,docetaxel,WITHDRAWN,exact_name_or_synonym
1819,Docetaxel,NCT02817633,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01207011,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05094336,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00066768,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00840125,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00227708,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00334815,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00378573,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT00080080,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05267470,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT01222312,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06472245,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00430651,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01443078,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT06266299,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01671332,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04725188,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00362882,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT05076760,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00004264,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT06074588,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06908304,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT03739710,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT04303780,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
