canonical_drug_id,drug_name,target,dataset,n_patients,mean_expression,std_expression,median_expression,min_expression,max_expression
1037,BX795,TBK1,luad_cptac_2020,111,266.3147720720721,2762.6098563384166,4.0914,3.2017,29110.0
1037,BX795,AURKB,luad_cptac_2020,111,85.12394864864866,874.1609855371194,2.3544,-0.931,9212.0
1037,BX795,AURKC,luad_cptac_2020,111,60.02144414414416,645.0677083290853,-1.1617,-2.8388,6795.0
1086,BI-2536,PLK1,luad_cptac_2020,111,50.2530027027027,507.3163375596034,2.1541,-0.6043,5347.0
1086,BI-2536,PLK2,luad_cptac_2020,111,101.30251711711713,1021.7382110222385,4.2758,2.3457,10769.0
1086,BI-2536,PLK3,luad_cptac_2020,111,14.31969459459459,119.5981959015716,2.9002,1.7433,1263.0
1237,EPZ004777,DOT1L,luad_cptac_2020,111,762.4655117117115,8014.906138580477,1.7974,0.2369,84444.0
1593,Entinostat,HDAC1,luad_cptac_2020,111,32.95201981981982,290.4058374529644,5.357,4.6118,3065.0
1593,Entinostat,HDAC3,luad_cptac_2020,111,84.23078198198199,838.7117678201201,4.6045,4.0183,8841.0
1563,EPZ5676,DOT1L,luad_cptac_2020,111,762.4655117117115,8014.906138580477,1.7974,0.2369,84444.0
1582,SGC-CBP30,EP300,luad_cptac_2020,111,22.245627927927917,192.58771630093284,3.8989,3.1022,2033.0
1909,Venetoclax,BCL2,luad_cptac_2020,111,7.203057657657657,56.39850991858424,1.8041,-0.3544,596.0
2037,GSK343,EZH2,luad_cptac_2020,111,22.76154324324325,203.36249123766643,3.5082,1.7701,2146.0
1936,Savolitinib,MET,luad_cptac_2020,111,43.696327027027024,401.2487146624745,5.8144,1.6488,4233.0
1620,PFI3,SMARCA4,luad_cptac_2020,111,63.67199819819821,625.7537528419405,4.3389,2.4274,6597.0
1620,PFI3,SMARCA2,luad_cptac_2020,111,62.976209009009,625.6287442290406,3.6559,1.7659,6595.0
2174,IOX2,EGLN1,luad_cptac_2020,111,495.1291270270271,5180.464378893515,3.4086,2.4507,54583.0
1932,NVP-ADW742,IGF1R,luad_cptac_2020,111,34.296733333333336,330.025871302078,2.9421,1.5145,3480.0
1030,KU-55933,ATM,luad_cptac_2020,111,8.23647117117117,44.42026750187225,4.0226,3.1941,472.0
1037,BX795,TBK1,lusc_cptac_2021,109,267.17295137614684,2788.221830883847,0.1391,-1.1364,29110.0
1037,BX795,AURKB,lusc_cptac_2021,109,85.75665963302752,882.2297600914369,1.2813,-0.7219,9212.0
1037,BX795,AURKC,lusc_cptac_2021,109,62.424881651376126,650.8354235957138,0.0277,-2.8801,6795.0
1086,BI-2536,PLK1,lusc_cptac_2021,109,49.95767522935779,512.062868385403,0.8514,-0.9295,5347.0
1086,BI-2536,PLK2,lusc_cptac_2021,109,98.5290311926606,1031.5094198763434,-0.2127,-2.2964,10769.0
1086,BI-2536,PLK3,lusc_cptac_2021,109,11.038659633027525,121.02869857932463,-0.4832,-2.3421,1263.0
1237,EPZ004777,DOT1L,lusc_cptac_2021,109,774.6498229357796,8088.274659885227,-0.0509,-1.4282,84444.0
1593,Entinostat,HDAC1,lusc_cptac_2021,109,28.680772477064213,293.51984143146063,0.5142,-0.2836,3065.0
1593,Entinostat,HDAC3,lusc_cptac_2021,109,81.29119633027524,846.7967613210047,0.1578,-0.3991,8841.0
1563,EPZ5676,DOT1L,lusc_cptac_2021,109,774.6498229357796,8088.274659885227,-0.0509,-1.4282,84444.0
1582,SGC-CBP30,EP300,lusc_cptac_2021,109,18.747714678899083,194.71709263074553,0.0649,-0.946,2033.0
1909,Venetoclax,BCL2,lusc_cptac_2021,109,5.55918623853211,57.086013723432636,-0.0178,-1.9592,596.0
2037,GSK343,EZH2,lusc_cptac_2021,109,20.806538532110096,205.44278989930996,1.1971,-0.661,2146.0
1936,Savolitinib,MET,lusc_cptac_2021,109,38.916749541284396,405.44091784915673,0.1407,-2.3998,4233.0
1620,PFI3,SMARCA4,lusc_cptac_2021,109,60.935284403669726,631.8383797875442,0.4504,-1.4715,6597.0
1620,PFI3,SMARCA2,lusc_cptac_2021,109,60.11529357798165,631.724598790558,-0.399,-2.9309,6595.0
2174,IOX2,EGLN1,lusc_cptac_2021,109,501.0910256880735,5228.071374960323,0.3417,-0.6389,54583.0
1932,NVP-ADW742,IGF1R,lusc_cptac_2021,109,32.35140275229358,333.28349823740683,0.5079,-1.5907,3480.0
1030,KU-55933,ATM,lusc_cptac_2021,109,4.233557798165137,45.22082564417616,-0.0998,-1.1038,472.0
