canonical_drug_id,pred_ensemble_mean,ensemble_member_std_mean,n_cell_drug_rows,drug_name_display,parent_key_norm,rank_lihc_v2_directive,confidence_grade,top_model_vote_count,is_hcc_approved_anchor,anchor_note_ko,m0_mean,m1_mean,m2_mean,m3_mean,m4_mean,m5_mean,drug_name_norm,drug_name,rank,clinical_tier,clinical_tier_label_ko,tier_rationale_ko,drug_name_feat,putative_target,drug_name_norm_feat,target_pathway,target,drug__target_list_x,TARGET,DRUG_NAME,pred_ic50_mean,drug__canonical_smiles,drug__target_list_y,pred_ic50_weighted_mean,prediction_std_mean,canonical_smiles,stage2_pred_mean,stage2_pred_std,n_patients,rerank_score,reranked_rank
1031,-0.9370832255948336,0.806055133463837,1.0,Elesclomol,elesclomol,3.0,C,6.0,False,,-0.7682561874389648,-0.0122419418767094,-2.1524088382720947,-1.660279393196106,-0.2012762427330017,-1.714235544204712,elesclomol,Elesclomol,3,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Elesclomol,HSP90,elesclomol,Protein stability and degradation,HSP90,HSP90,HSP90,Elesclomol,-0.9370832255948336,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,HSP90,-0.9370832255948336,0.806055133463837,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,-2.4631786375422347,0.0,223,2.4631786375422347,1
1819,-0.6791299312996367,0.9431129850353854,15.0,Docetaxel,docetaxel,4.0,C,6.0,False,,-0.1217592934767405,-0.1082758385688066,-1.1344212681055068,-0.929156227906545,-2.4364486853281657,0.0496290619174639,docetaxel,Docetaxel,4,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Docetaxel,Microtubule stabiliser,docetaxel,Mitosis,Microtubule stabiliser,MICROTUBULE STABILISER,MICROTUBULE STABILISER,Docetaxel,-0.6791299312996367,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,MICROTUBULE STABILISER,-0.6791299312996367,0.9431129850353854,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,-1.4001920294276278,0.0,223,1.4001920294276278,2
1378,-1.327688679133675,1.7820813822853512,14.0,Bleomycin (50 uM),bleomycin,1.0,C,6.0,False,,-2.880485006741115,1.4192334464085954,-2.147621180330004,-2.9825133000101363,0.2863581420055457,-3.071102840559824,bleomycin50um,Bleomycin (50 uM),2,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Bleomycin (50 uM),dsDNA break induction,bleomycin50um,DNA replication,dsDNA break induction,DSDNA BREAK INDUCTION,DSDNA BREAK INDUCTION,Bleomycin (50 uM),-1.327688679133675,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,DSDNA BREAK INDUCTION,-1.327688679133675,1.7820813822853512,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,-1.0594361505410497,0.0,223,1.0594361505410497,3
1016,-0.2212904989679033,0.6581452897244618,15.0,Temsirolimus,temsirolimus,6.0,C,6.0,False,,-0.3845352674523989,0.5339771771803499,0.2579796798527241,-0.9634630541006723,-0.971624847400623,-0.6898847028613091,temsirolimus,Temsirolimus,5,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Temsirolimus,MTOR,temsirolimus,PI3K/MTOR signaling,MTOR,MTOR,MTOR,Temsirolimus,-0.2212904989679033,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,MTOR,-0.2212904989679033,0.6581452897244618,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,-0.7757963891590801,0.0,223,0.7757963891590801,4
1080,-0.2171498295155664,0.5064634240793752,15.0,Paclitaxel,paclitaxel,7.0,B,6.0,False,,0.0971216171979904,-0.0413335567961136,-1.0244432588418324,-0.1374556558827559,-0.1386624837915102,-0.3280607362588246,paclitaxel,Paclitaxel,6,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Paclitaxel,Microtubule stabiliser,paclitaxel,Mitosis,Microtubule stabiliser,MICROTUBULE STABILISER,MICROTUBULE STABILISER,Paclitaxel,-0.2171498295155664,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,MICROTUBULE STABILISER,-0.2171498295155664,0.5064634240793752,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,-0.7757963891590801,0.0,223,0.7757963891590801,5
1191,0.4929208834096789,0.7694016421319161,15.0,Bortezomib,bortezomib,8.0,C,6.0,False,,0.5086894315977891,1.5478474537531537,0.3463715463876724,-0.9395851771036784,0.5237839927275976,-0.0335467229286829,bortezomib,Bortezomib,7,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Bortezomib,Proteasome,bortezomib,Protein stability and degradation,Proteasome,PROTEASOME,PROTEASOME,Bortezomib,0.4929208834096789,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,PROTEASOME,0.4929208834096789,0.7694016421319161,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.07489782512241681,0.0,223,-0.07489782512241681,6
1004,1.063095469710284,0.6298980023080778,14.0,Vinblastine,vinblastine,15.0,C,5.0,False,,0.5575529815895217,1.974128678441048,1.34368611233575,0.1995355900643127,1.0639204340321675,0.7357937502009528,vinblastine,Vinblastine,14,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Vinblastine,Microtubule destabiliser,vinblastine,Mitosis,Microtubule destabiliser,MICROTUBULE DESTABILISER,MICROTUBULE DESTABILISER,Vinblastine,1.063095469710284,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,MICROTUBULE DESTABILISER,1.063095469710284,0.6298980023080778,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.6980036851888262,0.0,223,-0.6980036851888262,7
1003,1.115972649673621,0.7665031461464938,15.0,Camptothecin,camptothecin,16.0,C,4.0,False,,1.1839155077934265,1.7738791227340698,1.635184141000112,-0.0882588456074396,0.9003142155706882,0.0623968174060185,camptothecin,Camptothecin,15,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Camptothecin,TOP1,camptothecin,DNA replication,TOP1,TOP1,TOP1,Camptothecin,1.115972649673621,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,TOP1,1.115972649673621,0.7665031461464938,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,0.6980036851888262,0.0,223,-0.6980036851888262,8
1039,1.2608564674854277,0.8257773609051865,1.0,SL0101,sl0101,20.0,C,3.0,False,,0.9446534514427184,0.4741725325584411,1.0885295867919922,2.9061849117279053,1.2626780271530151,2.2275140285491943,sl0101,SL0101,19,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,SL0101,"RSK, AURKB, PIM1, PIM3",sl0101,"Other, kinases","RSK, AURKB, PIM1, PIM3",AURKB|PIM1|PIM3|RSK,AURKB|PIM1|PIM3|RSK,SL0101,1.2608564674854277,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,AURKB|PIM1|PIM3|RSK,1.2608564674854277,0.8257773609051865,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,0.7693168246772969,0.0,223,-0.7693168246772969,9
1026,1.2641354389699797,0.5474475898014908,15.0,Tanespimycin,tanespimycin,21.0,C,4.0,False,,1.1954724669456482,1.9871586084365844,0.7210424677779277,0.475856831173102,1.684159807364146,1.207045817375183,tanespimycin,Tanespimycin,20,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Tanespimycin,HSP90,tanespimycin,Protein stability and degradation,HSP90,HSP90,HSP90,Tanespimycin,1.2641354389699797,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,HSP90,1.2641354389699797,0.5474475898014908,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,0.7693168246772969,0.0,223,-0.7693168246772969,10
