canonical_drug_id,pred_ensemble_mean,ensemble_member_std_mean,n_cell_drug_rows,drug_name_display,parent_key_norm,rank_lihc_v2_directive,confidence_grade,top_model_vote_count,is_hcc_approved_anchor,anchor_note_ko,m0_mean,m1_mean,m2_mean,m3_mean,m4_mean,m5_mean,drug_name_norm,drug_name,rank,clinical_tier,clinical_tier_label_ko,tier_rationale_ko,drug_name_feat,putative_target,drug_name_norm_feat,target_pathway,target,drug__target_list_x,TARGET,DRUG_NAME,pred_ic50_mean,drug__canonical_smiles,drug__target_list_y,pred_ic50_weighted_mean,prediction_std_mean,canonical_smiles,lihc_4tier,lihc_4tier_rationale,rank_admet,drug_name_admet,pred_ic50_mean_admet,admet_target,admet_target_pathway,admet_smiles,safety_score,admet_verdict,n_total_matches,n_exact,n_close_analog,n_analog,pains_alert,mw,logp,hbd,hba,tpsa,rotatable_bonds,smiles,admet_decision,admet_reason
1085,2.481118369658788,,,Sorafenib,sorafenib,,,,True,소라페닙 등 역외 라벨은 지역·시점별로 확인 (Tier1 앵커),,,,,,,,,1,1,Tier1: 간세포암(HCC) 적응 승인 약물,소라페닙 등 역외 라벨은 지역·시점별로 확인 (Tier1 앵커),Sorafenib,"PDGFR, KIT, VEGFR, RAF",sorafenib,"Other, kinases","PDGFR, KIT, VEGFR, RAF",KIT|PDGFR|RAF|VEGFR,KIT|PDGFR|RAF|VEGFR,Sorafenib,2.481118369658788,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,KIT|PDGFR|RAF|VEGFR,2.481118369658788,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Tier1,Current/reference hepatocellular carcinoma therapy; validation control.,,,,,,,,,,,,,,,,,,,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CAUTION,ADMET WARNING or limited assay support.
1378,-1.327688679133675,1.7820813822853512,14.0,Bleomycin (50 uM),bleomycin,1.0,C,6.0,False,,-2.880485006741115,1.4192334464085954,-2.147621180330004,-2.9825133000101363,0.2863581420055457,-3.071102840559824,bleomycin50um,Bleomycin (50 uM),2,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Bleomycin (50 uM),dsDNA break induction,bleomycin50um,DNA replication,dsDNA break induction,DSDNA BREAK INDUCTION,DSDNA BREAK INDUCTION,Bleomycin (50 uM),-1.327688679133675,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,DSDNA BREAK INDUCTION,-1.327688679133675,1.7820813822853512,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,Tier3,"Repurposing candidate retained after ADMET screen, without current HCC treatment status.",1.0,Bleomycin (50 uM),-1.2004384,dsDNA break induction,DNA replication,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,5.0,WARNING,1.0,0.0,0.0,1.0,False,1415.58,-7.7,20.0,31.0,627.07,35.0,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,CAUTION,ADMET WARNING or limited assay support.
1031,-0.9370832255948336,0.806055133463837,1.0,Elesclomol,elesclomol,3.0,C,6.0,False,,-0.7682561874389648,-0.0122419418767094,-2.1524088382720947,-1.660279393196106,-0.2012762427330017,-1.714235544204712,elesclomol,Elesclomol,3,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Elesclomol,HSP90,elesclomol,Protein stability and degradation,HSP90,HSP90,HSP90,Elesclomol,-0.9370832255948336,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,HSP90,-0.9370832255948336,0.806055133463837,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,Tier3,"Repurposing candidate retained after ADMET screen, without current HCC treatment status.",4.0,Elesclomol,-0.58910453,HSP90,Protein stability and degradation,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,5.0,WARNING,0.0,0.0,0.0,0.0,False,400.53,2.05,2.0,4.0,64.68,4.0,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,CAUTION,ADMET WARNING or limited assay support.
1819,-0.6791299312996367,0.9431129850353854,15.0,Docetaxel,docetaxel,4.0,C,6.0,False,,-0.1217592934767405,-0.1082758385688066,-1.1344212681055068,-0.929156227906545,-2.4364486853281657,0.0496290619174639,docetaxel,Docetaxel,4,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Docetaxel,Microtubule stabiliser,docetaxel,Mitosis,Microtubule stabiliser,MICROTUBULE STABILISER,MICROTUBULE STABILISER,Docetaxel,-0.6791299312996367,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,MICROTUBULE STABILISER,-0.6791299312996367,0.9431129850353854,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,Tier2,Liver cancer/HCC investigation or adjacent oncology repositioning evidence.,3.0,Docetaxel,-1.1360332,Microtubule stabiliser,Mitosis,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,4.25,WARNING,12.0,2.0,3.0,7.0,False,861.94,0.79,5.0,14.0,318.95,8.0,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,CAUTION,ADMET WARNING or limited assay support.
1016,-0.2212904989679033,0.6581452897244618,15.0,Temsirolimus,temsirolimus,6.0,C,6.0,False,,-0.3845352674523989,0.5339771771803499,0.2579796798527241,-0.9634630541006723,-0.971624847400623,-0.6898847028613091,temsirolimus,Temsirolimus,5,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Temsirolimus,MTOR,temsirolimus,PI3K/MTOR signaling,MTOR,MTOR,MTOR,Temsirolimus,-0.2212904989679033,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,MTOR,-0.2212904989679033,0.6581452897244618,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Tier2,Liver cancer/HCC investigation or adjacent oncology repositioning evidence.,5.0,Temsirolimus,-0.30921328,MTOR,PI3K/MTOR signaling,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,5.5,WARNING,7.0,3.0,0.0,4.0,False,1030.3,5.72,4.0,16.0,241.96,10.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CAUTION,ADMET WARNING or limited assay support.
1080,-0.2171498295155664,0.5064634240793752,15.0,Paclitaxel,paclitaxel,7.0,B,6.0,False,,0.0971216171979904,-0.0413335567961136,-1.0244432588418324,-0.1374556558827559,-0.1386624837915102,-0.3280607362588246,paclitaxel,Paclitaxel,6,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Paclitaxel,Microtubule stabiliser,paclitaxel,Mitosis,Microtubule stabiliser,MICROTUBULE STABILISER,MICROTUBULE STABILISER,Paclitaxel,-0.2171498295155664,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,MICROTUBULE STABILISER,-0.2171498295155664,0.5064634240793752,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,Tier2,Liver cancer/HCC investigation or adjacent oncology repositioning evidence.,7.0,Paclitaxel,-0.115684345,Microtubule stabiliser,Mitosis,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,4.25,WARNING,12.0,11.0,0.0,1.0,False,853.92,3.74,4.0,14.0,221.29,10.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,CAUTION,ADMET WARNING or limited assay support.
1191,0.4929208834096789,0.7694016421319161,15.0,Bortezomib,bortezomib,8.0,C,6.0,False,,0.5086894315977891,1.5478474537531537,0.3463715463876724,-0.9395851771036784,0.5237839927275976,-0.0335467229286829,bortezomib,Bortezomib,7,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Bortezomib,Proteasome,bortezomib,Protein stability and degradation,Proteasome,PROTEASOME,PROTEASOME,Bortezomib,0.4929208834096789,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,PROTEASOME,0.4929208834096789,0.7694016421319161,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,Tier4,Excluded: ADMET gate marked this compound as FAIL.,9.0,Bortezomib,0.20067377,Proteasome,Protein stability and degradation,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,3.4,FAIL,7.0,7.0,0.0,0.0,False,384.25,0.36,4.0,6.0,124.44,9.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,EXCLUDE,ADMET FAIL.
1511,0.5443934209415068,0.7933384291228364,15.0,Epirubicin,epirubicin,9.0,C,6.0,False,,1.200343378384908,0.8156929328416784,0.4116113615532716,-0.0793515856067339,0.3654378158350785,-1.0256564731399218,epirubicin,Epirubicin,8,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Epirubicin,Anthracycline,epirubicin,DNA replication,Anthracycline,ANTHRACYCLINE,ANTHRACYCLINE,Epirubicin,0.5443934209415068,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,ANTHRACYCLINE,0.5443934209415068,0.7933384291228364,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,Tier2,Liver cancer/HCC investigation or adjacent oncology repositioning evidence.,8.0,Epirubicin,0.08474465,Anthracycline,DNA replication,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,4.0,WARNING,15.0,13.0,2.0,0.0,True,543.53,0.0,6.0,12.0,206.07,5.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,CAUTION,PAINS alert or assay-interference caution.
1808,0.633496706413726,1.2269763336016295,15.0,Topotecan,topotecan,10.0,C,5.0,False,,2.1705926338831585,0.744714280962944,0.0341143883764743,-0.7968207001686096,0.9146618704001108,-1.5227631290753685,topotecan,Topotecan,9,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Topotecan,TOP1,topotecan,DNA replication,TOP1,TOP1,TOP1,Topotecan,0.633496706413726,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,TOP1,0.633496706413726,1.2269763336016295,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,Tier3,"Repurposing candidate retained after ADMET screen, without current HCC treatment status.",6.0,Topotecan,-0.1583007,TOP1,DNA replication,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,7.5,PASS,10.0,6.0,3.0,1.0,True,421.45,1.85,2.0,7.0,104.89,3.0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CAUTION,PAINS alert or assay-interference caution.
1911,0.7101502795396372,0.636277378613945,15.0,Dactinomycin,dactinomycin,11.0,C,6.0,False,,1.1987277666727705,1.0522262479178608,-0.0489392091830571,0.1630126640200614,0.3924787014722824,1.4030349612236024,dactinomycin,Dactinomycin,10,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Dactinomycin,RNA polymerase,dactinomycin,Other,RNA polymerase,RNA POLYMERASE,RNA POLYMERASE,Dactinomycin,0.7101502795396372,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,RNA POLYMERASE,0.7101502795396372,0.636277378613945,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,Tier3,"Repurposing candidate retained after ADMET screen, without current HCC treatment status.",10.0,Dactinomycin,0.28733104,RNA polymerase,Other,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,4.0,WARNING,5.0,5.0,0.0,0.0,False,1255.44,0.73,5.0,18.0,359.98,8.0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,CAUTION,ADMET WARNING or limited assay support.
