cluster,cluster_label,dominant_pathway,drug_name,canonical_drug_id,target,target_pathway,lihc_4tier,admet_decision,admet_verdict,safety_score,match_keywords,hypothesis
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Bleomycin (50 uM),1378,DSDNA BREAK INDUCTION,DNA replication,Tier3,CAUTION,WARNING,5.0,DNA,"Bleomycin (50 uM) (Tier3, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Docetaxel,1819,MICROTUBULE STABILISER,Mitosis,Tier2,CAUTION,WARNING,4.25,MITOSIS; MICROTUBULE,"Docetaxel (Tier2, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Paclitaxel,1080,MICROTUBULE STABILISER,Mitosis,Tier2,CAUTION,WARNING,4.25,MITOSIS; MICROTUBULE,"Paclitaxel (Tier2, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Epirubicin,1511,ANTHRACYCLINE,DNA replication,Tier2,CAUTION,WARNING,4.0,DNA,"Epirubicin (Tier2, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Topotecan,1808,TOP1,DNA replication,Tier3,CAUTION,PASS,7.5,DNA; TOP,"Topotecan (Tier3, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Vinblastine,1004,MICROTUBULE DESTABILISER,Mitosis,Tier3,KEEP,PASS,7.0,MITOSIS; MICROTUBULE,"Vinblastine (Tier3, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Camptothecin,1003,TOP1,DNA replication,Tier3,KEEP,PASS,6.25,DNA; TOP,"Camptothecin (Tier3, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Irinotecan,1088,TOP1,DNA replication,Tier2,KEEP,PASS,6.4,DNA; TOP,"Irinotecan (Tier2, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Tozasertib,1096,AURKA|AURKB|AURKC|OTHERS,Mitosis,Tier3,CAUTION,WARNING,5.0,MITOSIS,"Tozasertib (Tier3, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
1,TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Vinorelbine,2048,MICROTUBULE DESTABILISER,Mitosis,Tier3,KEEP,PASS,7.25,MITOSIS; MICROTUBULE,"Vinorelbine (Tier3, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology."
