canonical_drug_id,pred_ensemble_mean,ensemble_member_std_mean,n_cell_drug_rows,drug_name_display,parent_key_norm,rank_lihc_v2_directive,confidence_grade,top_model_vote_count,is_hcc_approved_anchor,anchor_note_ko,m0_mean,m1_mean,m2_mean,m3_mean,m4_mean,m5_mean,drug_name_norm,drug_name,rank,clinical_tier,clinical_tier_label_ko,tier_rationale_ko,drug_name_feat,putative_target,drug_name_norm_feat,target_pathway,target,drug__target_list,TARGET,DRUG_NAME,pred_ic50_mean
1085,2.481118369658788,,,Sorafenib,sorafenib,,,,True,소라페닙 등 역외 라벨은 지역·시점별로 확인 (Tier1 앵커),,,,,,,,,1,1,Tier1: 간세포암(HCC) 적응 승인 약물,소라페닙 등 역외 라벨은 지역·시점별로 확인 (Tier1 앵커),Sorafenib,"PDGFR, KIT, VEGFR, RAF",sorafenib,"Other, kinases","PDGFR, KIT, VEGFR, RAF",KIT|PDGFR|RAF|VEGFR,KIT|PDGFR|RAF|VEGFR,Sorafenib,2.481118369658788
1378,-1.327688679133675,1.7820813822853512,14.0,Bleomycin (50 uM),bleomycin,1.0,C,6.0,False,,-2.880485006741115,1.4192334464085954,-2.147621180330004,-2.9825133000101363,0.2863581420055457,-3.0711028405598233,bleomycin50um,Bleomycin (50 uM),2,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Bleomycin (50 uM),dsDNA break induction,bleomycin50um,DNA replication,dsDNA break induction,DSDNA BREAK INDUCTION,DSDNA BREAK INDUCTION,Bleomycin (50 uM),-1.327688679133675
1031,-0.9370832255948336,0.806055133463837,1.0,Elesclomol,elesclomol,3.0,C,6.0,False,,-0.7682561874389648,-0.0122419418767094,-2.1524088382720947,-1.660279393196106,-0.2012762427330017,-1.714235544204712,elesclomol,Elesclomol,3,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Elesclomol,HSP90,elesclomol,Protein stability and degradation,HSP90,HSP90,HSP90,Elesclomol,-0.9370832255948336
1819,-0.6791299312996367,0.9431129850353854,15.0,Docetaxel,docetaxel,4.0,C,6.0,False,,-0.1217592934767405,-0.1082758385688066,-1.1344212681055068,-0.929156227906545,-2.4364486853281657,0.0496290619174639,docetaxel,Docetaxel,4,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Docetaxel,Microtubule stabiliser,docetaxel,Mitosis,Microtubule stabiliser,MICROTUBULE STABILISER,MICROTUBULE STABILISER,Docetaxel,-0.6791299312996367
1016,-0.2212904989679033,0.6581452897244618,15.0,Temsirolimus,temsirolimus,6.0,C,6.0,False,,-0.3845352674523989,0.5339771771803499,0.2579796798527241,-0.9634630541006723,-0.971624847400623,-0.6898847028613091,temsirolimus,Temsirolimus,5,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Temsirolimus,MTOR,temsirolimus,PI3K/MTOR signaling,MTOR,MTOR,MTOR,Temsirolimus,-0.2212904989679033
1080,-0.2171498295155664,0.5064634240793752,15.0,Paclitaxel,paclitaxel,7.0,B,6.0,False,,0.0971216171979904,-0.0413335567961136,-1.0244432588418324,-0.1374556558827559,-0.1386624837915102,-0.3280607362588246,paclitaxel,Paclitaxel,6,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Paclitaxel,Microtubule stabiliser,paclitaxel,Mitosis,Microtubule stabiliser,MICROTUBULE STABILISER,MICROTUBULE STABILISER,Paclitaxel,-0.2171498295155664
1191,0.4929208834096789,0.7694016421319161,15.0,Bortezomib,bortezomib,8.0,C,6.0,False,,0.5086894315977891,1.5478474537531537,0.3463715463876724,-0.9395851771036784,0.5237839927275976,-0.0335467229286829,bortezomib,Bortezomib,7,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Bortezomib,Proteasome,bortezomib,Protein stability and degradation,Proteasome,PROTEASOME,PROTEASOME,Bortezomib,0.4929208834096789
1511,0.5443934209415068,0.7933384291228364,15.0,Epirubicin,epirubicin,9.0,C,6.0,False,,1.200343378384908,0.8156929328416784,0.4116113615532716,-0.0793515856067339,0.3654378158350785,-1.0256564731399218,epirubicin,Epirubicin,8,2,Tier2: 타암종 승인·간암 적응증 확장/재포지셔닝 연구 후보,,Epirubicin,Anthracycline,epirubicin,DNA replication,Anthracycline,ANTHRACYCLINE,ANTHRACYCLINE,Epirubicin,0.5443934209415068
1808,0.633496706413726,1.2269763336016295,15.0,Topotecan,topotecan,10.0,C,5.0,False,,2.1705926338831585,0.744714280962944,0.0341143883764743,-0.7968207001686096,0.9146618704001108,-1.5227631290753685,topotecan,Topotecan,9,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Topotecan,TOP1,topotecan,DNA replication,TOP1,TOP1,TOP1,Topotecan,0.633496706413726
1911,0.7101502795396372,0.636277378613945,15.0,Dactinomycin,dactinomycin,11.0,C,6.0,False,,1.1987277666727705,1.0522262479178608,-0.0489392091830571,0.1630126640200614,0.3924787014722824,1.4030349612236024,dactinomycin,Dactinomycin,10,3,Tier3: 간암 표준 적응 외(타 적응 위주) 항암제,,Dactinomycin,RNA polymerase,dactinomycin,Other,RNA polymerase,RNA POLYMERASE,RNA POLYMERASE,Dactinomycin,0.7101502795396372
1024,0.7617926563968261,0.5322489401581224,15.0,Lestaurtinib,lestaurtinib,12.0,B,5.0,False,,0.978247970342636,1.0889369840423266,-0.0447628627220789,0.3533431977033615,1.3650247459610303,0.5966942548751831,lestaurtinib,Lestaurtinib,11,4,Tier4: 연구용·선별 화합물·추가 확인 필요,,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",lestaurtinib,"Other, kinases","FLT3, JAK2, NTRK1, NTRK2, NTRK3",FLT3|JAK2|NTRK1|NTRK2|NTRK3,FLT3|JAK2|NTRK1|NTRK2|NTRK3,Lestaurtinib,0.7617926563968261
