phase,family,stem,model,sp_cv5,sp_groupcv,sp_scaffoldcv,gap_cv5,gap_groupcv,gap_scaffoldcv
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_1024_512_256,0.7972837507589532,0.5083741883613414,0.4094967087167718,0.0292667055053378,0.3112461903333489,0.3969659074918845
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_2x1024,0.802405509476146,0.5253896137959317,0.3946300223146655,0.0249916179260845,0.2841339915371189,0.3672075880856693
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_2x512,0.7956272510348198,0.5376997137998843,0.4259366890649361,0.0286759550441704,0.2900430420787518,0.3553618974944859
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_3x512,0.7905146233487688,0.53180172390091,0.3879549037264387,0.0283009246513375,0.2839804220877416,0.3419934248785323
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_ResidualStyle,0.7863528070911739,0.4990223936998932,0.3991991929573239,0.0302186393020156,0.2537099692165949,0.3894289286653321
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_SELU_3x256,0.8322143950438846,0.5165852837913801,0.3722224393556829,0.0352800342135307,0.3023018953973514,0.1689536420813309
2C,dl,stad_numeric_context_smiles_dl_v1,DL_MLP_WideNarrow,0.7956387010601336,0.5229179910079015,0.4190834642989892,0.0283814560503256,0.285283156520469,0.3708802531539439
2A,dl,stad_numeric_dl_v1,DL_MLP_1024_512_256,0.8006857633976873,0.4431491483047626,0.4143610972227559,0.0292263375629895,0.1798150090740461,0.2096023557083403
2A,dl,stad_numeric_dl_v1,DL_MLP_2x1024,0.791285852464982,0.5008660706878253,0.4030142345720938,0.0284669396900358,0.2344820409137381,0.2561429714647061
2A,dl,stad_numeric_dl_v1,DL_MLP_2x512,0.7699283451435438,0.5191881505979837,0.401430886806233,0.0271213923587195,0.2877684099795609,0.3625762361453446
2A,dl,stad_numeric_dl_v1,DL_MLP_3x512,0.8043211999412542,0.4885139527868286,0.4206648472845922,0.033260810716055,0.2307834055665941,0.2011538310529803
2A,dl,stad_numeric_dl_v1,DL_MLP_ResidualStyle,0.8026130105557773,0.5105636754897782,0.3884156258123967,0.0269975601467823,0.2991679627471228,0.3323176652365688
2A,dl,stad_numeric_dl_v1,DL_MLP_SELU_3x256,0.8204389090827904,0.5192463000958533,0.3476460401775735,0.0358380599646868,0.3120790712110889,0.317539569464452
2A,dl,stad_numeric_dl_v1,DL_MLP_WideNarrow,0.7858246222067506,0.5208639431100527,0.4040740490495227,0.0348690975743348,0.2778112980881609,0.3677430557572183
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_1024_512_256,0.8051436624242374,0.5018511258125874,0.4066152568898422,0.0311735198548459,0.2261250051300293,0.3294341660419114
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_2x1024,0.7973526767998933,0.4855192005096646,0.3968706117729135,0.0251405865596221,0.2167287285703822,0.4264030766051115
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_2x512,0.7999996604707913,0.5097613801523838,0.4067968075184394,0.0263572970662459,0.2308531637460081,0.3962626653936614
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_3x512,0.8035318032069544,0.5149511188948351,0.3824439932387076,0.030040146570262,0.2781896532511166,0.3204372187083361
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_ResidualStyle,0.8042155822367499,0.5219016723581296,0.4267023588024803,0.0284342862174728,0.2470124016329601,0.2336545988074825
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_SELU_3x256,0.8205594861220726,0.4581882605448913,0.3863294720278416,0.0376861015818669,0.2065304919549035,0.2559243111282119
2B,dl,stad_numeric_smiles_dl_v1,DL_MLP_WideNarrow,0.8000406453067168,0.5110248825064917,0.3960622279309402,0.0282948571674779,0.2781006102344012,0.4209654313727777
2C,graph,stad_numeric_context_smiles_graph_v1,GAT,0.0885429740303385,0.1754992973421329,0.0069819956820742,-0.0071529529319812,-0.0343841456696354,-0.0455622865161348
2C,graph,stad_numeric_context_smiles_graph_v1,GraphSAGE,0.1191433365454461,0.1994693857263899,0.0092230974675428,-0.0207707466095016,-0.0076624961653074,0.0899867994823625
2A,graph,stad_numeric_graph_v1,GAT,0.0877797850279752,-0.0026941377771023,0.0106219608927995,0.0231509557151304,0.0161694619294834,0.0618799237150146
2A,graph,stad_numeric_graph_v1,GraphSAGE,0.122510457898182,0.0845791812156392,0.1265626577422194,0.0208047519033908,-0.0016664269762881,0.0182896403066031
2B,graph,stad_numeric_smiles_graph_v1,GAT,-0.0656008378032013,0.084476424149945,-0.0428964569450908,-0.0090796841234609,0.0121818096359432,0.0746396343708684
2B,graph,stad_numeric_smiles_graph_v1,GraphSAGE,0.1686884236672973,0.2392352634453708,0.0114343829957925,0.0176947342007551,-0.0094323166595698,0.0045383142211915
2C,ml,stad_numeric_context_smiles_ml_v1,CatBoost,0.8578808752136771,0.5225248891325512,0.4637552518705763,0.1086527775412898,0.4508079612846865,0.5102248382954301
2C,ml,stad_numeric_context_smiles_ml_v1,ExtraTrees,0.8501376094475743,0.4637019181018624,0.4351966725591953,0.1498623905524255,0.5362980818981375,0.5648033274408045
2C,ml,stad_numeric_context_smiles_ml_v1,LightGBM,0.8571968535588788,0.459498463884621,0.4167983708677221,0.1414238943902805,0.539424532978961,0.5820445257669213
2C,ml,stad_numeric_context_smiles_ml_v1,RandomForest,0.8506303095604915,0.4729609805423526,0.4408902656986858,0.1331692460953489,0.5107949654359335,0.542738246653902
2C,ml,stad_numeric_context_smiles_ml_v1,SVR_RBF,0.4003902783400946,0.3582311975798709,0.3296973047128635,0.0039333904138408,0.0416742509918841,0.073702514939655
2C,ml,stad_numeric_context_smiles_ml_v1,XGBoost,0.8570375243198397,0.4948818809410344,0.4563137869143962,0.1383865992422603,0.502485488903622,0.5412232082101245
2A,ml,stad_numeric_ml_v1,CatBoost,0.8572341516283164,0.5393507963753339,0.4596511290752342,0.1018154902196311,0.4275256669680454,0.5074231646548714
2A,ml,stad_numeric_ml_v1,ExtraTrees,0.849457936629373,0.4651158608009904,0.4282139153339139,0.150542063370627,0.5348841391990097,0.571786084666086
2A,ml,stad_numeric_ml_v1,LightGBM,0.8576541502644937,0.4980936729446077,0.400037923262814,0.1395817000523965,0.4998840066222889,0.5976294452877572
2A,ml,stad_numeric_ml_v1,RandomForest,0.8512343468401221,0.4931287826156406,0.4210575117098002,0.1325459529722994,0.4906227914657053,0.5625607595082494
2A,ml,stad_numeric_ml_v1,SVR_RBF,0.4003929187581305,0.3583274548587831,0.329766837339525,0.0038966576361593,0.0414778831826779,0.073555539397668
2A,ml,stad_numeric_ml_v1,XGBoost,0.8592596768161596,0.5134865248438841,0.4483883606289023,0.1342379199369828,0.4825826532090083,0.5476261740562046
2B,ml,stad_numeric_smiles_ml_v1,CatBoost,0.859055703909061,0.5400532439926189,0.4676317087982948,0.1014048444100063,0.4273296376218968,0.4991372937877238
2B,ml,stad_numeric_smiles_ml_v1,ExtraTrees,0.8496707709890565,0.4558748794278752,0.4211316484063272,0.1503292290109436,0.5441251205721248,0.5788683515936727
2B,ml,stad_numeric_smiles_ml_v1,LightGBM,0.8566558889495568,0.4859958769153905,0.4076785182892948,0.1406126330108844,0.5120330774357261,0.5900204131619743
