canonical_drug_id,drug_name,drug_name_norm,n_pairs,li_hc_label_mean,li_hc_label_median,canonical_smiles,hcc_approved,rank_proxy_v2,in_top50_v2
1817,Romidepsin,romidepsin,15,-4.554283666666667,-4.952803,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,False,1,True
1031,Elesclomol,elesclomol,1,-4.539903,-4.539903,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,False,2,True
1191,Bortezomib,bortezomib,15,-4.118388333333333,-4.50475,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,False,3,True
1911,Dactinomycin,dactinomycin,15,-3.4809861333333334,-4.062202,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,False,4,True
1007,Docetaxel,docetaxel,15,-3.3192743333333334,-3.463173,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,False,5,True
1248,Daporinad,daporinad,8,-3.055342,-4.514155,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,False,6,True
1941,Sepantronium bromide,sepantronium bromide,15,-2.8883001333333334,-3.481197,COCC[n+]1c2c(n(Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],False,7,True
1004,Vinblastine,vinblastine,14,-2.787514642857143,-2.6413655,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,False,8,True
1034,Staurosporine,staurosporine,15,-2.4926420000000005,-2.453771,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,False,9,True
1180,Dinaciclib,dinaciclib,15,-2.422467066666667,-2.579415,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,False,10,True
1494,SN-38,sn-38,15,-2.3022571333333333,-2.723741,CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,False,11,True
1811,Dactinomycin,dactinomycin,15,-1.8084333333333333,-1.622032,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,False,12,True
2048,Vinorelbine,vinorelbine,15,-1.7203930666666667,-1.865449,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,False,13,True
1084,Rapamycin,rapamycin,15,-1.6664615333333332,-1.587433,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,False,14,True
1080,Paclitaxel,paclitaxel,15,-1.5719816,-1.06683,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,False,15,True
1559,Luminespib,luminespib,15,-1.1543618666666666,-1.334563,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,False,16,True
1819,Docetaxel,docetaxel,15,-1.1382729333333335,-1.988623,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,False,17,True
1057,Dactolisib,dactolisib,15,-0.9908300666666666,-1.070158,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,False,18,True
1003,Camptothecin,camptothecin,15,-0.9358389333333333,-1.294397,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,False,19,True
1862,MG-132,mg-132,15,-0.8897657333333334,-1.249479,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,False,20,True
1825,Podophyllotoxin bromide,podophyllotoxin bromide,15,-0.2675694,-0.890051,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)Br,False,21,True
1827,Dihydrorotenone,dihydrorotenone,15,-0.00564700000000001,0.484795,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)CC(C(C)C)O4,False,22,True
1059,AZD8055,azd8055,13,-0.002170769230769258,-0.477783,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,False,23,True
1849,Sabutoclax,sabutoclax,15,0.020648066666666676,-0.161954,CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(=O)NCC(C)C5=CC=CC=C5)O)O)O)O)O)O)C(=O)NCC(C)C6=CC=CC=C6,False,24,True
1096,Tozasertib,tozasertib,1,0.169586,0.169586,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,False,25,True
1372,Trametinib,trametinib,15,0.3086992,0.340434,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,False,26,True
1068,Obatoclax Mesylate,obatoclax mesylate,15,0.440074,0.539962,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C.CS(=O)(=O)O,False,27,True
1511,Epirubicin,epirubicin,15,0.5392235999999999,0.426102,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,False,28,True
1086,BI-2536,bi-2536,15,0.5549354,0.294801,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,False,29,True
1008,Methotrexate,methotrexate,14,0.6594135,1.3429259999999998,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,False,30,True
1026,Tanespimycin,tanespimycin,15,0.7018839333333333,1.007171,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,False,31,True
1843,LMP744,lmp744,15,0.7772593333333333,0.294894,COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,False,32,True
1024,Lestaurtinib,lestaurtinib,15,0.8775692666666667,1.041565,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,False,33,True
2040,Foretinib,foretinib,15,0.9759415333333333,0.914745,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,False,34,True
1845,Schweinfurthin A,schweinfurthin a,15,1.0311461333333334,1.302229,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cc(O)c3c(c2)C[C@@H]2C(C)(C)[C@H](O)[C@H](O)C[C@@]2(C)O3)cc1O,False,35,True
2174,IOX2,iox2,1,1.144202,1.144202,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,False,36,True
1808,Topotecan,topotecan,15,1.2873542666666666,1.31806,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,False,37,True
1179,MK-1775,mk-1775,15,1.2893465333333334,1.134476,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,False,38,True
1022,AZD7762,azd7762,15,1.3141511333333333,0.992421,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,False,39,True
1060,PD0325901,pd0325901,15,1.3481118,1.655925,[H][C@@](O)(CO)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1,False,40,True
1243,Piperlongumine,piperlongumine,1,1.385578,1.385578,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,False,41,True
1873,Buparlisib,buparlisib,15,1.3932568666666667,1.314257,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,False,42,True
1016,Temsirolimus,temsirolimus,15,1.4050334,1.66795,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,43,True
1930,Telomerase Inhibitor IX,telomerase inhibitor ix,15,1.408478,1.505778,C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O,False,44,True
1037,BX795,bx795,1,1.506538,1.506538,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,False,45,True
1926,GNE-317,gne-317,15,1.5304562,1.25628,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)C5(COC5)OC,False,46,True
1192,GSK269962A,gsk269962a,1,1.542902,1.542902,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,False,47,True
1809,Teniposide,teniposide,15,1.5567597333333334,1.188154,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,False,48,True
1190,Gemcitabine,gemcitabine,15,1.5911568,1.676526,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,False,49,True
1058,Pictilisib,pictilisib,15,1.7684918,1.875845,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,False,50,True
