rank,drug_name,canonical_drug_id,pred_ic50_mean,target,target_pathway,smiles,safety_score,verdict,n_total_matches,n_exact,n_close_analog,n_analog,pains_alert,mw,logp,hbd,hba,tpsa,rotatable_bonds
6,Topotecan,1808,-0.1583007,TOP1,DNA replication,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,7.5,PASS,10,6,3,1,True,421.45,1.85,2,7,104.89,3
23,Vinorelbine,2048,1.4928697,Microtubule destabiliser,Mitosis,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,7.25,PASS,10,6,0,4,False,778.95,4.75,2,11,133.87,7
15,Vinblastine,1004,1.0201981,Microtubule destabiliser,Mitosis,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,7.0,PASS,12,9,2,1,False,810.99,3.99,3,12,154.1,7
19,Irinotecan,1088,1.238154,TOP1,DNA replication,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,6.4,PASS,9,8,0,1,False,586.69,4.09,1,8,114.2,4
12,Camptothecin,1003,0.6874082,TOP1,DNA replication,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,6.25,PASS,5,3,0,2,False,348.36,2.08,1,5,81.42,1
5,Temsirolimus,1016,-0.30921328,MTOR,PI3K/MTOR signaling,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,5.5,WARNING,7,3,0,4,False,1030.3,5.72,4,16,241.96,10
24,Rapamycin,1084,1.5069047,MTORC1,PI3K/MTOR signaling,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,5.5,WARNING,7,2,4,1,False,914.19,6.18,3,13,195.43,6
17,Staurosporine,1034,1.1406467,Broad spectrum kinase inhibitor,RTK signaling,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.25,WARNING,1,0,0,1,False,466.54,4.35,2,4,69.45,2
29,Bosutinib,1019,1.900915,"SRC, ABL, TEC","Other, kinases",COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,5.25,WARNING,2,2,0,0,False,530.46,5.19,1,8,82.88,9
20,BX795,1037,1.2442573,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,5.0,WARNING,1,0,0,1,False,591.48,4.75,4,7,111.28,9
21,SL0101,1039,1.2630359,"RSK, AURKB, PIM1, PIM3","Other, kinases",CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,5.0,WARNING,0,0,0,0,False,516.46,1.92,4,12,182.19,5
1,Bleomycin (50 uM),1378,-1.2004384,dsDNA break induction,DNA replication,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,5.0,WARNING,1,0,0,1,False,1415.58,-7.7,20,31,627.07,35
18,Tanespimycin,1026,1.1986375,HSP90,Protein stability and degradation,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,5.0,WARNING,2,1,0,1,True,585.7,2.54,4,9,166.28,6
26,BI-2536,1086,1.6392425,"PLK1, PLK2, PLK3",Cell cycle,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,5.0,WARNING,2,1,0,1,False,521.67,3.56,2,8,102.93,7
27,AZD5582,1617,1.7072076,"XIAP, cIAP",Apoptosis regulation,CC(C(=O)NC(C1CCCCC1)C(=O)N2CCCC2C(=O)NC3C(CC4=CC=CC=C34)OCC#CC#CCOC5CC6=CC=CC=C6C5NC(=O)C7CCCN7C(=O)C(C8CCCCC8)NC(=O)C(C)NC)NC,5.0,WARNING,0,0,0,0,False,1015.31,3.92,6,10,199.54,18
28,Tozasertib,1096,1.8123553,"AURKA, AURKB, AURKC, others",Mitosis,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,5.0,WARNING,2,1,0,1,False,464.6,3.5,3,8,102.07,7
25,Pevonedistat,1529,1.6032735,NAE,Other,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,5.0,WARNING,0,0,0,0,False,443.53,2.06,3,7,132.36,6
30,TW 37,1149,1.9733495,"BCL2, BCL-XL, MCL1",Apoptosis regulation,CC(C)C1=CC=CC=C1CC1=C(O)C(O)=C(O)C(=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=CC=C1C(C)(C)C,5.0,WARNING,2,2,0,0,True,573.71,6.9,4,6,123.93,7
2,Bleomycin,1812,-1.1402773,dsDNA break induction,DNA replication,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,5.0,WARNING,1,0,0,1,False,1415.58,-7.7,20,31,627.07,35
14,CCT-018159,1170,0.95840305,HSP90,Protein stability and degradation,CCC1=C(O)C=C(O)C(=C1)C1=C(C(C)=NN1)C1=CC2=C(OCCO2)C=C1,5.0,WARNING,0,0,0,0,False,352.39,3.8,3,5,87.6,3
13,Lestaurtinib,1024,0.85031027,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,5.0,WARNING,0,0,0,0,False,439.47,3.47,3,4,88.65,1
11,MG-132,1862,0.5785534,"Proteasome, CAPN1",Protein stability and degradation,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,5.0,WARNING,3,0,0,3,False,475.63,3.59,3,5,113.6,14
4,Elesclomol,1031,-0.58910453,HSP90,Protein stability and degradation,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,5.0,WARNING,0,0,0,0,False,400.53,2.05,2,4,64.68,4
7,Paclitaxel,1080,-0.115684345,Microtubule stabiliser,Mitosis,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,4.25,WARNING,12,11,0,1,False,853.92,3.74,4,14,221.29,10
3,Docetaxel,1819,-1.1360332,Microtubule stabiliser,Mitosis,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,4.25,WARNING,12,2,3,7,False,861.94,0.79,5,14,318.95,8
