patient_id,cluster,pca1,pca2
sample_0000,0,3.4999087,11.68796
sample_0001,0,9.296362,8.845229
sample_0002,0,11.152702,7.036808
sample_0003,0,15.377032,6.4333773
sample_0004,0,8.270007,9.067036
sample_0005,0,7.073986,15.596536
sample_0006,0,7.347683,17.348162
sample_0007,0,9.990239,11.403349
sample_0008,0,14.009598,18.943579
sample_0009,0,8.594075,7.5788836
sample_0010,0,7.1239276,16.793547
sample_0011,0,8.556525,10.728482
sample_0012,0,7.7211814,15.466801
sample_0013,0,15.361509,15.594936
sample_0014,0,10.057837,14.417101
sample_0015,0,9.278134,3.1855826
sample_0016,0,11.696099,20.02067
sample_0017,0,9.808293,8.869025
sample_0018,0,13.94232,14.170901
sample_0019,0,8.545447,-14.478573
sample_0020,0,13.621426,-15.007567
sample_0021,0,13.663628,-12.522098
sample_0022,0,11.720905,-24.72101
sample_0023,0,5.7061257,-22.712955
sample_0024,0,12.121626,-19.006462
sample_0025,0,13.471831,-20.579103
sample_0026,0,8.260954,-23.29889
sample_0027,0,6.164338,-21.854183
sample_0028,0,12.6482315,-12.510592
sample_0029,0,4.482278,-16.742455
sample_0030,0,8.8533,-20.373507
sample_0031,0,8.56529,-17.166084
sample_0032,0,7.4355216,-18.86328
sample_0033,0,0.74499166,-21.400658
sample_0034,1,-23.643948,-5.006427
sample_0035,1,-33.622215,-6.0228963
sample_0036,1,-28.346663,-5.873052
sample_0037,1,-23.37419,1.1312101
sample_0038,1,-23.503635,-4.5130563
sample_0039,1,-26.672918,-14.332048
sample_0040,1,-35.753174,-3.8822606
sample_0041,1,-27.171648,3.8649828
sample_0042,1,-30.923277,9.9220495
sample_0043,1,-29.88895,10.49167
sample_0044,1,-27.815619,4.506654
sample_0045,1,-26.77666,8.406873
sample_0046,0,11.758894,11.246914
sample_0047,0,-0.14613663,17.839039
sample_0048,0,-0.3264044,14.5236435
sample_0049,0,2.0432358,5.7461457
