canonical_drug_id,mean_y_pred,mean_y_true,std_y_pred,n_pairs,pred_top5_rate,pred_top10_rate,pred_top20_rate,final_selection_score,drug_name,canonical_smiles,has_smiles,putative_target,pathway_name,drug__target_list,final_rank
1911,-3.571578,-4.2624683,0.845432,18,1.0,1.0,1.0,0.9906462585034014,Dactinomycin,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,1,RNA polymerase,Other,,1
1811,-3.070604,-1.8014927,0.95547795,13,1.0,1.0,1.0,0.9892857142857143,Dactinomycin,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,1,RNA polymerase,Other,,2
1819,-2.5009902,-0.74686843,0.90845543,13,1.0,1.0,1.0,0.9879251700680273,Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,1,Microtubule stabiliser,Mitosis,,3
1511,-2.1412802,-0.3972592,0.83712196,18,1.0,1.0,1.0,0.9865646258503401,Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,1,Anthracycline,DNA replication,,4
1016,-0.98319805,1.3206658,0.9377222,18,0.6666666666666666,1.0,1.0,0.9843537414965986,Temsirolimus,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,1,MTOR,PI3K/MTOR signaling,,5
1808,-0.57398796,1.0341432,0.8391191,13,0.38461538461538464,1.0,1.0,0.9812925170068028,Topotecan,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,1,TOP1,DNA replication,,6
1003,-0.58240384,-1.5085741,0.8380957,18,0.2222222222222222,0.7777777777777778,1.0,0.9789115646258504,Camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1,TOP1,DNA replication,,7
1004,-0.35737053,-2.7413785,1.0634686,14,0.07142857142857142,0.9285714285714286,1.0,0.9761904761904763,Vinblastine,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,1,Microtubule destabiliser,Mitosis,,8
1026,-0.26101905,0.35103047,0.84584945,18,0.05555555555555555,0.7777777777777778,1.0,0.9732993197278911,Tanespimycin,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,1,HSP90,Protein stability and degradation,,9
1918,-0.07241699,3.176578,0.8164145,18,0.1111111111111111,0.4444444444444444,1.0,0.9671768707482993,AZD8186,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,1,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,,10
1191,0.027541403,-4.5671625,0.90121984,18,0.05555555555555555,0.2777777777777778,1.0,0.9613945578231292,Bortezomib,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,1,Proteasome,Protein stability and degradation,,11
1007,-0.042023573,-3.8210874,1.1481051,18,0.1111111111111111,0.5,0.8888888888888888,0.9562925170068027,Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,1,Microtubule stabiliser,Mitosis,,12
1810,-0.215202,0.718468,0.86313057,13,0.0,0.6923076923076923,1.0,0.9224489795918367,Mitoxantrone,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1,TOP2,DNA replication,,13
1170,-0.14512895,3.429064,0.5584848,4,0.0,0.25,1.0,0.917687074829932,CCT-018159,CCC1=C(O)C=C(O)C(=C1)C1=C(C(C)=NN1)C1=CC2=C(OCCO2)C=C1,1,HSP90,Protein stability and degradation,,14
1080,-0.049389392,-2.845166,1.12414,18,0.0,0.5,1.0,0.9173469387755102,Paclitaxel,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1,Microtubule stabiliser,Mitosis,,15
2359,0.32470965,6.4769025,0.8756529,14,0.0,0.07142857142857142,0.9285714285714286,0.9006802721088436,GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,1,WIP1,Other,,16
