Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,ames,bbb_martins,bioavailability_ma,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,half_life_obach,herg,hia_hou,ld50_zhu,lipophilicity_astrazeneca,pgp_broccatelli,ppbr_az,solubility_aqsoldb,vdss_lombardo,valid_smiles,qed,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,pains,pre_admet_excluded,pre_admet_exclusion_reason,ADMET_Status,Hard_Fail,Hard_Fail_Reason,Soft_Flags,Clinical_Context
1,CHEMBL3885244,,1,-5.027996513166518,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,0.3054807154590163,0.2670903486021203,0.32961146623600496,-6.648434076304796,51.49279039682537,65.9583450793651,0.3362221799561547,0.2624195200136187,0.28551599941070077,0.23504695113911125,0.6205149969528957,0.3620923788175647,0.4755399354744595,122.28227269841275,0.6384148302410952,0.3849572388691,3.238583788359789,0.07509406084656081,0.5383080850117428,59.18998896825395,-2.3155790492496244,0.9839971416546415,True,0.0139416854389292,2627.092999999995,-2.4157999999999644,934.6500000000002,33,36,49,3,False,True,qed_below_0.5,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.65); High_hepatocyte_clearance>50 (51.5); High_microsome_clearance>50 (66.0); Tier4_prefilter:qed_below_0.5,False
2,CHEMBL3774897,,2,-5.020776503991561,ETB,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N1)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)CC,0.311011787305285,0.27114854761712914,0.3133130939275715,-6.6655987578186835,51.07889349206345,66.01398952380954,0.3398207266614301,0.26063816257835604,0.2735764890020233,0.21850406287071703,0.6241586233703822,0.3732331110309303,0.46884953998175993,119.94396404761909,0.6674666429346069,0.34486185727893853,3.260914843915345,0.05237757936507935,0.5421390586837698,57.309008855311355,-2.139614747185909,5.140358386243391,True,0.012872984083180439,2546.962999999995,-3.7503999999999635,924.4200000000002,33,35,46,3,False,True,qed_below_0.5,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.67); High_hepatocyte_clearance>50 (51.1); High_microsome_clearance>50 (66.0); Tier4_prefilter:qed_below_0.5,False
3,CHEMBL1094489,,3,-4.899935859795952,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(N3CCC(CN)CC3)nc(Nc3cc(C)ccn3)c21,0.3938586583885711,0.6324147148220419,0.72114508734197,-5.351173997114665,49.65568361111114,48.39519916666671,0.24859278131738435,0.4380541102570359,0.344585105114718,0.2853152756878627,0.635166317891031,0.5495679915432553,0.567556889997531,19.116448769841263,0.6961492946886891,0.7614107185755238,2.769639107142856,2.3385960846560843,0.45555064958354136,85.1354026190475,-3.647619776781556,4.949472023809526,True,0.49104089283756125,438.5800000000002,3.04732,107.01,2,8,9,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.568); CYP3A4_inhibition_prob>0.5 (0.550); Low_Caco2_logPapp<-5.15 (-5.35); Tier4_prefilter:qed_below_0.5,False
4,CHEMBL1916483,,4,-4.532604298966646,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCCC(C(=O)O)C2)c2nnc(-c3ccc(OC)nc3)cc21,0.3222811342525936,0.4684993598074206,0.6387369431064049,-5.381257276971295,85.51701722222221,49.806546944444456,0.21204512624886354,0.35515016791381826,0.16925152802960503,0.2410304108735059,0.6033148404153149,0.593774847944917,0.7373804490852589,4.85621121693122,0.6874074519083629,0.6471770673552403,2.659159695767196,1.3417817676767685,0.5474353783455713,85.0255281216931,-3.324510469451905,10.920597311207311,True,0.41427141768915104,482.5410000000002,2.7390000000000008,141.35000000000002,2,9,10,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.737); CYP3A4_inhibition_prob>0.5 (0.594); Low_Caco2_logPapp<-5.15 (-5.38); High_hepatocyte_clearance>50 (85.5); Tier4_prefilter:qed_below_0.5,False
5,CHEMBL1916488,,5,-4.520093807692293,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,0.3358451168167283,0.49267364056694996,0.6728771020634616,-5.367154324095637,79.58402457671961,39.38081976190478,0.26148955856283995,0.3194254087366409,0.2417709539289783,0.21649498612463916,0.6037090796764162,0.5530777154948567,0.7162044824381,18.85786665343913,0.7014910587349846,0.667160771959016,2.757010191798942,2.1642595767195782,0.5361881911532825,80.88085697728197,-2.7936107909301864,10.92260914983165,True,0.4648406703843999,468.51400000000024,1.9847000000000004,132.56,1,9,9,0,False,True,qed_below_0.5,Hard_Fail,True,hERG_prob>0.7 (0.701),DILI_prob>0.5 (0.716); CYP3A4_inhibition_prob>0.5 (0.553); Low_Caco2_logPapp<-5.15 (-5.37); High_hepatocyte_clearance>50 (79.6); Tier4_prefilter:qed_below_0.5,False
6,CHEMBL1098465,,6,-4.478600174065137,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCOCCn1nc(CC)c2nc(NCC3CCNCC3)nc(Nc3cc(C)ccn3)c21,0.3217790073599707,0.5540336918937538,0.6609788806076525,-5.409246296051189,51.50441845238097,46.945809563492105,0.2696820070439397,0.40120517968102687,0.29974392249834225,0.3112647753436068,0.6158812831553273,0.5666279906754245,0.6454729883799032,21.144519206349194,0.6817100439721533,0.8165190132748101,2.754420097402596,2.284890090187591,0.4711251443508946,85.41993572510818,-3.3048937376620158,4.86858130952381,True,0.4146409461733438,438.5800000000002,3.2837200000000006,101.81,3,8,10,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.645); CYP3A4_inhibition_prob>0.5 (0.567); Low_Caco2_logPapp<-5.15 (-5.41); High_hepatocyte_clearance>50 (51.5); Tier4_prefilter:qed_below_0.5,False
7,CHEMBL1916486,,7,-3.970184463231393,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(C(=O)O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,0.3115321118767875,0.4519106161280034,0.6081488546058941,-5.409232481313362,85.39223499999997,46.47684194444446,0.2247827713485952,0.33982035400312377,0.1903256667920415,0.2528603999256998,0.5983588744118894,0.6005657752729725,0.7195764039156965,19.56286447089946,0.6664915919119621,0.6536806637911445,2.8033360687830693,1.3452620057720068,0.5636601945272317,85.37390674603175,-3.3683649811430687,10.702880644540645,True,0.41427141768915104,482.5410000000003,2.7390000000000008,141.35000000000002,2,9,10,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.720); CYP3A4_inhibition_prob>0.5 (0.601); Low_Caco2_logPapp<-5.15 (-5.41); High_hepatocyte_clearance>50 (85.4); Tier4_prefilter:qed_below_0.5,False
8,CHEMBL1916485,,8,-3.942495116517097,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(N[C@@H]2CCCC[C@@H]2C(=O)O)c2nnc(-c3ccc(OC)nc3)cc21,0.3667402566625987,0.446459118576349,0.6300720882841041,-5.3940265512797625,81.5349846825397,55.1605982010582,0.2302625769207253,0.3899847203523739,0.1795430342291815,0.2566499984767425,0.65809316078474,0.5932988836626903,0.7237194313010523,6.177060978835985,0.6630357033693887,0.6532535900559998,2.7225680343915353,1.34438787878788,0.5535285316098105,83.03247126984132,-3.3322858449095225,10.762203237133233,True,0.41427141768915104,482.5410000000002,2.7390000000000008,141.35000000000002,2,9,10,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.724); CYP3A4_inhibition_prob>0.5 (0.593); Low_Caco2_logPapp<-5.15 (-5.39); High_hepatocyte_clearance>50 (81.5); High_microsome_clearance>50 (55.2); Tier4_prefilter:qed_below_0.5,False
9,CHEMBL1916475,,9,-3.9090298911156713,PDE5,,model_top20,Tier4,Unnamed or preclinical lead,CCCOCCn1c(=O)nc(NC2CCC(O)CC2)c2nnc(-c3ccc(OC)nc3)cc21,0.33894637460346744,0.469219694464548,0.6193517430466311,-5.332469153747211,77.61324353174606,40.48721312169311,0.23413367774964647,0.2961230445506077,0.18152816841945807,0.17718616266393145,0.6331513891956148,0.5954715470253834,0.7272529339894154,4.349809074074073,0.6755115637500625,0.6673961961386567,2.661809305555557,2.2034783862433853,0.5185238621952496,81.69455121693123,-3.2116822000236662,10.787130088985093,True,0.46895221482090244,454.53100000000023,2.3991,124.28000000000002,2,9,9,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.727); CYP3A4_inhibition_prob>0.5 (0.595); Low_Caco2_logPapp<-5.15 (-5.33); High_hepatocyte_clearance>50 (77.6); Tier4_prefilter:qed_below_0.5,False
10,CHEMBL294291,,10,-3.884576892851337,ETA,,model_top20,Tier4,Unnamed or preclinical lead,CC(=O)c1c(C)c(C)cc(C)c1NC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl,0.3532384549312738,0.5053814652778944,0.672381134148652,-5.096690144590346,43.86265365079364,47.713894391534375,0.3477135937383266,0.7254041992168395,0.20988729177749108,0.23131787758050273,0.488665972630884,0.7152971695842945,0.7833406674064873,27.61234888888889,0.5739174738488763,0.6428773808215636,2.707685804232806,2.330923902116403,0.5014583690728406,96.90683965608464,-5.282239887827838,4.6497947089947065,True,0.48419225884782807,481.9830000000002,4.878880000000004,118.37,2,7,6,0,False,True,qed_below_0.5,Prefilter_Excluded,False,,DILI_prob>0.5 (0.783); CYP3A4_inhibition_prob>0.5 (0.715); PPB>95% (96.9); Tier4_prefilter:qed_below_0.5,False
