Phase,Drug_Name,ChEMBL_ID,Model_Rank,drug_level_score,Primary_Target,Primary_Gene,MoA,max_phase,In_Pipeline,EV_Model_Rank,EV_drug_level_score
2A,Bosentan,CHEMBL957,2150,3.0490035135670635,ETA,EDNRA,Endothelin ETA/ETB antagonist,4.0,True,2147,3.037858843300556
2A,Ambrisentan,CHEMBL1111,1901,2.669556324188543,ETA,EDNRA,Endothelin ETA antagonist,4.0,True,1901,2.6684641795020303
2A,Macitentan,CHEMBL2103873,1783,2.502480204551632,ETA,EDNRA,Endothelin ETA/ETB antagonist,4.0,True,1783,2.499518072317269
2A,Sildenafil,CHEMBL192,454,0.0062248931285024,PDE5,PDE5A,PDE5 inhibitor,4.0,True,454,0.0056041410170832
2A,Tadalafil,CHEMBL779,536,0.1818120958983237,PDE5,PDE5A,PDE5 inhibitor,4.0,True,536,0.1812051876364739
2A,Riociguat,CHEMBL2107834,not in pipeline,,,,sGC stimulator,,False,not in pipeline,
2A,Selexipag,CHEMBL238804,3013,4.139203669309953,IP_receptor,PTGIR,IP receptor agonist,4.0,True,3013,4.138855219218096
2A,Treprostinil,CHEMBL1237119,not in pipeline,,,,Prostacyclin analogue,,False,not in pipeline,
2A,Iloprost,CHEMBL494,1515,2.1444835066718397,IP_receptor,PTGIR,Prostacyclin analogue,4.0,True,1516,2.1433720325367465
2A,Epoprostenol,CHEMBL910,1314,1.7211414172560018,PDE5,PDE5A,Prostacyclin analogue,,True,1315,1.7205348426714209
2B,Bosentan,CHEMBL957,2193,3.066477524156905,ETA,EDNRA,Endothelin ETA/ETB antagonist,4.0,True,2193,3.0664868705957806
2B,Ambrisentan,CHEMBL1111,1864,2.6240112257321853,ETA,EDNRA,Endothelin ETA antagonist,4.0,True,1864,2.6240162716464286
2B,Macitentan,CHEMBL2103873,1883,2.646130631846652,ETA,EDNRA,Endothelin ETA/ETB antagonist,4.0,True,1883,2.6461248901044803
2B,Sildenafil,CHEMBL192,480,0.0074859069927118,PDE5,PDE5A,PDE5 inhibitor,4.0,True,480,0.0075321189228738
2B,Tadalafil,CHEMBL779,552,0.1765455660410302,PDE5,PDE5A,PDE5 inhibitor,4.0,True,552,0.1765859526396182
2B,Riociguat,CHEMBL2107834,not in pipeline,,,,sGC stimulator,,False,not in pipeline,
2B,Selexipag,CHEMBL238804,3014,4.119525752351404,IP_receptor,PTGIR,IP receptor agonist,4.0,True,3014,4.119529537780213
2B,Treprostinil,CHEMBL1237119,not in pipeline,,,,Prostacyclin analogue,,False,not in pipeline,
2B,Iloprost,CHEMBL494,1516,2.143594088746656,IP_receptor,PTGIR,Prostacyclin analogue,4.0,True,1516,2.143595239872097
2B,Epoprostenol,CHEMBL910,1301,1.711070042631723,PDE5,PDE5A,Prostacyclin analogue,,True,1301,1.7110724614331123
