Final_Rank,Drug_Name,ChEMBL_ID,Model_Rank,drug_level_score,Primary_Target,max_phase,Tier,Tier_Description,ADMET_Status,Hard_Fail_Reason,Soft_Flags,PAH_Relevance
1,VARDENAFIL,CHEMBL1520,17,-3.542204948202788,PDE5,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,DILI_prob>0.5 (0.740); CYP3A4_inhibition_prob>0.5 (0.582); Low_Caco2_logPapp<-5.15 (-5.16); High_microsome_clearance>50 (54.0),NO-cGMP-PDE5 vasodilation axis
2,SILDENAFIL,CHEMBL192,480,0.0074859069927118,PDE5,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,DILI_prob>0.5 (0.711); CYP3A4_inhibition_prob>0.5 (0.505); High_microsome_clearance>50 (84.9),NO-cGMP-PDE5 vasodilation axis
3,EPOPROSTENOL,CHEMBL910,1301,1.711070042631723,PDE5,,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,DILI_prob>0.5 (0.756); Low_Caco2_logPapp<-5.15 (-5.20); High_microsome_clearance>50 (80.1),NO-cGMP-PDE5 vasodilation axis
4,ILOPROST,CHEMBL494,1516,2.143594088746656,IP_receptor,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,Low_Caco2_logPapp<-5.15 (-5.15); High_hepatocyte_clearance>50 (57.0); High_microsome_clearance>50 (54.2),Prostacyclin/IP receptor axis
5,AMBRISENTAN,CHEMBL1111,1864,2.6240112257321853,ETA,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,DILI_prob>0.5 (0.823); CYP3A4_inhibition_prob>0.5 (0.516); High_BBB_prob>0.7 (0.759),Endothelin receptor axis
6,MACITENTAN,CHEMBL2103873,1883,2.646130631846652,ETA,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,DILI_prob>0.5 (0.766); CYP3A4_inhibition_prob>0.5 (0.629),Endothelin receptor axis
7,SELEXIPAG,CHEMBL238804,3014,4.119525752351404,IP_receptor,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Pass_With_Flags,,DILI_prob>0.5 (0.725); CYP3A4_inhibition_prob>0.5 (0.650); Low_Caco2_logPapp<-5.15 (-5.17),Prostacyclin/IP receptor axis
8,TADALAFIL,CHEMBL779,552,0.1765455660410302,PDE5,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Clinical_Context_Hard_Fail,PAINS,DILI_prob>0.5 (0.824); CYP3A4_inhibition_prob>0.5 (0.712); Low_Caco2_logPapp<-5.15 (-5.16); High_BBB_prob>0.7 (0.757),NO-cGMP-PDE5 vasodilation axis
9,BOSENTAN,CHEMBL957,2193,3.066477524156905,ETA,4.0,Tier1,PAH approved/reference drug or approved same-pathway drug,Clinical_Context_Hard_Fail,hERG_prob>0.7 (0.748),DILI_prob>0.5 (0.794); CYP3A4_inhibition_prob>0.5 (0.671); PPB>95% (97.9); Low_Caco2_logPapp<-5.15 (-5.30),Endothelin receptor axis
10,ATRASENTAN,CHEMBL9194,614,0.3825911829465538,ETA,3.0,Tier2,Approved or clinical repurposing candidate,Clinical_Context_Hard_Fail,hERG_prob>0.7 (0.736),DILI_prob>0.5 (0.703); CYP3A4_inhibition_prob>0.5 (0.729); PPB>95% (97.4); High_hepatocyte_clearance>50 (64.3); High_microsome_clearance>50 (73.8),Endothelin receptor axis
11,,CHEMBL304460,20,-3.4690393399670403,ETA,,Tier4,Unnamed or preclinical lead,Pass_With_Flags,,DILI_prob>0.5 (0.742); CYP3A4_inhibition_prob>0.5 (0.731),Endothelin receptor axis
