Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,Primary_Gene,Primary_Target_Name,Primary_Target_ln_ic50,max_phase,Source,Tier
1,CHEMBL3885244,,1,-5.027996513166518,ETB,EDNRB,Endothelin receptor type B,-5.067205429077148,,model_top20,Tier4
2,CHEMBL3774897,,2,-5.020776503991561,ETB,EDNRB,Endothelin receptor type B,-5.067205429077148,,model_top20,Tier4
3,CHEMBL1094489,,3,-4.899935859795952,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-4.9618449211120605,,model_top20,Tier4
4,CHEMBL1916483,,4,-4.532604298966646,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-4.605170249938965,,model_top20,Tier4
5,CHEMBL1916488,,5,-4.520093807692293,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-4.605170249938965,,model_top20,Tier4
6,CHEMBL1098465,,6,-4.478600174065137,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-4.509860038757324,,model_top20,Tier4
7,CHEMBL1916486,,7,-3.970184463231393,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.912023067474365,,model_top20,Tier4
8,CHEMBL1916485,,8,-3.942495116517097,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.912023067474365,,model_top20,Tier4
9,CHEMBL1916475,,9,-3.9090298911156713,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.912023067474365,,model_top20,Tier4
10,CHEMBL294291,,10,-3.884576892851337,ETA,EDNRA,Endothelin-1 receptor,-3.912023067474365,,model_top20,Tier4
11,CHEMBL60058,,11,-3.865623419733475,ETA,EDNRA,Endothelin-1 receptor,-3.912023067474365,,model_top20,Tier4
12,CHEMBL3775234,,12,-3.817480475219406,ETA,EDNRA,Endothelin-1 receptor,-3.772261142730713,,model_top20,Tier4
13,CHEMBL4128926,,13,-3.780566788046847,ETA,EDNRA,Endothelin-1 receptor,-3.772261142730713,,model_top20,Tier4
14,CHEMBL4759667,,14,-3.7079526547959993,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.6888794898986816,,model_top20,Tier4
15,CHEMBL3654363,,15,-3.5940270718218192,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.5755507946014404,,model_top20,Tier4
16,CHEMBL1790180,ENDOTHELIN 3,16,-3.5495597616909342,ETB,EDNRB,Endothelin receptor type B,-3.506557941436768,0.5,model_top20,Tier4
17,CHEMBL1520,VARDENAFIL,17,-3.542204948202788,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.540459394454956,4.0,model_top20,Tier1
18,CHEMBL60367,,18,-3.4871250774640776,ETA,EDNRA,Endothelin-1 receptor,-3.506557941436768,,model_top20,Tier4
19,CHEMBL410215,,19,-3.475195356893083,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",-3.506557941436768,,model_top20,Tier4
20,CHEMBL304460,,20,-3.4690393399670403,ETA,EDNRA,Endothelin-1 receptor,-3.506557941436768,,model_top20,Tier4
21,CHEMBL192,SILDENAFIL,480,0.0074859069927118,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",0.0,4.0,clinical_pah,Tier1
22,CHEMBL779,TADALAFIL,552,0.1765455660410302,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",0.1823215633630752,4.0,clinical_pah,Tier1
23,CHEMBL910,EPOPROSTENOL,1301,1.711070042631723,PDE5,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",1.7404661178588867,,clinical_pah,Tier1
24,CHEMBL494,ILOPROST,1516,2.143594088746656,IP_receptor,PTGIR,Prostacyclin receptor,2.1282317638397217,4.0,clinical_pah,Tier1
25,CHEMBL1111,AMBRISENTAN,1864,2.6240112257321853,ETA,EDNRA,Endothelin-1 receptor,0.0,4.0,clinical_pah,Tier1
26,CHEMBL2103873,MACITENTAN,1883,2.646130631846652,ETA,EDNRA,Endothelin-1 receptor,-0.6931471824645996,4.0,clinical_pah,Tier1
27,CHEMBL957,BOSENTAN,2193,3.066477524156905,ETA,EDNRA,Endothelin-1 receptor,1.5475624799728394,4.0,clinical_pah,Tier1
28,CHEMBL238804,SELEXIPAG,3014,4.119525752351404,IP_receptor,PTGIR,Prostacyclin receptor,4.127134323120117,4.0,clinical_pah,Tier1
29,CHEMBL9194,ATRASENTAN,614,0.3825911829465538,ETA,EDNRA,Endothelin-1 receptor,-3.381394863128662,3.0,clinical_or_late_phase,Tier2
30,CHEMBL293830,,21,-3.456692394947719,ETA,EDNRA,Endothelin-1 receptor,-3.506558,,model_rank_fill_after_dedup,Tier4
