molecule_chembl_id,target_label,activity_id,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,ln_ic50,gene,target_notes,target_pref_name
CHEMBL10,PDE5,7824300,CHEMBL1827,IC50,=,11476.0,nM,4.94,CHEMBL1909186,CHEMBL1909046,9.348013177101256,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL10,TGFBR1,986813,CHEMBL4439,IC50,=,6000.0,nM,5.22,CHEMBL642728,CHEMBL1135833,8.699514748210191,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL100005,ETA,429049,CHEMBL252,IC50,>,25000.0,nM,,CHEMBL679791,CHEMBL1128950,10.126631103850338,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL100120,ETA,411488,CHEMBL252,IC50,=,7900.0,nM,5.1,CHEMBL873600,CHEMBL1128950,8.974618038455112,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10016,ETA,608847,CHEMBL252,IC50,=,30.0,nM,7.52,CHEMBL682367,CHEMBL1129233,3.4011973816621555,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10016,ETB,608848,CHEMBL1785,IC50,=,50.0,nM,7.3,CHEMBL670654,CHEMBL1129233,3.912023005428146,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL10019,ETA,602560,CHEMBL252,IC50,=,60.0,nM,7.22,CHEMBL682367,CHEMBL1129233,4.0943445622221,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10019,ETB,602561,CHEMBL1785,IC50,=,850.0,nM,6.07,CHEMBL670654,CHEMBL1129233,6.745236349484363,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL100756,ETA,410314,CHEMBL252,IC50,>,25000.0,nM,,CHEMBL873600,CHEMBL1128950,10.126631103850338,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL100779,PDE5,912097,CHEMBL1827,IC50,=,270.0,nM,6.57,CHEMBL762827,CHEMBL1146771,5.598421958998375,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL100795,ETA,399663,CHEMBL252,IC50,=,900.0,nM,6.05,CHEMBL679791,CHEMBL1128950,6.802394763324311,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL100874,ETA,390943,CHEMBL252,IC50,=,5600.0,nM,5.25,CHEMBL679791,CHEMBL1128950,8.630521876723241,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10092,ETA,620241,CHEMBL252,IC50,=,2700.0,nM,5.57,CHEMBL682367,CHEMBL1129233,7.90100705199242,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10092,ETB,620242,CHEMBL1785,IC50,=,4400.0,nM,5.36,CHEMBL670654,CHEMBL1129233,8.389359819906353,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL101239,ETA,419918,CHEMBL252,IC50,=,8200.0,nM,5.09,CHEMBL679791,CHEMBL1128950,9.011889433252344,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL101292,ETA,424082,CHEMBL252,IC50,>,25000.0,nM,,CHEMBL873600,CHEMBL1128950,10.126631103850338,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10136,ETA,616369,CHEMBL252,IC50,=,1300.0,nM,5.89,CHEMBL682367,CHEMBL1129233,7.170119543449628,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10136,ETB,616370,CHEMBL1785,IC50,=,14000.0,nM,4.85,CHEMBL670654,CHEMBL1129233,9.546812608597396,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL101424,ETA,1127241,CHEMBL252,IC50,=,0.2,nM,9.7,CHEMBL682365,CHEMBL1134926,-1.6094379124341003,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL101424,ETB,1127242,CHEMBL1785,IC50,=,14.0,nM,7.85,CHEMBL670652,CHEMBL1134926,2.6390573296152584,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL10143,ETA,616371,CHEMBL252,IC50,=,6000.0,nM,5.22,CHEMBL679789,CHEMBL1129233,8.699514748210191,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL10143,ETB,616374,CHEMBL1785,IC50,>,100000.0,nM,,CHEMBL677450,CHEMBL1129233,11.512925464970229,EDNRB,Endothelin-B receptor,Endothelin receptor type B
