image_id,image_path,source_dataset,source_file,label,label_type,severity_label
psoriasis_001,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_001_0_0.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_0.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_002,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_002_0_1.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_1.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_003,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_003_0_10.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_10.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_004,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_004_0_11.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_11.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_005,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_005_0_14.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_14.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_006,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_006_0_15.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_15.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_007,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_007_0_17.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_17.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_008,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_008_0_2.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_2.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_009,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_009_0_20.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_20.jpg,psoriasis_lichen_planus_related,disease_category,unknown
psoriasis_010,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_010_0_22.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_22.jpg,psoriasis_lichen_planus_related,disease_category,unknown
