image_id,image_path,source_dataset,source_file,label,label_type,severity_label,cluster,pca1,pca2
psoriasis_001,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_001_0_0.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_0.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-8.8123865,7.147954
psoriasis_002,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_002_0_1.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_1.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,1.5502598,-9.513644
psoriasis_003,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_003_0_10.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_10.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-8.960308,-1.1740711
psoriasis_004,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_004_0_11.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_11.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-9.182929,-5.148416
psoriasis_005,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_005_0_14.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_14.jpg,psoriasis_lichen_planus_related,disease_category,unknown,1,1.4419215,-0.37062526
psoriasis_006,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_006_0_15.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_15.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-12.943556,-4.5686216
psoriasis_007,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_007_0_17.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_17.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,1.0145321,-5.523149
psoriasis_008,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_008_0_2.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_2.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,-4.0892777,-7.081492
psoriasis_009,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_009_0_20.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_20.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-3.3935847,0.44644663
psoriasis_010,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_010_0_22.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_22.jpg,psoriasis_lichen_planus_related,disease_category,unknown,1,-0.28885955,6.1195765
psoriasis_011,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_011_0_24.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_24.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,-2.4894214,-2.0422966
psoriasis_012,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_012_0_27.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_27.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,10.358419,-0.6088795
psoriasis_013,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_013_0_30.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_30.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,6.2581615,-7.1388917
psoriasis_014,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_014_0_36.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_36.jpg,psoriasis_lichen_planus_related,disease_category,unknown,3,13.2928095,-12.131814
psoriasis_015,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_015_0_39.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_39.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-5.733478,-7.966853
psoriasis_016,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_016_0_40.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_40.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-4.154912,-9.766878
psoriasis_017,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_017_0_42.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_42.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-6.958413,-4.6115627
psoriasis_018,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_018_0_44.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_44.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-9.063059,-7.0669265
psoriasis_019,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_019_0_45.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_45.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-8.645552,-6.1525846
psoriasis_020,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_020_0_48.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_48.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-1.6296415,-1.3443117
psoriasis_021,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_021_0_5.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_5.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-6.24237,-4.591195
psoriasis_022,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_022_0_51.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_51.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-7.2573347,-5.2966723
psoriasis_023,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_023_0_7.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_7.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-10.047648,6.019128
psoriasis_024,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_024_0_8.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/0_8.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,9.67821,-4.8337784
psoriasis_025,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_025_10_0.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_0.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,3.8365974,-10.031299
psoriasis_026,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_026_10_10.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_10.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-7.720787,-1.0751424
psoriasis_027,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_027_10_11.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_11.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,0.93629736,-4.5477915
psoriasis_028,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_028_10_13.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_13.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,2.9609752,-2.7672276
psoriasis_029,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_029_10_14.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_14.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,-2.0670362,-4.780455
psoriasis_030,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_030_10_17.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_17.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,6.3845067,-6.419623
psoriasis_031,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_031_10_18.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_18.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,7.420786,-7.2107916
psoriasis_032,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_032_10_19.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_19.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,6.131942,-2.5330555
psoriasis_033,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_033_10_21.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_21.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,-7.1368866,-3.8251731
psoriasis_034,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_034_10_22.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_22.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,-6.920657,-9.841702
psoriasis_035,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_035_10_23.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_23.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,10.2842,-2.150643
psoriasis_036,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_036_10_3.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_3.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,6.482888,-4.6116095
psoriasis_037,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_037_10_6.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_6.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,-1.5866424,-3.3367393
psoriasis_038,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_038_10_7.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_7.jpg,psoriasis_lichen_planus_related,disease_category,unknown,0,-3.3246462,5.5018854
psoriasis_039,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_039_10_8.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/10_8.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,4.2291174,-3.445118
psoriasis_040,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_040_11_1.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/11_1.jpg,psoriasis_lichen_planus_related,disease_category,unknown,1,9.292605,8.9932
psoriasis_041,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_041_11_19.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/11_19.jpg,psoriasis_lichen_planus_related,disease_category,unknown,1,11.911889,10.54647
psoriasis_042,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_042_11_20.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/11_20.jpg,psoriasis_lichen_planus_related,disease_category,unknown,1,-0.10775948,1.8035501
psoriasis_043,C:\Users\biso8\20260503_final_project\psoriasis_image_modal\images\psoriasis_043_11_31.jpg,ismailpromus/skin-diseases-image-dataset,IMG_CLASSES/7. Psoriasis pictures Lichen Planus and related diseases - 2k/11_31.jpg,psoriasis_lichen_planus_related,disease_category,unknown,2,8.348218,-2.284436
