repo_id,case_prefix,file_path,size_bytes,size_mib
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_0.tiff,612320316,583.95
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_1.tiff,271016147,258.46
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_2.tiff,219066807,208.92
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_3.tiff,186190583,177.57
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_4.tiff,168220757,160.43
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_5.tiff,391840815,373.69
histai/HISTAI-skin-b2,case_00320,case_00320/slide_H&E_6.tiff,375181547,357.80
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_0.tiff,133596055,127.41
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_1.tiff,143561365,136.91
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_2.tiff,489819019,467.13
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_3.tiff,485834915,463.33
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_4.tiff,349286961,333.11
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_5.tiff,116343473,110.95
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_6.tiff,140826169,134.30
histai/HISTAI-skin-b2,case_00370,case_00370/slide_H&E_7.tiff,116251897,110.87
histai/HISTAI-skin-b2,case_01140,case_01140/slide_H&E_0.tiff,197756835,188.60
histai/HISTAI-skin-b2,case_01354,case_01354/slide_H&E_0.tiff,157588141,150.29
histai/HISTAI-skin-b2,case_01354,case_01354/slide_H&E_1.tiff,261306767,249.20
histai/HISTAI-skin-b2,case_01354,case_01354/slide_H&E_2.tiff,192500029,183.58
histai/HISTAI-skin-b2,case_01755,case_01755/slide_H&E_0.tiff,189048807,180.29
histai/HISTAI-skin-b2,case_01755,case_01755/slide_H&E_1.tiff,393766173,375.52
histai/HISTAI-skin-b2,case_01755,case_01755/slide_H&E_2.tiff,159872535,152.47
histai/HISTAI-skin-b2,case_01755,case_01755/slide_H&E_3.tiff,614519328,586.05
histai/HISTAI-skin-b2,case_02472,case_02472/slide_H&E_0.tiff,177068349,168.87
histai/HISTAI-skin-b2,case_02472,case_02472/slide_H&E_1.tiff,447124862,426.41
histai/HISTAI-skin-b2,case_02472,case_02472/slide_H&E_2.tiff,298504007,284.68
histai/HISTAI-skin-b2,case_02640,case_02640/slide_H&E_0.tiff,77038887,73.47
histai/HISTAI-skin-b2,case_02902,case_02902/slide_H&E_0.tiff,92301007,88.03
histai/HISTAI-skin-b2,case_02940,case_02940/slide_H&E_0.tiff,305494101,291.34
histai/HISTAI-skin-b2,case_02940,case_02940/slide_H&E_1.tiff,282829199,269.73
histai/HISTAI-skin-b2,case_02940,case_02940/slide_H&E_2.tiff,325224629,310.16
histai/HISTAI-skin-b2,case_03153,case_03153/slide_H&E_0.tiff,67761667,64.62
histai/HISTAI-skin-b2,case_03258,case_03258/slide_H&E_0.tiff,256328869,244.45
histai/HISTAI-skin-b2,case_03258,case_03258/slide_H&E_1.tiff,144267821,137.58
histai/HISTAI-skin-b2,case_04867,case_04867/slide_H&E_0.tiff,134409723,128.18
histai/HISTAI-skin-b2,case_04867,case_04867/slide_H&E_1.tiff,390919638,372.81
histai/HISTAI-skin-b2,case_04867,case_04867/slide_H&E_2.tiff,442691097,422.18
histai/HISTAI-skin-b2,case_04867,case_04867/slide_H&E_3.tiff,685841235,654.07
histai/HISTAI-skin-b2,case_04867,case_04867/slide_H&E_4.tiff,605039849,577.01
histai/HISTAI-skin-b2,case_06339,case_06339/slide_H&E_0.tiff,257354237,245.43
histai/HISTAI-skin-b2,case_06339,case_06339/slide_H&E_1.tiff,591818523,564.40
histai/HISTAI-skin-b2,case_06339,case_06339/slide_H&E_2.tiff,287216495,273.91
histai/HISTAI-skin-b2,case_06361,case_06361/slide_H&E_0.tiff,226042771,215.57
histai/HISTAI-skin-b2,case_07429,case_07429/slide_H&E_0.tiff,118280345,112.80
histai/HISTAI-skin-b2,case_07429,case_07429/slide_H&E_1.tiff,71376453,68.07
histai/HISTAI-skin-b2,case_07429,case_07429/slide_H&E_2.tiff,136532219,130.21
histai/HISTAI-skin-b2,case_07429,case_07429/slide_H&E_3.tiff,174545709,166.46
histai/HISTAI-skin-b2,case_07675,case_07675/slide_H&E_0.tiff,64394047,61.41
histai/HISTAI-skin-b2,case_08022,case_08022/slide_H&E_0.tiff,81519091,77.74
histai/HISTAI-skin-b2,case_08069,case_08069/slide_H&E_0.tiff,82679721,78.85
histai/HISTAI-skin-b2,case_08069,case_08069/slide_H&E_1.tiff,126455133,120.60
histai/HISTAI-skin-b2,case_08115,case_08115/slide_H&E_0.tiff,82532619,78.71
histai/HISTAI-skin-b2,case_08811,case_08811/slide_H&E_0.tiff,89044155,84.92
histai/HISTAI-skin-b2,case_08811,case_08811/slide_H&E_1.tiff,52933335,50.48
histai/HISTAI-skin-b2,case_10084,case_10084/slide_H&E_0.tiff,98616273,94.05
histai/HISTAI-skin-b2,case_10643,case_10643/slide_H&E_0.tiff,211370373,201.58
histai/HISTAI-skin-b2,case_10643,case_10643/slide_H&E_1.tiff,238896715,227.83
histai/HISTAI-skin-b2,case_10643,case_10643/slide_H&E_2.tiff,84405187,80.50
histai/HISTAI-skin-b2,case_10700,case_10700/slide_H&E_0.tiff,67861727,64.72
histai/HISTAI-skin-b2,case_10807,case_10807/slide_H&E_0.tiff,42979155,40.99
