canonical_drug_id,drug_name,smiles,supported_target_axes,best_rank,best_model,best_pred_label_regression,models_present,model_support_count,safety_score_best,toxicity_flag_count_best,max_phase_best,oral_best,black_box_warning_best,same_axis_validation_supported,direct_drug_validation_possible,validated_or_axis_supported,empirical_support_positive,empirical_support_score,selection_tier,recommended_final_candidate,selection_note
CHEMBL4297865,ABIVERTINIB,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,4,CatBoost,-8.989890079673518,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,3.0,0,0,True,False,True,True,0.8565259494314519,tier1_empirical_supported,True,same-axis validation with positive empirical support
CHEMBL4085457,RITLECITINIB,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,JAK1,11,CatBoost,-7.88833577060057,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,4.0,1,1,True,False,True,True,0.8565259494314519,tier1_empirical_supported,True,same-axis validation with positive empirical support
CHEMBL1789941,RUXOLITINIB,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,1,CatBoost,-9.75698628385317,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,4.0,1,1,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL42126,PICLAMILAST,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,,2,CatBoost,-9.746818341239395,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,3,CatBoost,-9.35178617345144,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,0.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL193240,ROFLUMILAST,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,,5,CatBoost,-8.607277456179364,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,4.0,1,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL1231124,AZD-1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,6,CatBoost,-8.497801324213743,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4789639,BMS-986202,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,,6,ExtraTrees,-8.568486213684082,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,1.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4435170,DEUCRAVACITINIB,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,JAK2,7,CatBoost,-8.331825435284337,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,4.0,1,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL221959,TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,8,CatBoost,-8.199435798221309,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,4.0,1,1,False,True,True,True,0.5121235846472667,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4303389,NS-018,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,10,CatBoost,-7.913628442467234,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL3113734,UK-500001,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3ccc(F)c(F)c3)CC2)c1,,12,CatBoost,-7.841627321865536,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4066193,ATINVICITINIB,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,JAK3,13,CatBoost,-7.622853000180686,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4116008,CERDULATINIB,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,,14,ExtraTrees,-7.600902557373047,ExtraTrees|LightGBM|RandomForest|XGBoost,4,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4447181,LONDAMOCITINIB,COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1,JAK2,15,ExtraTrees,-7.523941516876221,ExtraTrees|LightGBM|RandomForest|XGBoost,4,5.0,0,2.0,0,0,False,False,False,False,,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL2105759,BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,14,CatBoost,-7.43359556519631,CatBoost,1,5.0,0,4.0,1,1,False,False,False,False,,tier5_single_model_admet_pass,False,single-model ADMET-pass carryover candidate
CHEMBL3137308,PEFICITINIB,NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,,15,CatBoost,-7.344791255321166,CatBoost,1,5.0,0,4.0,1,0,False,False,False,False,,tier5_single_model_admet_pass,False,single-model ADMET-pass carryover candidate
