model,canonical_drug_id,drug_name,pred_rank,pred_label_regression,smiles,supported_target_axes,reference_kind,is_reference_drug,is_validation_treatment_drug,direct_external_validation_possible,oral,parenteral,topical,black_box_warning,max_phase,n_assays_tested,n_pass,n_caution,n_nodata,safety_score,toxicity_flag_count,flags,step7_keep,step7_decision
CatBoost,CHEMBL1789941,RUXOLITINIB,1,-9.75698628385317,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,,False,False,False,1,0,1,1,4.0,2,2,0,20,10.0,0,,True,pass_admet_gate
CatBoost,CHEMBL42126,PICLAMILAST,2,-9.746818341239395,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL388978,STAUROSPORINE,3,-9.35178617345144,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,False,False,False,0,0,0,0,0.0,1,1,0,21,10.0,0,,True,pass_admet_gate
CatBoost,CHEMBL4297865,ABIVERTINIB,4,-8.989890079673518,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,,False,False,False,0,0,0,0,3.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL193240,ROFLUMILAST,5,-8.607277456179364,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,,,False,False,False,1,0,1,0,4.0,5,5,0,17,10.0,0,,True,pass_admet_gate
CatBoost,CHEMBL1231124,AZD-1480,6,-8.497801324213743,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL4435170,DEUCRAVACITINIB,7,-8.331825435284337,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,JAK2,approved_small_molecule,True,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL221959,TOFACITINIB,8,-8.199435798221309,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,clinical_anchor,True,False,False,1,0,0,1,4.0,1,1,0,21,10.0,0,,True,pass_admet_gate
CatBoost,CHEMBL4789639,BMS-986202,9,-8.053739523631148,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,,,False,False,False,0,0,0,0,1.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL4303389,NS-018,10,-7.913628442467234,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL4085457,RITLECITINIB,11,-7.88833577060057,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,JAK1,,False,False,False,1,0,0,1,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL3113734,UK-500001,12,-7.841627321865536,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3ccc(F)c(F)c3)CC2)c1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL4066193,ATINVICITINIB,13,-7.622853000180686,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,JAK3,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL2105759,BARICITINIB,14,-7.43359556519631,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,clinical_anchor,True,False,False,1,0,0,1,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
CatBoost,CHEMBL3137308,PEFICITINIB,15,-7.344791255321166,NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,,,False,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
