model,canonical_drug_id,drug_name,pred_rank,pred_label_regression,smiles,supported_target_axes,reference_kind,is_reference_drug,is_validation_treatment_drug,direct_external_validation_possible,oral,parenteral,topical,black_box_warning,max_phase,n_assays_tested,n_pass,n_caution,n_nodata,safety_score,toxicity_flag_count,flags,step7_keep,step7_decision
LightGBM,CHEMBL1789941,RUXOLITINIB,1,-10.20742933448607,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,,False,False,False,1,0,1,1,4.0,2,2,0,20,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL42126,PICLAMILAST,2,-10.0384976779908,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL388978,STAUROSPORINE,3,-9.42476102391664,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,False,False,False,0,0,0,0,0.0,1,1,0,21,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4297865,ABIVERTINIB,4,-9.2785913308326,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,,False,False,False,0,0,0,0,3.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL193240,ROFLUMILAST,5,-8.788481246751532,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,,,False,False,False,1,0,1,0,4.0,5,5,0,17,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4789639,BMS-986202,6,-8.549997015766955,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,,,False,False,False,0,0,0,0,1.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4435170,DEUCRAVACITINIB,7,-8.505479661993544,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,JAK2,approved_small_molecule,True,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL1231124,AZD-1480,8,-8.499341269062352,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL221959,TOFACITINIB,9,-8.318564773352596,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,clinical_anchor,True,False,False,1,0,0,1,4.0,1,1,0,21,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4303389,NS-018,10,-8.203728002341222,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4085457,RITLECITINIB,11,-8.097865031788608,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,JAK1,,False,False,False,1,0,0,1,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL3113734,UK-500001,12,-7.835541162363706,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3ccc(F)c(F)c3)CC2)c1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4066193,ATINVICITINIB,13,-7.80684004933601,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,JAK3,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4116008,CERDULATINIB,14,-7.586796311589926,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4447181,LONDAMOCITINIB,15,-7.51373517311545,COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1,JAK2,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL3989927,IBERDOMIDE,16,-7.385520681548519,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,,,False,False,False,0,0,0,0,3.0,0,0,0,22,5.0,0,,True,pass_admet_gate
