model,canonical_drug_id,drug_name,pred_rank,pred_label_regression,smiles,supported_target_axes,reference_kind,is_reference_drug,is_validation_treatment_drug,direct_external_validation_possible,oral,parenteral,topical,black_box_warning,max_phase,n_assays_tested,n_pass,n_caution,n_nodata,safety_score,toxicity_flag_count,flags,step7_keep,step7_decision
XGBoost,CHEMBL1789941,RUXOLITINIB,1,-10.19603443145752,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,,False,False,False,1,0,1,1,4.0,2,2,0,20,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL42126,PICLAMILAST,2,-10.01698398590088,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL388978,STAUROSPORINE,3,-9.426329612731934,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,False,False,False,0,0,0,0,0.0,1,1,0,21,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4297865,ABIVERTINIB,4,-9.261496543884276,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,,False,False,False,0,0,0,0,3.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL193240,ROFLUMILAST,5,-8.757704566773914,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,,,False,False,False,1,0,1,0,4.0,5,5,0,17,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4789639,BMS-986202,6,-8.51921272277832,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncc(F)cn2)c1OC,,,False,False,False,0,0,0,0,1.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL1231124,AZD-1480,7,-8.504364967346191,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4435170,DEUCRAVACITINIB,8,-8.489843368530273,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,JAK2,approved_small_molecule,True,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL221959,TOFACITINIB,9,-8.306991577148438,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,clinical_anchor,True,False,False,1,0,0,1,4.0,1,1,0,21,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4303389,NS-018,10,-8.19638442993164,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4085457,RITLECITINIB,11,-8.05445384979248,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,JAK1,,False,False,False,1,0,0,1,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3113734,UK-500001,12,-7.811409473419189,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3ccc(F)c(F)c3)CC2)c1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4066193,ATINVICITINIB,13,-7.781430721282959,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,JAK3,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4116008,CERDULATINIB,14,-7.581739902496338,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4447181,LONDAMOCITINIB,15,-7.490723609924316,COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1,JAK2,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3989927,IBERDOMIDE,16,-7.309052467346191,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,,,False,False,False,0,0,0,0,3.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL2105759,BARICITINIB,17,-7.254305362701416,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,clinical_anchor,True,False,False,1,0,0,1,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3137308,PEFICITINIB,18,-7.252954006195068,NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,,,False,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL1287853,FEDRATINIB,19,-7.1788153648376465,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JAK3,,False,False,False,1,0,0,1,4.0,2,2,0,20,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3622821,UPADACITINIB,20,-7.114288330078125,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,TYK2,,False,False,False,1,0,0,1,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL603469,LESTAURTINIB,21,-7.013955116271973,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,,,False,False,False,0,0,0,0,3.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL495727,AT-9283,22,-6.899188995361328,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,,,False,False,False,0,0,0,0,2.0,4,4,0,18,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL2035187,PACRITINIB,23,-6.888431072235107,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,JAK1,,False,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3545215,BMS-911543,24,-6.784462928771973,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL4298138,REPOTRECTINIB,25,-6.772400856018066,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,,,False,False,False,1,0,0,0,4.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3039513,DECERNOTINIB,26,-6.698639869689941,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,TYK2,,False,False,False,0,0,0,0,2.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL32442,CDP840,27,-6.517666816711426,COc1ccc([C@H](Cc2ccncc2)c2ccccc2)cc1OC1CCCC1,,,False,False,False,0,0,0,0,0.0,0,0,0,22,5.0,0,,True,pass_admet_gate
XGBoost,CHEMBL1078178,MOMELOTINIB,28,-6.436704158782959,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,,,False,False,False,1,0,0,0,4.0,3,3,0,19,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL2103743,TOFACITINIB CITRATE,29,-6.400141716003418,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,,clinical_anchor,True,False,False,1,0,0,1,4.0,1,1,0,21,10.0,0,,True,pass_admet_gate
XGBoost,CHEMBL3393066,VS-5584,30,-6.366701126098633,Cc1nc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc2n1C(C)C,,,False,False,False,0,0,0,0,1.0,0,0,0,22,5.0,0,,True,pass_admet_gate
