canonical_drug_id,drug_name,pred_label_regression,pred_rank,phase,model
CHEMBL4435170,DEUCRAVACITINIB,-8.517192840576172,8.0,phase2a,RandomForest
CHEMBL221959,TOFACITINIB,-8.334871292114258,9.0,phase2a,RandomForest
CHEMBL2105759,BARICITINIB,-7.264430046081543,17.0,phase2a,RandomForest
CHEMBL514800,APREMILAST,-4.104394912719727,55.0,phase2a,RandomForest
,Adalimumab,,,phase2a,RandomForest
,Etanercept,,,phase2a,RandomForest
,Secukinumab,,,phase2a,RandomForest
,Ixekizumab,,,phase2a,RandomForest
,Ustekinumab,,,phase2a,RandomForest
,Guselkumab,,,phase2a,RandomForest
,Risankizumab,,,phase2a,RandomForest
,Methotrexate,,,phase2a,RandomForest
,Cyclosporine,,,phase2a,RandomForest
CHEMBL4435170,DEUCRAVACITINIB,-8.517192840576172,8.0,phase2a,ExtraTrees
CHEMBL221959,TOFACITINIB,-8.334871292114258,9.0,phase2a,ExtraTrees
CHEMBL2105759,BARICITINIB,-7.264430046081543,17.0,phase2a,ExtraTrees
CHEMBL514800,APREMILAST,-4.104394912719727,55.0,phase2a,ExtraTrees
,Adalimumab,,,phase2a,ExtraTrees
,Etanercept,,,phase2a,ExtraTrees
,Secukinumab,,,phase2a,ExtraTrees
,Ixekizumab,,,phase2a,ExtraTrees
,Ustekinumab,,,phase2a,ExtraTrees
,Guselkumab,,,phase2a,ExtraTrees
,Risankizumab,,,phase2a,ExtraTrees
,Methotrexate,,,phase2a,ExtraTrees
,Cyclosporine,,,phase2a,ExtraTrees
CHEMBL4435170,DEUCRAVACITINIB,-8.505479661993544,7.0,phase2a,LightGBM
CHEMBL221959,TOFACITINIB,-8.318564773352596,9.0,phase2a,LightGBM
CHEMBL2105759,BARICITINIB,-7.254661323202253,17.0,phase2a,LightGBM
CHEMBL514800,APREMILAST,-4.092511106715844,55.0,phase2a,LightGBM
,Adalimumab,,,phase2a,LightGBM
,Etanercept,,,phase2a,LightGBM
,Secukinumab,,,phase2a,LightGBM
,Ixekizumab,,,phase2a,LightGBM
,Ustekinumab,,,phase2a,LightGBM
,Guselkumab,,,phase2a,LightGBM
,Risankizumab,,,phase2a,LightGBM
,Methotrexate,,,phase2a,LightGBM
,Cyclosporine,,,phase2a,LightGBM
CHEMBL4435170,DEUCRAVACITINIB,-8.489843368530273,8.0,phase2a,XGBoost
CHEMBL221959,TOFACITINIB,-8.306991577148438,9.0,phase2a,XGBoost
CHEMBL2105759,BARICITINIB,-7.254305362701416,17.0,phase2a,XGBoost
CHEMBL514800,APREMILAST,-4.079781784330096,56.0,phase2a,XGBoost
,Adalimumab,,,phase2a,XGBoost
,Etanercept,,,phase2a,XGBoost
,Secukinumab,,,phase2a,XGBoost
,Ixekizumab,,,phase2a,XGBoost
,Ustekinumab,,,phase2a,XGBoost
,Guselkumab,,,phase2a,XGBoost
,Risankizumab,,,phase2a,XGBoost
,Methotrexate,,,phase2a,XGBoost
,Cyclosporine,,,phase2a,XGBoost
CHEMBL4435170,DEUCRAVACITINIB,-8.331825435284337,7.0,phase2a,CatBoost
CHEMBL221959,TOFACITINIB,-8.199435798221309,8.0,phase2a,CatBoost
CHEMBL2105759,BARICITINIB,-7.43359556519631,14.0,phase2a,CatBoost
CHEMBL514800,APREMILAST,-3.6831511211907166,58.0,phase2a,CatBoost
,Adalimumab,,,phase2a,CatBoost
,Etanercept,,,phase2a,CatBoost
,Secukinumab,,,phase2a,CatBoost
,Ixekizumab,,,phase2a,CatBoost
,Ustekinumab,,,phase2a,CatBoost
,Guselkumab,,,phase2a,CatBoost
,Risankizumab,,,phase2a,CatBoost
,Methotrexate,,,phase2a,CatBoost
,Cyclosporine,,,phase2a,CatBoost
CHEMBL4435170,DEUCRAVACITINIB,-8.517192840576172,8.0,phase2b,RandomForest
CHEMBL221959,TOFACITINIB,-8.334871292114258,9.0,phase2b,RandomForest
CHEMBL2105759,BARICITINIB,-7.264430046081543,17.0,phase2b,RandomForest
CHEMBL514800,APREMILAST,-4.104394912719727,55.0,phase2b,RandomForest
,Adalimumab,,,phase2b,RandomForest
,Etanercept,,,phase2b,RandomForest
,Secukinumab,,,phase2b,RandomForest
,Ixekizumab,,,phase2b,RandomForest
,Ustekinumab,,,phase2b,RandomForest
,Guselkumab,,,phase2b,RandomForest
,Risankizumab,,,phase2b,RandomForest
,Methotrexate,,,phase2b,RandomForest
,Cyclosporine,,,phase2b,RandomForest
