phase,model,evaluation,pair_rows,sample_count,drug_count,patient_feature_dim,drug_feature_dim,spearman_mean,spearman_std,rmse_mean,rmse_std,train_spearman_mean,spearman_gap_mean
phase2a,RandomForest,holdout,57960,420,138,272,15,1.0,0.0,0.0,0.0,1.0,0.0
phase2a,RandomForest,drug_groupcv,57960,420,138,272,15,0.8649790450201903,0.0527063266491596,1.7566156362570224,0.14990071314924044,1.0,0.1350209549798097
phase2a,RandomForest,scaffoldcv,57960,420,138,272,15,0.8264043655650438,0.04618533043309172,2.1444297337923293,0.2875732408399186,1.0,0.17359563443495607
phase2a,ExtraTrees,holdout,57960,420,138,272,15,1.0,0.0,0.0,0.0,1.0,0.0
phase2a,ExtraTrees,drug_groupcv,57960,420,138,272,15,0.9036399758858281,0.037964841101607326,1.5443260343208596,0.2786156655877291,1.0,0.09636002411417188
phase2a,ExtraTrees,scaffoldcv,57960,420,138,272,15,0.9032110981137599,0.06328092129034892,1.5214885172389294,0.22879707203726568,1.0,0.09678890188624016
phase2a,LightGBM,holdout,57960,420,138,272,15,0.9999202683963415,0.0,0.023206323300312703,0.0,0.9999204607953294,1.9239898785272658e-07
phase2a,LightGBM,drug_groupcv,57960,420,138,272,15,0.859575653095881,0.05771563217291071,1.7606432081317909,0.21821600263820695,0.9999422015233838,0.1403665484275027
phase2a,LightGBM,scaffoldcv,57960,420,138,272,15,0.8670328686557767,0.0584260518181834,1.8358199692617887,0.2620780905906722,0.9999267883194478,0.13289391966367123
phase2a,XGBoost,holdout,57960,420,138,272,15,0.9995523266713393,0.0,0.09225515324140872,0.0,0.9995341433524046,-1.8183318934661408e-05
phase2a,XGBoost,drug_groupcv,57960,420,138,272,15,0.8615841459669551,0.0526080907645873,1.7641752106603104,0.16352062340413215,0.9996718327160901,0.1380876867491351
phase2a,XGBoost,scaffoldcv,57960,420,138,272,15,0.839287962404955,0.04631731526799816,1.994353144704655,0.21285713738812803,0.9996038313946397,0.16031586898968467
phase2a,CatBoost,holdout,57960,420,138,272,15,0.9966921692224842,0.0,0.29610178071086196,0.0,0.9964603212828719,-0.00023184793961228412
phase2a,CatBoost,drug_groupcv,57960,420,138,272,15,0.8710509151250615,0.05838183796935438,1.7232609001316703,0.2613913110332066,0.9980188763552769,0.12696796123021536
phase2a,CatBoost,scaffoldcv,57960,420,138,272,15,0.888024917626228,0.05992338352333301,1.7529690568696576,0.19898575192793808,0.9983304773641186,0.11030555973789051
phase2b,RandomForest,holdout,57960,420,138,272,1039,1.0,0.0,0.0,0.0,1.0,0.0
phase2b,RandomForest,drug_groupcv,57960,420,138,272,1039,0.7685931048543354,0.07201948024440556,2.283777755648943,0.31402164065536053,1.0,0.2314068951456646
phase2b,RandomForest,scaffoldcv,57960,420,138,272,1039,0.6403967504235514,0.06333856395535639,2.9777966312522763,0.3380637771167268,1.0,0.3596032495764485
phase2b,ExtraTrees,holdout,57960,420,138,272,1039,1.0,0.0,0.0,0.0,1.0,0.0
phase2b,ExtraTrees,drug_groupcv,57960,420,138,272,1039,0.7435051962938714,0.0646816457297397,2.414427350630911,0.18853898731113777,1.0,0.25649480370612865
phase2b,ExtraTrees,scaffoldcv,57960,420,138,272,1039,0.7165748513405937,0.04813185424015107,2.5098994533505525,0.09955437152364283,1.0,0.2834251486594061
phase2b,LightGBM,holdout,57960,420,138,272,1039,0.9999460320165519,0.0,0.008705516566563687,0.0,0.9999435175726217,-2.514443930179411e-06
phase2b,LightGBM,drug_groupcv,57960,420,138,272,1039,0.8206062065128252,0.04940868652594183,2.017411349249794,0.2908641748287421,0.9999460553873241,0.17933984887449883
phase2b,LightGBM,scaffoldcv,57960,420,138,272,1039,0.7705867063222716,0.02044340638448443,2.3506844150422928,0.22000247781280427,0.999952477259912,0.22936577093764052
phase2b,XGBoost,holdout,57960,420,138,272,1039,0.9997846072238165,0.0,0.05406704143367986,0.0,0.9997695838219922,-1.5023401824243443e-05
phase2b,XGBoost,drug_groupcv,57960,420,138,272,1039,0.8472497515483756,0.03834675740769458,1.9595916739294197,0.11286706776401707,0.9999152289398885,0.15266547739151293
phase2b,XGBoost,scaffoldcv,57960,420,138,272,1039,0.8170714232206874,0.03900748752882646,2.1824578248410766,0.09420084440217918,0.9998368785842624,0.1827654553635751
phase2b,CatBoost,holdout,57960,420,138,272,1039,0.9990277563866564,0.0,0.1503175842144906,0.0,0.998966623801678,-6.113258497841834e-05
phase2b,CatBoost,drug_groupcv,57960,420,138,272,1039,0.8237913632350086,0.026526724952712098,2.156663308159198,0.12306750212467923,0.9995401788790921,0.17574881564408354
phase2b,CatBoost,scaffoldcv,57960,420,138,272,1039,0.8302493018340807,0.033090369979889116,2.242716929199005,0.09574498131891232,0.9995787101392791,0.16932940830519824
