canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-9.75698628385317,1
CHEMBL42126,PICLAMILAST,-9.746818341239395,2
CHEMBL388978,STAUROSPORINE,-9.35178617345144,3
CHEMBL4297865,ABIVERTINIB,-8.989890079673518,4
CHEMBL193240,ROFLUMILAST,-8.607277456179364,5
CHEMBL1231124,AZD-1480,-8.497801324213743,6
CHEMBL4435170,DEUCRAVACITINIB,-8.331825435284337,7
CHEMBL221959,TOFACITINIB,-8.199435798221309,8
CHEMBL4789639,BMS-986202,-8.053739523631148,9
CHEMBL4303389,NS-018,-7.913628442467234,10
CHEMBL4085457,RITLECITINIB,-7.88833577060057,11
CHEMBL3113734,UK-500001,-7.841627321865536,12
CHEMBL4066193,ATINVICITINIB,-7.622853000180686,13
CHEMBL2105759,BARICITINIB,-7.43359556519631,14
CHEMBL3137308,PEFICITINIB,-7.344791255321166,15
CHEMBL4116008,CERDULATINIB,-7.277410014605959,16
CHEMBL1287853,FEDRATINIB,-7.183120361124556,17
CHEMBL4447181,LONDAMOCITINIB,-7.150414475637155,18
CHEMBL603469,LESTAURTINIB,-7.09279055246622,19
CHEMBL3989927,IBERDOMIDE,-7.080966498810301,20
CHEMBL495727,AT-9283,-6.941882932180455,21
CHEMBL3622821,UPADACITINIB,-6.902101928707991,22
CHEMBL2035187,PACRITINIB,-6.798495973370098,23
CHEMBL1078178,MOMELOTINIB,-6.747821589564127,24
CHEMBL4298138,REPOTRECTINIB,-6.660511690659576,25
CHEMBL4594441,IFIDANCITINIB,-6.644753261369568,26
CHEMBL3039513,DECERNOTINIB,-6.574730803711773,27
CHEMBL32442,CDP840,-6.45265181645204,28
CHEMBL3545215,BMS-911543,-6.450325962307698,29
CHEMBL3393066,VS-5584,-6.307271634086332,30
