canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-10.20742933448607,1
CHEMBL42126,PICLAMILAST,-10.0384976779908,2
CHEMBL388978,STAUROSPORINE,-9.42476102391664,3
CHEMBL4297865,ABIVERTINIB,-9.278591330832601,4
CHEMBL193240,ROFLUMILAST,-8.788481246751532,5
CHEMBL4789639,BMS-986202,-8.549997015766955,6
CHEMBL4435170,DEUCRAVACITINIB,-8.505479661993544,7
CHEMBL1231124,AZD-1480,-8.499341269062352,8
CHEMBL221959,TOFACITINIB,-8.318564773352596,9
CHEMBL4303389,NS-018,-8.203728002341222,10
CHEMBL4085457,RITLECITINIB,-8.097865031788608,11
CHEMBL3113734,UK-500001,-7.835541162363706,12
CHEMBL4066193,ATINVICITINIB,-7.80684004933601,13
CHEMBL4116008,CERDULATINIB,-7.586796311589926,14
CHEMBL4447181,LONDAMOCITINIB,-7.51373517311545,15
CHEMBL3989927,IBERDOMIDE,-7.385520681548519,16
CHEMBL2105759,BARICITINIB,-7.254661323202253,17
CHEMBL3137308,PEFICITINIB,-7.252459638327128,18
CHEMBL1287853,FEDRATINIB,-7.183364389115328,19
CHEMBL3622821,UPADACITINIB,-7.115986563468053,20
CHEMBL603469,LESTAURTINIB,-7.007041376569775,21
CHEMBL495727,AT-9283,-6.89741571704831,22
CHEMBL2035187,PACRITINIB,-6.889492520300579,23
CHEMBL191003,JNJ-7706621,-6.860502284490772,24
CHEMBL4298138,REPOTRECTINIB,-6.840074561449481,25
CHEMBL3545215,BMS-911543,-6.796201706425222,26
CHEMBL3039513,DECERNOTINIB,-6.712351070044455,27
CHEMBL32442,CDP840,-6.5113001423419234,28
CHEMBL1078178,MOMELOTINIB,-6.4369013800234995,29
CHEMBL2103743,TOFACITINIB CITRATE,-6.427215964329691,30
