canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-10.2319917678833,1
CHEMBL42126,PICLAMILAST,-10.101938247680664,2
CHEMBL388978,STAUROSPORINE,-9.4473295211792,3
CHEMBL4297865,ABIVERTINIB,-9.303552627563477,4
CHEMBL193240,ROFLUMILAST,-8.804875373840332,5
CHEMBL4789639,BMS-986202,-8.568486213684082,6
CHEMBL1231124,AZD-1480,-8.517192840576172,7
CHEMBL4435170,DEUCRAVACITINIB,-8.517192840576172,8
CHEMBL221959,TOFACITINIB,-8.334871292114258,9
CHEMBL4303389,NS-018,-8.21708869934082,10
CHEMBL4085457,RITLECITINIB,-8.111727714538574,11
CHEMBL3113734,UK-500001,-7.875339508056641,12
CHEMBL4066193,ATINVICITINIB,-7.8240461349487305,13
CHEMBL4116008,CERDULATINIB,-7.600902557373047,14
CHEMBL4447181,LONDAMOCITINIB,-7.523941516876221,15
CHEMBL3989927,IBERDOMIDE,-7.435388088226318,16
CHEMBL2105759,BARICITINIB,-7.264430046081543,17
CHEMBL3137308,PEFICITINIB,-7.264430046081543,18
CHEMBL1287853,FEDRATINIB,-7.195437431335449,19
CHEMBL3622821,UPADACITINIB,-7.130898952484131,20
CHEMBL603469,LESTAURTINIB,-7.013115882873535,21
CHEMBL191003,JNJ-7706621,-6.907755374908447,22
CHEMBL2035187,PACRITINIB,-6.907755374908447,23
CHEMBL495727,AT-9283,-6.907755374908447,24
CHEMBL4298138,REPOTRECTINIB,-6.868534564971924,25
CHEMBL3545215,BMS-911543,-6.812445163726807,26
CHEMBL3039513,DECERNOTINIB,-6.725433826446533,27
CHEMBL32442,CDP840,-6.571282863616943,28
CHEMBL1078178,MOMELOTINIB,-6.437751770019531,29
CHEMBL2103743,TOFACITINIB CITRATE,-6.437751770019531,30
