canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-10.19603443145752,1
CHEMBL42126,PICLAMILAST,-10.016983985900879,2
CHEMBL388978,STAUROSPORINE,-9.426329612731934,3
CHEMBL4297865,ABIVERTINIB,-9.261496543884277,4
CHEMBL193240,ROFLUMILAST,-8.757704566773914,5
CHEMBL4789639,BMS-986202,-8.51921272277832,6
CHEMBL1231124,AZD-1480,-8.504364967346191,7
CHEMBL4435170,DEUCRAVACITINIB,-8.489843368530273,8
CHEMBL221959,TOFACITINIB,-8.306991577148438,9
CHEMBL4303389,NS-018,-8.19638442993164,10
CHEMBL4085457,RITLECITINIB,-8.05445384979248,11
CHEMBL3113734,UK-500001,-7.8114094734191895,12
CHEMBL4066193,ATINVICITINIB,-7.781430721282959,13
CHEMBL4116008,CERDULATINIB,-7.581739902496338,14
CHEMBL4447181,LONDAMOCITINIB,-7.490723609924316,15
CHEMBL3989927,IBERDOMIDE,-7.309052467346191,16
CHEMBL2105759,BARICITINIB,-7.254305362701416,17
CHEMBL3137308,PEFICITINIB,-7.252954006195068,18
CHEMBL1287853,FEDRATINIB,-7.1788153648376465,19
CHEMBL3622821,UPADACITINIB,-7.114288330078125,20
CHEMBL603469,LESTAURTINIB,-7.013955116271973,21
CHEMBL495727,AT-9283,-6.899188995361328,22
CHEMBL2035187,PACRITINIB,-6.888431072235107,23
CHEMBL3545215,BMS-911543,-6.784462928771973,24
CHEMBL4298138,REPOTRECTINIB,-6.772400856018066,25
CHEMBL3039513,DECERNOTINIB,-6.698639869689941,26
CHEMBL32442,CDP840,-6.517666816711426,27
CHEMBL1078178,MOMELOTINIB,-6.436704158782959,28
CHEMBL2103743,TOFACITINIB CITRATE,-6.400141716003418,29
CHEMBL3393066,VS-5584,-6.366701126098633,30
