canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-9.87867433793613,1
CHEMBL42126,PICLAMILAST,-9.809401229793611,2
CHEMBL388978,STAUROSPORINE,-9.292726349656999,3
CHEMBL4297865,ABIVERTINIB,-9.05322331323209,4
CHEMBL193240,ROFLUMILAST,-8.699715757496916,5
CHEMBL1231124,AZD-1480,-8.473200452575483,6
CHEMBL4789639,BMS-986202,-8.433091107381525,7
CHEMBL4435170,DEUCRAVACITINIB,-8.253431236029437,8
CHEMBL221959,TOFACITINIB,-8.201315329363492,9
CHEMBL4303389,NS-018,-8.137695314894325,10
CHEMBL4085457,RITLECITINIB,-7.844400254818045,11
CHEMBL3113734,UK-500001,-7.759604851420621,12
CHEMBL4066193,ATINVICITINIB,-7.590444201212883,13
CHEMBL4116008,CERDULATINIB,-7.50715366575458,14
CHEMBL2105759,BARICITINIB,-7.3605478273051705,15
CHEMBL4447181,LONDAMOCITINIB,-7.35233815030632,16
CHEMBL3137308,PEFICITINIB,-7.301112094869093,17
CHEMBL3989927,IBERDOMIDE,-7.164708167619683,18
CHEMBL603469,LESTAURTINIB,-7.149750432784633,19
CHEMBL1287853,FEDRATINIB,-7.142785306106078,20
CHEMBL3622821,UPADACITINIB,-6.964102975384173,21
CHEMBL495727,AT-9283,-6.892040811445057,22
CHEMBL2035187,PACRITINIB,-6.721110487784724,23
CHEMBL3545215,BMS-911543,-6.68729140152278,24
CHEMBL4298138,REPOTRECTINIB,-6.635571533730705,25
CHEMBL191003,JNJ-7706621,-6.617594536036135,26
CHEMBL3039513,DECERNOTINIB,-6.596592880753651,27
CHEMBL32442,CDP840,-6.529510461042646,28
CHEMBL1078178,MOMELOTINIB,-6.419564802808651,29
CHEMBL3393066,VS-5584,-6.318132746333527,30
