canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-10.213056889781123,1
CHEMBL42126,PICLAMILAST,-10.083624450042237,2
CHEMBL388978,STAUROSPORINE,-9.43240680016285,3
CHEMBL4297865,ABIVERTINIB,-9.287703826822664,4
CHEMBL193240,ROFLUMILAST,-8.79060881123817,5
CHEMBL4789639,BMS-986202,-8.552216105114056,6
CHEMBL4435170,DEUCRAVACITINIB,-8.504889142434441,7
CHEMBL1231124,AZD-1480,-8.503062429332509,8
CHEMBL221959,TOFACITINIB,-8.32092039509802,9
CHEMBL4303389,NS-018,-8.20420929371133,10
CHEMBL4085457,RITLECITINIB,-8.099803577323769,11
CHEMBL3113734,UK-500001,-7.864621200328087,12
CHEMBL4066193,ATINVICITINIB,-7.8134103243504835,13
CHEMBL4116008,CERDULATINIB,-7.589620066135046,14
CHEMBL4447181,LONDAMOCITINIB,-7.512428618096133,15
CHEMBL3989927,IBERDOMIDE,-7.423404824253494,16
CHEMBL2105759,BARICITINIB,-7.254246902916936,17
CHEMBL3137308,PEFICITINIB,-7.253925909267825,18
CHEMBL1287853,FEDRATINIB,-7.184957351694198,19
CHEMBL3622821,UPADACITINIB,-7.119657865504121,20
CHEMBL603469,LESTAURTINIB,-7.00525552094181,21
CHEMBL495727,AT-9283,-6.900177227903947,22
CHEMBL2035187,PACRITINIB,-6.8995114269574165,23
CHEMBL191003,JNJ-7706621,-6.897602558109768,24
CHEMBL4298138,REPOTRECTINIB,-6.858357401699148,25
CHEMBL3545215,BMS-911543,-6.802654117183086,26
CHEMBL3039513,DECERNOTINIB,-6.717181830164232,27
CHEMBL32442,CDP840,-6.56355913189645,28
CHEMBL1078178,MOMELOTINIB,-6.430952607578524,29
CHEMBL2103743,TOFACITINIB CITRATE,-6.428842015982394,30
