canonical_drug_id,drug_name,pred_label_regression,pred_rank
CHEMBL1789941,RUXOLITINIB,-10.184913635253906,1
CHEMBL42126,PICLAMILAST,-10.012030601501465,2
CHEMBL388978,STAUROSPORINE,-9.413755416870117,3
CHEMBL4297865,ABIVERTINIB,-9.233002662658691,4
CHEMBL193240,ROFLUMILAST,-8.748262405395508,5
CHEMBL4789639,BMS-986202,-8.534710884094238,6
CHEMBL1231124,AZD-1480,-8.497180938720703,7
CHEMBL4435170,DEUCRAVACITINIB,-8.475051879882812,8
CHEMBL221959,TOFACITINIB,-8.308060646057129,9
CHEMBL4303389,NS-018,-8.186511039733887,10
CHEMBL4085457,RITLECITINIB,-8.023126602172852,11
CHEMBL3113734,UK-500001,-7.828012466430664,12
CHEMBL4066193,ATINVICITINIB,-7.784740924835205,13
CHEMBL4116008,CERDULATINIB,-7.573118209838867,14
CHEMBL4447181,LONDAMOCITINIB,-7.492323875427246,15
CHEMBL3989927,IBERDOMIDE,-7.325008869171143,16
CHEMBL3137308,PEFICITINIB,-7.254828929901123,17
CHEMBL2105759,BARICITINIB,-7.246235370635986,18
CHEMBL1287853,FEDRATINIB,-7.178510665893555,19
CHEMBL3622821,UPADACITINIB,-7.085257053375244,20
CHEMBL603469,LESTAURTINIB,-7.011594295501709,21
CHEMBL495727,AT-9283,-6.89558744430542,22
CHEMBL2035187,PACRITINIB,-6.877742767333984,23
CHEMBL3545215,BMS-911543,-6.796020984649658,24
CHEMBL4298138,REPOTRECTINIB,-6.792447090148926,25
CHEMBL191003,JNJ-7706621,-6.78227424621582,26
CHEMBL3039513,DECERNOTINIB,-6.700421333312988,27
CHEMBL32442,CDP840,-6.530041217803955,28
CHEMBL1078178,MOMELOTINIB,-6.42988920211792,29
CHEMBL2103743,TOFACITINIB CITRATE,-6.409576416015625,30
