model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
LightGBM,CHEMBL1789941,RUXOLITINIB,1,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.17346938775510204,-5,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.18421052631578946,1,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.17894736842105263,1,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.18421052631578946,1,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.26865671641791045,1,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,exact,1.0,83,measured
LightGBM,CHEMBL1789941,RUXOLITINIB,1,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.325,1,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.22784810126582278,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.22784810126582278,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.22784810126582278,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.18421052631578946,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.18421052631578946,1,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.18421052631578946,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.1956521739130435,3,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.1956521739130435,7,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,half_life_obach,Excretion,Half-Life,regression,no_match,0.18421052631578946,2,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.18421052631578946,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.18421052631578946,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.17647058823529413,0,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.19444444444444445,3,no_data
LightGBM,CHEMBL1789941,RUXOLITINIB,1,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,exact,1.0,2,measured
LightGBM,CHEMBL1789941,RUXOLITINIB,1,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.18421052631578946,-3,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.23076923076923078,-7,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.2261904761904762,1,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.22580645161290322,1,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.23076923076923078,1,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.21978021978021978,0,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,exact,1.0,96,measured
LightGBM,CHEMBL1873475,IBRUTINIB,2,vdss_lombardo,Distribution,Volume of Distribution,regression,exact,1.0,9,measured
LightGBM,CHEMBL1873475,IBRUTINIB,2,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.4722222222222222,1,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.32432432432432434,0,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.32432432432432434,0,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.21978021978021978,0,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.21978021978021978,0,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.21978021978021978,1,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.32941176470588235,150,no_data
LightGBM,CHEMBL1873475,IBRUTINIB,2,clearance_microsome_az,Excretion,Microsome Clearance,regression,exact,1.0,150,measured
LightGBM,CHEMBL1873475,IBRUTINIB,2,half_life_obach,Excretion,Half-Life,regression,no_match,0.23076923076923078,42,no_data
