model,canonical_drug_id,drug_name,pred_rank,pred_label_regression,smiles,supported_target_axes,reference_kind,is_reference_drug,is_validation_treatment_drug,direct_external_validation_possible,oral,parenteral,topical,black_box_warning,max_phase,n_assays_tested,n_pass,n_caution,n_nodata,safety_score,toxicity_flag_count,flags,step7_keep,step7_decision
LightGBM,CHEMBL1789941,RUXOLITINIB,1,-10.211242027454542,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,approved_small_molecule,True,False,False,0,0,0,0,,2,2,0,20,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL1873475,IBRUTINIB,2,-9.416094958731229,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,False,False,False,0,0,0,0,,3,3,0,19,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4297674,BRANEBRUTINIB,3,-9.29356330791061,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4594420,LUXEPTINIB,4,-9.195749252799034,Cc1c[nH]c(-c2ccc(-c3ccc(NC(=O)Nc4c(F)cc(F)cc4F)cc3F)c3c2C(=O)NC3)n1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL388978,STAUROSPORINE,5,-9.054428519668686,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,False,False,False,0,0,0,0,,1,1,0,21,10.0,0,,True,pass_admet_gate
LightGBM,CHEMBL1231124,AZD-1480,6,-8.502111972475216,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4303389,NS-018,7,-8.200809560365716,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,-8.09546826837212,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4756476,NEMTABRUTINIB,9,-7.842404058911346,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4209441,SOFNOBRUTINIB,10,-7.837282437381901,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4297865,ABIVERTINIB,11,-7.819116197037585,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL4066193,ATINVICITINIB,12,-7.809056339598468,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL3900554,BMS-986142,13,-7.790154143087497,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,JAK2,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL5077961,MILREBRUTINIB,14,-7.666026428053249,Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
LightGBM,CHEMBL221959,TOFACITINIB,15,-7.600656071393736,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,approved_small_molecule,True,False,False,0,0,0,0,,1,1,0,21,10.0,0,,True,pass_admet_gate
