model,canonical_drug_id,drug_name,pred_rank,pred_label_regression,smiles,supported_target_axes,reference_kind,is_reference_drug,is_validation_treatment_drug,direct_external_validation_possible,oral,parenteral,topical,black_box_warning,max_phase,n_assays_tested,n_pass,n_caution,n_nodata,safety_score,toxicity_flag_count,flags,step7_keep,step7_decision
RandomForest,CHEMBL1789941,RUXOLITINIB,1,-10.2319917678833,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,approved_small_molecule,True,False,False,0,0,0,0,,2,2,0,20,10.0,0,,True,pass_admet_gate
RandomForest,CHEMBL1873475,IBRUTINIB,2,-9.433484077453612,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,,False,False,False,0,0,0,0,,3,3,0,19,10.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4297674,BRANEBRUTINIB,3,-9.31570053100586,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4594420,LUXEPTINIB,4,-9.21034049987793,Cc1c[nH]c(-c2ccc(-c3ccc(NC(=O)Nc4c(F)cc(F)cc4F)cc3F)c3c2C(=O)NC3)n1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL388978,STAUROSPORINE,5,-9.070578575134276,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,False,False,False,0,0,0,0,,1,1,0,21,10.0,0,,True,pass_admet_gate
RandomForest,CHEMBL1231124,AZD-1480,6,-8.517192840576172,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4303389,NS-018,7,-8.21708869934082,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL3936761,ZANUBRUTINIB,8,-8.111727714538574,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4209441,SOFNOBRUTINIB,9,-7.849363803863525,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4756476,NEMTABRUTINIB,10,-7.849363803863525,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4297865,ABIVERTINIB,11,-7.826549053192139,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4066193,ATINVICITINIB,12,-7.824046134948731,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL3900554,BMS-986142,13,-7.79935359954834,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,JAK2,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL5077961,MILREBRUTINIB,14,-7.684284210205078,Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL221959,TOFACITINIB,15,-7.60893440246582,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,approved_small_molecule,True,False,False,0,0,0,0,,1,1,0,21,10.0,0,,True,pass_admet_gate
RandomForest,CHEMBL3301625,SPEBRUTINIB,16,-7.600902557373047,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4447181,LONDAMOCITINIB,17,-7.523941516876221,COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1,JAK2,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL3989927,IBERDOMIDE,18,-7.435388088226318,O=C1CC[C@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL2105759,BARICITINIB,19,-7.264430046081543,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,,approved_small_molecule,True,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL4650323,TOLEBRUTINIB,20,-7.264430046081543,C=CC(=O)N1CCC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccc32)C1,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL1287853,FEDRATINIB,21,-7.195437431335449,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,,clinical_anchor,True,False,False,0,0,0,0,,2,2,0,20,10.0,0,,True,pass_admet_gate
RandomForest,CHEMBL3622821,UPADACITINIB,22,-7.130898952484131,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,,approved_small_molecule,True,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL603469,LESTAURTINIB,23,-7.013115882873535,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
RandomForest,CHEMBL191003,JNJ-7706621,24,-6.907755374908447,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,JAK2,,False,False,False,0,0,0,0,,2,2,0,20,10.0,0,,True,pass_admet_gate
RandomForest,CHEMBL2035187,PACRITINIB,25,-6.907755374908447,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,JAK1,,False,False,False,0,0,0,0,,0,0,0,22,5.0,0,,True,pass_admet_gate
