canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank,phase,model
CHEMBL1789941,-10.2319917678833,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2a,RandomForest
CHEMBL221959,-7.60893440246582,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2a,RandomForest
CHEMBL2105759,-7.264430046081543,BARICITINIB,-7.264430222920869,0.7,2,4.0,19,phase2a,RandomForest
CHEMBL3622821,-7.130898952484131,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2a,RandomForest
CHEMBL3301607,-4.605170249938965,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2a,RandomForest
CHEMBL1789941,-10.2319917678833,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2a,ExtraTrees
CHEMBL221959,-7.60893440246582,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2a,ExtraTrees
CHEMBL2105759,-7.264430046081543,BARICITINIB,-7.264430222920869,0.7,2,4.0,19,phase2a,ExtraTrees
CHEMBL3622821,-7.130898952484131,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2a,ExtraTrees
CHEMBL3301607,-4.605170249938965,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2a,ExtraTrees
CHEMBL1789941,-10.211242027454542,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2a,LightGBM
CHEMBL221959,-7.600656071393736,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2a,LightGBM
CHEMBL2105759,-7.251625709575538,BARICITINIB,-7.264430222920869,0.7,2,4.0,19,phase2a,LightGBM
CHEMBL3622821,-7.119468347519483,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2a,LightGBM
CHEMBL3301607,-4.607035348102082,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2a,LightGBM
CHEMBL1789941,-10.20610122931631,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2a,XGBoost
CHEMBL221959,-7.603192618018703,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2a,XGBoost
CHEMBL2105759,-7.247046282416896,BARICITINIB,-7.264430222920869,0.7,2,4.0,20,phase2a,XGBoost
CHEMBL3622821,-7.08518533957632,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2a,XGBoost
CHEMBL3301607,-4.6178448702159685,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2a,XGBoost
CHEMBL1789941,-9.861988195577986,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2a,CatBoost
CHEMBL221959,-7.681710450531761,TOFACITINIB,-7.608934631239347,0.496,2,4.0,12,phase2a,CatBoost
CHEMBL2105759,-7.260097215567057,BARICITINIB,-7.264430222920869,0.7,2,4.0,16,phase2a,CatBoost
CHEMBL3622821,-6.630386002724158,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,33,phase2a,CatBoost
CHEMBL3301607,-4.970482664763819,FILGOTINIB,-4.605170185988091,10.0,2,4.0,58,phase2a,CatBoost
CHEMBL1789941,-10.2319917678833,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2b,RandomForest
CHEMBL221959,-7.60893440246582,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2b,RandomForest
CHEMBL2105759,-7.264430046081543,BARICITINIB,-7.264430222920869,0.7,2,4.0,19,phase2b,RandomForest
CHEMBL3622821,-7.130898952484131,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2b,RandomForest
CHEMBL3301607,-4.605170249938965,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2b,RandomForest
CHEMBL1789941,-10.2319917678833,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2b,ExtraTrees
CHEMBL221959,-7.60893440246582,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2b,ExtraTrees
CHEMBL2105759,-7.264430046081543,BARICITINIB,-7.264430222920869,0.7,2,4.0,19,phase2b,ExtraTrees
CHEMBL3622821,-7.130898952484131,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2b,ExtraTrees
CHEMBL3301607,-4.605170249938965,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2b,ExtraTrees
CHEMBL1789941,-10.216455725039843,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2b,LightGBM
CHEMBL221959,-7.598612599078529,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2b,LightGBM
CHEMBL2105759,-7.255274528328755,BARICITINIB,-7.264430222920869,0.7,2,4.0,20,phase2b,LightGBM
CHEMBL3622821,-7.123211851349526,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2b,LightGBM
CHEMBL3301607,-4.604745749160865,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2b,LightGBM
CHEMBL1789941,-10.19425106048584,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2b,XGBoost
CHEMBL221959,-7.595214366912842,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2b,XGBoost
CHEMBL2105759,-7.238471508026123,BARICITINIB,-7.264430222920869,0.7,2,4.0,20,phase2b,XGBoost
CHEMBL3622821,-7.100825786590576,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,22,phase2b,XGBoost
CHEMBL3301607,-4.612775802612305,FILGOTINIB,-4.605170185988091,10.0,2,4.0,62,phase2b,XGBoost
CHEMBL1789941,-10.060006729880524,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1,phase2b,CatBoost
CHEMBL221959,-7.594960698461971,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15,phase2b,CatBoost
CHEMBL2105759,-7.253315684610385,BARICITINIB,-7.264430222920869,0.7,2,4.0,19,phase2b,CatBoost
CHEMBL3622821,-6.982739499593597,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,23,phase2b,CatBoost
CHEMBL3301607,-4.714328016874075,FILGOTINIB,-4.605170185988091,10.0,2,4.0,61,phase2b,CatBoost
