canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL1789941,-9.861988195577986,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1
CHEMBL1873475,-9.29485551731263,IBRUTINIB,-9.433483923290392,0.08,1,4.0,2
CHEMBL4297674,-9.209569609114647,BRANEBRUTINIB,-9.315700887634009,0.09,1,2.0,3
CHEMBL388978,-9.044931925574335,STAUROSPORINE,-9.070578429601024,0.115,3,0.0,4
CHEMBL4594420,-8.922088900342484,LUXEPTINIB,-9.210340371976182,0.1,1,1.0,5
CHEMBL1231124,-8.48756408715436,AZD-1480,-8.517193191416238,0.2,2,2.0,6
CHEMBL4303389,-7.942357828869492,NS-018,-8.2170885989659,0.27,2,2.0,7
CHEMBL4756476,-7.882552820898787,NEMTABRUTINIB,-7.849363818840582,0.39,1,3.0,8
CHEMBL3900554,-7.81149632665036,BMS-986142,-7.799353398265921,0.41,2,2.0,9
CHEMBL4297865,-7.775656889067772,ABIVERTINIB,-7.826549141074411,0.399,3,3.0,10
CHEMBL3936761,-7.768033468485684,ZANUBRUTINIB,-8.111728083308073,0.3,1,4.0,11
CHEMBL221959,-7.681710450531761,TOFACITINIB,-7.608934631239347,0.496,2,4.0,12
CHEMBL3301625,-7.523324321515245,SPEBRUTINIB,-7.600902459542082,0.5,2,2.0,13
CHEMBL5077961,-7.462573854058209,MILREBRUTINIB,-7.6842840684811335,0.46,1,2.0,14
CHEMBL4447181,-7.381652938182148,LONDAMOCITINIB,-7.523941418405954,0.54,2,2.0,15
CHEMBL2105759,-7.260097215567057,BARICITINIB,-7.264430222920869,0.7,2,4.0,16
CHEMBL4066193,-7.250288655571843,ATINVICITINIB,-7.824046010856292,0.4,1,2.0,17
CHEMBL4483575,-7.239062861005722,REMIBRUTINIB,-6.907755278982137,1.0,1,3.0,18
CHEMBL1287853,-7.214367765708451,FEDRATINIB,-7.195437351433918,0.75,2,4.0,19
CHEMBL4650323,-7.189003611105096,TOLEBRUTINIB,-7.264430222920869,0.7,1,3.0,20
CHEMBL3989927,-7.145921921420366,IBERDOMIDE,-7.435388021064509,0.59,1,3.0,21
CHEMBL4209441,-7.072816967800778,SOFNOBRUTINIB,-7.849363818840582,0.39,1,2.0,22
CHEMBL4065122,-7.021140734118868,FENEBRUTINIB,-6.725433722188183,1.2,1,3.0,23
CHEMBL495727,-6.902100268973847,AT-9283,-6.907755278982137,1.0,2,2.0,24
CHEMBL4298138,-6.898721362446087,REPOTRECTINIB,-6.868534565828855,1.04,1,4.0,25
CHEMBL3702854,-6.841057634226779,RILZABRUTINIB,-6.645391014514646,1.3,1,3.0,26
CHEMBL4163691,-6.833507325716786,POSELTINIB,-6.907755278982137,1.0,1,2.0,27
CHEMBL3786343,-6.780702996178621,OLMUTINIB,-6.907755278982137,1.0,1,4.0,28
CHEMBL4114766,-6.7705640409386065,ATUZABRUTINIB,-6.319968614080018,1.8,1,2.0,29
CHEMBL603469,-6.740341575150685,LESTAURTINIB,-7.013115794639964,0.9,2,3.0,30
