canonical_drug_id,pred_label_regression,drug_name,label_regression,representative_ic50_nM,target_support_count,max_phase,pred_rank
CHEMBL1789941,-10.060006729880524,RUXOLITINIB,-10.231991619508165,0.036,2,4.0,1
CHEMBL1873475,-9.273498634476976,IBRUTINIB,-9.433483923290392,0.08,1,4.0,2
CHEMBL4297674,-9.195179459352449,BRANEBRUTINIB,-9.315700887634009,0.09,1,2.0,3
CHEMBL4594420,-9.057650116717817,LUXEPTINIB,-9.210340371976182,0.1,1,1.0,4
CHEMBL388978,-9.054895050098466,STAUROSPORINE,-9.070578429601024,0.115,3,0.0,5
CHEMBL1231124,-8.453335234612167,AZD-1480,-8.517193191416238,0.2,2,2.0,6
CHEMBL4303389,-8.077493209072763,NS-018,-8.2170885989659,0.27,2,2.0,7
CHEMBL3936761,-8.06985557744642,ZANUBRUTINIB,-8.111728083308073,0.3,1,4.0,8
CHEMBL4756476,-7.844307568908625,NEMTABRUTINIB,-7.849363818840582,0.39,1,3.0,9
CHEMBL4297865,-7.8442657592401694,ABIVERTINIB,-7.826549141074411,0.399,3,3.0,10
CHEMBL3900554,-7.8299664434852465,BMS-986142,-7.799353398265921,0.41,2,2.0,11
CHEMBL4066193,-7.7039109337523275,ATINVICITINIB,-7.824046010856292,0.4,1,2.0,12
CHEMBL4209441,-7.698126257090184,SOFNOBRUTINIB,-7.849363818840582,0.39,1,2.0,13
CHEMBL5077961,-7.610905660364426,MILREBRUTINIB,-7.6842840684811335,0.46,1,2.0,14
CHEMBL221959,-7.594960698461971,TOFACITINIB,-7.608934631239347,0.496,2,4.0,15
CHEMBL3301625,-7.5570652933081,SPEBRUTINIB,-7.600902459542082,0.5,2,2.0,16
CHEMBL4447181,-7.38918230513902,LONDAMOCITINIB,-7.523941418405954,0.54,2,2.0,17
CHEMBL3989927,-7.25675924768064,IBERDOMIDE,-7.435388021064509,0.59,1,3.0,18
CHEMBL2105759,-7.253315684610385,BARICITINIB,-7.264430222920869,0.7,2,4.0,19
CHEMBL4650323,-7.188013337964218,TOLEBRUTINIB,-7.264430222920869,0.7,1,3.0,20
CHEMBL1287853,-7.173657286049643,FEDRATINIB,-7.195437351433918,0.75,2,4.0,21
CHEMBL4483575,-7.009501028799441,REMIBRUTINIB,-6.907755278982137,1.0,1,3.0,22
CHEMBL3622821,-6.982739499593597,UPADACITINIB,-7.1308988302963465,0.8,2,4.0,23
CHEMBL603469,-6.953910613162447,LESTAURTINIB,-7.013115794639964,0.9,2,3.0,24
CHEMBL4163691,-6.938772562319946,POSELTINIB,-6.907755278982137,1.0,1,2.0,25
CHEMBL4297640,-6.8275366719123385,VECABRUTINIB,-6.812445099177812,1.1,1,2.0,26
CHEMBL495727,-6.8220979787547265,AT-9283,-6.907755278982137,1.0,2,2.0,27
CHEMBL3786343,-6.818934232974789,OLMUTINIB,-6.907755278982137,1.0,1,4.0,28
CHEMBL4298138,-6.81563889045882,REPOTRECTINIB,-6.868534565828855,1.04,1,4.0,29
CHEMBL2035187,-6.799697335133769,PACRITINIB,-6.907755278982137,1.0,2,4.0,30
