disease,candidate_score,match_tags,key,size,last_modified
BRCA,17,"final,top15,top30,tier,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step7_admet60_tiered_candidates.csv,26405,2026-04-28T11:04:47+00:00
BRCA,17,"final,top15,top30,tier,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/final_multiresponse_three_tier_classification_top15.csv,13992,2026-04-28T11:04:47+00:00
BRCA,17,"final,top15,top30,tier,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/final_multiresponse_three_tier_summary_by_cancer.csv,561,2026-04-28T11:04:47+00:00
BRCA,17,"final,top15,top30,tier,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/step7_admet60_multiresponse_tiered_candidates.csv,49698,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/FINAL_RESTORED_CATEGORY_NEEDS_MANUAL_REVIEW.csv,937,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/FINAL_RESTORED_CURRENT_USE_BENCHMARK_CANDIDATES.csv,4771,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/FINAL_RESTORED_DRUG_REPURPOSING_CATEGORY_TABLE.csv,41821,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/FINAL_RESTORED_INDICATION_EXPANSION_CANDIDATES.csv,17602,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/FINAL_RESTORED_NOVEL_UNUSED_REPURPOSING_CANDIDATES.csv,19549,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/FINAL_RESTORED_REPURPOSING_RECOMMENDED_CANDIDATES.csv,36805,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_ev_admet_integrated_ranking.csv,20712,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_ev_admet_summary_by_cancer.csv,209,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_hold_candidates.csv,7060,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_priority1_candidates.csv,1451,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_top_candidates_by_cancer.csv,7220,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_top_candidates_overall.csv,5304,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_restored_watchlist_candidates.csv,4699,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_review/RESTORED_BENCHMARK_CANDIDATES.csv,4771,2026-04-28T11:04:46+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_review/RESTORED_FINAL_REVIEW_SUMMARY.csv,1179,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_review/RESTORED_TOP_CANDIDATES_BY_CANCER.csv,7282,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_review/RESTORED_TOP_INDICATION_EXPANSION_CANDIDATES.csv,17602,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_review/RESTORED_TOP_NOVEL_UNUSED_CANDIDATES.csv,19549,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/final_review/RESTORED_TOP_REPURPOSING_CANDIDATES.csv,36805,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_ev_selected_top15.csv,29225,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_ev_top15_selection_change_log.csv,2358,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_top30_ev_evidence_by_cancer.csv,235,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_top30_ev_evidence_by_candidate.csv,18284,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_top30_ev_evidence_raw.csv,278883,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_top30_ev_source_availability.csv,95,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_top30_ev_target_moa_recovery.csv,9368,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step6_top30_ev_unavailable_sources.csv,119,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step7_admet60_raw_predictions.csv,80020,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step7_admet60_rdkit_descriptors.csv,6915,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet/step7_admet60_risk_flags.csv,26405,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_RESPONSE_UPDATE_SUMMARY.csv,255,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_UPDATED_CATEGORY_NEEDS_MANUAL_REVIEW.csv,1893,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_UPDATED_CURRENT_USE_BENCHMARK_CANDIDATES.csv,8690,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_UPDATED_DRUG_REPURPOSING_CATEGORY_TABLE.csv,71749,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_UPDATED_INDICATION_EXPANSION_CANDIDATES.csv,30425,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_UPDATED_NOVEL_UNUSED_REPURPOSING_CANDIDATES.csv,33174,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/FINAL_GDSC_UPDATED_REPURPOSING_RECOMMENDED_CANDIDATES.csv,62788,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/final_update/final_gdsc_updated_ev_admet_integrated_ranking.csv,35326,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/step6_ev_selected_top15_with_gdsc.csv,18788,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_gdsc_response/step6_ev_top15_change_log_vs_restored.csv,2652,2026-04-28T11:04:47+00:00
