disease,candidate_score,match_tags,key,size,last_modified,ext
BRCA,14,"image_modal,cluster,drug_mapping,report",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/drug_interpretation/cluster_drug_pathway_hypothesis.csv,4207,2026-05-04T06:27:42+00:00,.csv
BRCA,10,"image_modal,cluster,clinical,report",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_clinical_mutation_report.md,11982,2026-05-04T06:27:21+00:00,.md
BRCA,8,"image_modal,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/brca_path_t_stage_test.json,920,2026-05-09T13:20:28+00:00,.json
BRCA,8,"image_modal,cluster,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_association_tests.csv,427,2026-05-04T06:27:24+00:00,.csv
BRCA,8,"image_modal,cluster,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_clinical_mutation_merged.csv,132123,2026-05-04T06:27:23+00:00,.csv
BRCA,8,"image_modal,cluster,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_mutation_frequency.csv,276,2026-05-04T06:27:23+00:00,.csv
BRCA,8,"image_modal,cluster,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_stage_distribution.csv,294,2026-05-04T06:27:22+00:00,.csv
BRCA,8,"image_modal,cluster,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_subtype_distribution.csv,216,2026-05-04T06:27:22+00:00,.csv
BRCA,8,"image_modal,clinical",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/survival_logrank_pvalue.json,464,2026-05-06T08:15:03+00:00,.json
BRCA,7,"image_modal,report",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/step4_step5_ablation/brca_step4_step5_report.md,3303,2026-05-04T06:27:42+00:00,.md
BRCA,5,"image_modal,cluster",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/cluster_assignments.csv,87829,2026-05-04T06:26:59+00:00,.csv
BRCA,5,"image_modal,cluster",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/cluster_metrics_k3_k4_k5.csv,480,2026-05-04T06:27:00+00:00,.csv
BRCA,5,"image_modal,cluster,report",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/cluster_summary.csv,350,2026-05-04T06:27:01+00:00,.csv
BRCA,5,"image_modal,cluster",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/silhouette_scores.json,153,2026-05-04T06:27:00+00:00,.json
BRCA,5,image_modal,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/embeddings/shard00_merged/all_slide_embeddings_shard00_merged_manifest.csv,54451,2026-05-04T06:26:41+00:00,.csv
BRCA,5,"image_modal,report",20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/embeddings/shard00_merged/all_slide_embeddings_shard00_merged_summary.json,602,2026-05-04T06:26:42+00:00,.json
BRCA,5,image_modal,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/step4_step5_ablation/step5_ablation_comparison.csv,1879,2026-05-04T06:27:43+00:00,.csv
BRCA,5,drug_mapping,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/cancer_approved_drug_mapping_table.csv,20725,2026-04-28T11:04:47+00:00,.csv
BRCA,5,drug_mapping,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/step6_external_response_integration/pancancer_gdsc_sync/pancancer_gdsc_top30_drug_mapping.csv,26053,2026-04-28T11:06:32+00:00,.csv
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/MULTICANCER_EXECUTION_REPORT_20260424.md,11362,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/STEP8_NEO4J_사용시_다운로드_필수파일_안내.md,2242,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_bedrock_architecture_update_summary.md,1569,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_cancerwise_step5_8_update_summary.md,2537,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_cosmic_aware_step6_update_summary.md,955,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_cosmic_external_validation_update_summary.md,1327,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_cosmic_integration_update_summary.md,514,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_ensemble_candidate_summary_update_summary.md,525,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_ensemble_diversity_summary.md,981,2026-04-28T11:04:29+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_ensemble_traceability_update_summary.md,207,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_final_top15_category_unique_display_summary.md,742,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_final_v2_1_category_audit_update_summary.md,1174,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_final_v2_2_category_allowlist_update_summary.md,475,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_final_v2_update_summary.md,431,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_gdsc1_only_step6_update_summary.md,442,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_groupcv_v3_candidate_flow_update_summary.md,336,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_groupcv_v3_drug_name_curation_update_summary.md,674,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_groupcv_v3_final_readiness_update_summary.md,351,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_groupcv_v3_promotion_readiness_update_summary.md,624,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_groupcv_v3_top30_candidate_review_update_summary.md,436,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_overview_diseasewise_candidates_update_summary.md,2107,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_positive_control_allowlist_expansion_update_summary.md,1517,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_positive_control_recovery_update_summary.md,1270,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_rag_chat_dashboard_update_summary.md,832,2026-04-28T11:04:30+00:00,.md
BRCA,2,report,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/dashboard_extracts/dashboard_selected_cancer_filter_fix_summary.md,2577,2026-04-28T11:04:30+00:00,.md
