disease,key,size,last_modified,ext,status,note
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/,0,2026-04-28T10:53:03+00:00,,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/,0,2026-05-04T06:24:33+00:00,.image_modal_brca,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/brca_path_t_stage_test.json,920,2026-05-09T13:20:28+00:00,.json,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_association_tests.csv,427,2026-05-04T06:27:24+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_clinical_mutation_merged.csv,132123,2026-05-04T06:27:23+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_clinical_mutation_report.md,11982,2026-05-04T06:27:21+00:00,.md,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_kaplan_meier_os.png,54079,2026-05-06T08:15:02+00:00,.png,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_mutation_frequency.csv,276,2026-05-04T06:27:23+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_stage_distribution.csv,294,2026-05-04T06:27:22+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/cluster_subtype_distribution.csv,216,2026-05-04T06:27:22+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/kaplan_meier_os.png,51025,2026-05-04T06:27:21+00:00,.png,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clinical_analysis/survival_logrank_pvalue.json,464,2026-05-06T08:15:03+00:00,.json,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/cluster_assignments.csv,87829,2026-05-04T06:26:59+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/cluster_metrics_k3_k4_k5.csv,480,2026-05-04T06:27:00+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/cluster_summary.csv,350,2026-05-04T06:27:01+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/pca_plot.png,110110,2026-05-04T06:26:59+00:00,.png,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/clustering/silhouette_scores.json,153,2026-05-04T06:27:00+00:00,.json,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/drug_interpretation/cluster_drug_pathway_hypothesis.csv,4207,2026-05-04T06:27:42+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/embeddings/shard00_merged/all_slide_embeddings_shard00_merged.npy,1745024,2026-05-04T06:26:41+00:00,.npy,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/embeddings/shard00_merged/all_slide_embeddings_shard00_merged_manifest.csv,54451,2026-05-04T06:26:41+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/embeddings/shard00_merged/all_slide_embeddings_shard00_merged_summary.json,602,2026-05-04T06:26:42+00:00,.json,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/scripts/run_brca_cluster_clinical_mutation_analysis.py,20426,2026-05-04T06:27:44+00:00,.py,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/scripts/run_brca_image_clustering.py,12179,2026-05-04T06:27:43+00:00,.py,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/scripts/run_brca_step4_step5_local.py,15388,2026-05-04T06:27:44+00:00,.py,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/step4_step5_ablation/brca_step4_step5_report.md,3303,2026-05-04T06:27:42+00:00,.md,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/0.Image_modal_BRCA/step4_step5_ablation/step5_ablation_comparison.csv,1879,2026-05-04T06:27:43+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/ames/test.csv,69441,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/ames/train_val.csv,245590,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/bbb_martins/test.csv,22353,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/bbb_martins/train_val.csv,107016,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/bioavailability_ma/test.csv,8515,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/bioavailability_ma/train_val.csv,32596,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/caco2_wang/test.csv,17322,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/caco2_wang/train_val.csv,61694,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/clearance_hepatocyte_az/test.csv,17054,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/clearance_hepatocyte_az/train_val.csv,69682,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/clearance_microsome_az/test.csv,15515,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/clearance_microsome_az/train_val.csv,61761,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/cyp2c9_substrate_carbonmangels/test.csv,9351,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/cyp2c9_substrate_carbonmangels/train_val.csv,33590,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/cyp2c9_veith/test.csv,139376,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/cyp2c9_veith/train_val.csv,576176,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/cyp2d6_substrate_carbonmangels/test.csv,9427,2026-04-28T11:06:38+00:00,.csv,OK,
BRCA,20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/curated_data/admet/tdc_admet_group/admet_group/cyp2d6_substrate_carbonmangels/train_val.csv,33310,2026-04-28T11:06:38+00:00,.csv,OK,
