cancer,rank,canonical_drug_id,drug_name,canonical_smiles,admet_engine,admet_engine_status,rdkit_parse_status,hERG_risk,Ames_risk,DILI_risk,hepatotoxicity_risk,solubility,permeability,oral_bioavailability,clearance_or_metabolism_flag,admet_risk_flag_count,admet_tier,oncology_relaxed_interpretation,ev_composite_0_10,graph_luad_caveat,mandatory_caveat
brca,1,1375,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,rdkit_descriptors+admet_ai,ok,ok,low,high,high,low,-1.9824962615966797,0.9976109266281128,0.9520230293273926,typical_cyp_max=0.325,2,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",8.0,False,
brca,2,1089,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,rdkit_descriptors+admet_ai,ok,ok,low,high,moderate,low,-2.4797818660736084,0.9378719329833984,0.3662447929382324,elevated_cyp_likelihood_max=0.880,2,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",8.0,False,
brca,3,1806,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,rdkit_descriptors+admet_ai,ok,ok,low,high,moderate,low,-2.4797818660736084,0.9378719329833984,0.3662447929382324,elevated_cyp_likelihood_max=0.880,2,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",8.0,False,
brca,4,1507,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,rdkit_descriptors+admet_ai,ok,ok,moderate,moderate,high,moderate,-4.485034465789795,0.999906361103058,0.8280823826789856,elevated_cyp_likelihood_max=0.850,4,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=5.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",5.0,False,
brca,5,1373,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,rdkit_descriptors+admet_ai,ok,ok,high,low,high,low,-5.6069512367248535,0.99986732006073,0.6830302476882935,elevated_cyp_likelihood_max=0.977,2,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=4.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",4.0,False,
brca,6,1847,BEN,C1=CC=C(C=C1)C(=N)N,rdkit_descriptors+admet_ai,ok,ok,low,low,low,low,-0.5497685670852661,0.8169221878051758,0.5859165191650391,typical_cyp_max=0.205,0,A,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=A; merge ADMET with ev_composite_0_10=3.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",3.0,False,
brca,7,1073,5-Fluorouracil,FC1=CNC(=O)NC1=O,rdkit_descriptors+admet_ai,ok,ok,low,low,high,low,-1.2050069570541382,0.9636324048042296,0.873687744140625,typical_cyp_max=0.287,1,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=2.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",2.0,False,
brca,8,1177,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,rdkit_descriptors+admet_ai,ok,ok,high,moderate,high,high,-3.240081787109375,0.9891203045845032,0.808149516582489,typical_cyp_max=0.445,4,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,2.0,False,
brca,9,1736,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,rdkit_descriptors+admet_ai,ok,ok,moderate,high,high,low,-4.353720664978027,0.9983040690422058,0.8678903579711914,elevated_cyp_likelihood_max=0.654,3,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,2.0,False,
brca,10,2438,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,rdkit_descriptors+admet_ai,ok,ok,low,low,moderate,low,-0.0235491283237934,0.8658957481384277,0.7885450720787048,typical_cyp_max=0.183,1,B,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=B; merge ADMET with ev_composite_0_10=1.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",1.0,False,
brca,11,1925,GDC0810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,rdkit_descriptors+admet_ai,ok,ok,moderate,low,high,low,-6.598201751708984,0.9615095853805542,0.6567376852035522,elevated_cyp_likelihood_max=0.782,2,C,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,False,
brca,12,1615,CZC24832,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,rdkit_descriptors+admet_ai,ok,ok,low,low,high,low,-3.2889678478240967,0.9990243911743164,0.9124866724014282,typical_cyp_max=0.547,1,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=0.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",0.0,False,
brca,13,2360,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,rdkit_descriptors+admet_ai,ok,ok,low,moderate,high,low,-4.421797275543213,0.9999942779541016,0.8044841885566711,elevated_cyp_likelihood_max=0.976,2,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=0.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",0.0,False,
brca,14,1629,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,rdkit_descriptors+admet_ai,ok,ok,high,moderate,high,low,-5.957520484924316,0.9999964833259583,0.9112130999565125,elevated_cyp_likelihood_max=0.980,3,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,0.0,False,
brca,15,1237,EPZ004777,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,rdkit_descriptors+admet_ai,ok,ok,high,low,high,high,-3.7534542083740234,0.8158842921257019,0.6948462724685669,typical_cyp_max=0.529,3,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,0.0,False,
crc,1,1813,Fludarabine,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,rdkit_descriptors+admet_ai,ok,ok,low,high,high,moderate,-1.5959755182266235,0.6934069991111755,0.6547127962112427,typical_cyp_max=0.215,3,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=9.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",9.0,False,
crc,2,1512,Cyclophosphamide,O.O=P1(N(CCCl)CCCl)NCCCO1,rdkit_descriptors+admet_ai,ok,ok,low,high,low,low,-0.6381497979164124,0.9975805282592772,0.8740772008895874,elevated_cyp_likelihood_max=0.581,1,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",8.0,False,
