rank,canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,n_samples,n_celllines,DRUG_ID,DRUG_NAME,TARGET,TARGET_PATHWAY,SYNONYMS
1,1811,-3.428227885930393,0.8366821235061802,-5.960829115494034,-0.2202802232040119,390,249,1811,Dactinomycin,RNA polymerase,Other,Actinomycin D
2,1039,-2.9673536757364363,1.0719924176999345,-5.117812921107986,0.4906471533033971,89,68,1039,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases","SL-0101, SL 0101-1"
3,1808,-1.8727832677234535,1.5083551239580606,-6.117248909818846,3.1255647103478466,390,249,1808,Topotecan,TOP1,DNA replication,
4,1080,-1.7252495997635326,1.40508377451658,-5.116455911086496,3.704607180525555,486,292,1080,Paclitaxel,Microtubule stabiliser,Mitosis,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane"
5,1819,-1.3275035247717089,1.021931483009445,-4.279746398208275,1.9943436536156176,369,241,1819,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere"
6,1007,-1.3233146302227203,1.0140632680429014,-4.1279620432289,2.061880295501536,489,295,1007,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere"
7,1911,-1.0264358329789682,1.094234914646233,-4.566187617588451,2.645449223228214,480,288,1911,Dactinomycin,RNA polymerase,Other,"Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD"
8,1810,-0.0102039966254315,1.0664212054215805,-3.0403435632433258,4.286791386684225,390,249,1810,Mitoxantrone,TOP2,DNA replication,
9,1511,0.0598131075212471,1.0994819701359049,-3.446537857858738,3.6381745424733705,486,292,1511,Epirubicin,Anthracycline,DNA replication,"Ellence, Farmorubicin, IMI-28"
10,1016,0.0949278296938103,1.2255058528603626,-2.9969746068846055,4.824816687053385,468,283,1016,Temsirolimus,MTOR,PI3K/MTOR signaling,"CCI-779, Torisel"
11,1809,0.1735633116136136,0.9470573379775143,-2.636902230881116,3.016759126476157,390,249,1809,Teniposide,,DNA replication,Vumon
12,1706,0.902943373258124,0.8730411806967179,-1.7908570382697515,4.236384377903789,388,248,1706,AZD5153,BRD4,Chromatin other,"SN1045566955, AZD5153"
13,1581,0.9814178072971216,0.7905394613664736,-1.2521479406327505,4.179711371183364,390,249,1581,Bromosporine,"CECR2, BRD2, BRD4, BRD9",Chromatin other,"ethyl N-[6-(3-methanesulfonamido-4-methylphenyl)-3-methyl-[1,2,4]triazolo[4,3-b]pyridazin-8-yl]carbamate"
14,1004,1.0301983758816042,0.9322649435736244,-1.8028454559349043,4.641846680685284,399,249,1004,Vinblastine,Microtubule destabiliser,Mitosis,Velban
15,2011,1.0433131235200632,0.77189328945586,-1.4406371551463808,4.151018971305576,399,250,2011,ICL-SIRT078,SIR2,Other,
16,1026,1.2546890061730656,0.983845412323204,-1.5322027757026833,4.85446970153457,481,290,1026,Tanespimycin,HSP90,Protein stability and degradation,"17-AAG, BMS-722782"
17,1598,1.270441684409925,0.7895159588556411,-0.9721505112072836,4.829216938729196,487,293,1598,LGK974,PORCN,WNT signaling,LGK-974
18,1830,1.2871974235548966,0.8013167673920701,-0.940170311249172,4.640623572248205,390,249,1830,Gallibiscoquinazole,,Unclassified,
19,1054,1.333637511096586,1.006086671434561,-1.7015253305190452,4.236902905068416,489,295,1054,Palbociclib,"CDK4, CDK6",Cell cycle,"PD0332991, PD-0332991, PF-00080665-73"
20,1910,1.3600749134294183,0.9961773442208745,-2.143136029029125,5.351231307218767,485,292,1910,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation,
21,2172,1.397916198134528,1.014059514434598,-1.9344891473319856,4.5639659142475315,481,290,2172,JQ1,"BRD2, BRD3, BRD4, BRDT",Chromatin other,"JQ-1, (+)-JQ-1"
22,1617,1.4040462295038694,1.0083900831926214,-1.588614921182188,5.331123213581083,458,281,1617,AZD5582,"XIAP, cIAP",Apoptosis regulation,"GTPL7710, AOB5560"
23,1051,1.4361192165094503,1.1254461656696373,-2.1462507594995808,5.240143728915761,480,290,1051,Alisertib,AURKA,Mitosis,MLN8237
24,2110,1.4668039084104092,0.8255186048624717,-0.912530189589226,4.770103869606915,479,290,2110,GSK591,PMRT5,Chromatin histone methylation,"EPZ015866, GSK3203591"
25,1084,1.5198595568488638,1.0261232718003976,-1.240004941185374,5.637006901056447,478,290,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune"
26,1720,1.5388147939637609,1.071623933678534,-1.382685126676278,5.8170724806151375,386,247,1720,AZD5991,MCL1,Apoptosis regulation,"SN1049446612, AZD5991"
27,2148,1.545733435339914,0.8395020463237537,-0.9959655655529048,4.971975592638039,399,250,2148,POMHEX,,Unclassified,
28,1843,1.6008571700766514,0.880398014468073,-0.5717720103494277,4.558354502409642,390,249,1843,LMP744,TOP1,DNA replication,MJ-III-65
29,1817,1.604947744734159,0.931315611397602,-1.3019136540017122,4.691574686227806,390,249,1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",Chromatin histone acetylation,"Istodax, FK228, Depsipeptide"
30,1593,1.635861361146052,0.941672880443307,-1.4424260659725148,4.9164303442346355,463,285,1593,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,MS-275
