rank,canonical_drug_id,drug_name,target_genes,target_match_genes,target_gene_match_rate,target_expression_pct,target_expressed,survival_p_value,survival_direction,known_paad_control,clinical_trial_mention_count,ensemble_score,mean_pred_ln_ic50,prism_compound_ids,prism_pancreatic_cell_lines,prism_observations,prism_mean_log2fc,prism_sensitive_fraction_lt_minus1,prism_has_evidence,opentargets_target_ids,opentargets_max_score,opentargets_evidence_count
1,1811,Dactinomycin,TOP1;TOP2A,TOP1;TOP2A,1.0,0.9344262295081968,True,0.5066203415801449,high_expression_longer_survival,False,0,3.410834,-3.410834,BRD:BRD-K70578146-001-06-7,44,33,-5.154912073632437,1.0,True,ENSG00000131747;ENSG00000198900,0.46202003448352263,285
2,1819,Docetaxel,BCL2;NR1I2;TUBB1,BCL2;NR1I2;TUBB1,1.0,0.0,False,0.5165761361192062,high_expression_shorter_survival,True,849,3.0917828,-3.0917828,BRD:BRD-K30577245-001-04-3;BRD:BRD-K30577245-341-01-9,44,69,-1.869228663550261,0.6956521739130435,True,ENSG00000101162;ENSG00000144852;ENSG00000171791,0.4049351136576385,617
3,1862,MG-132,CAPN1;PROTEASOME,CAPN1,0.5,1.0,True,0.17633122293297432,high_expression_shorter_survival,False,0,1.7313924,-1.7313924,BRD:BRD-K60230970-001-17-5,44,33,-3.228183696364818,0.9696969696969697,True,ENSG00000014216,0.014783194187388073,3
4,1808,Topotecan,TOP1;TOP1MT,TOP1;TOP1MT,1.0,0.9453551912568307,True,0.4738871605229801,high_expression_longer_survival,True,58,1.0372775,-1.0372775,BRD:BRD-K55696337-003-24-4,44,37,-1.5126952363200812,0.7297297297297297,True,ENSG00000184428;ENSG00000198900,0.46202003448352263,243
5,1004,Vinblastine,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,1.0,0.9836065573770492,True,0.42255502221130525,high_expression_shorter_survival,False,11,0.3808337,-0.3808337,BRD:BRD-K06519765-001-01-1,44,37,-0.38852780942497145,0.13513513513513514,True,ENSG00000074935;ENSG00000108423;ENSG00000131462;ENSG00000137267;ENSG00000167552;ENSG00000177606;ENSG00000196230,0.4049351136576385,824
6,1809,Teniposide,TOP2A;TOP2B,TOP2A;TOP2B,1.0,0.9234972677595629,True,0.37919415995906425,high_expression_shorter_survival,False,0,-0.2336631,0.2336631,BRD:BRD-A35588707-001-05-5;BRD:BRD-K10362825-001-03-4,44,69,-2.430376345479985,0.855072463768116,True,ENSG00000077097;ENSG00000131747,0.2513295170240817,49
7,1511,Epirubicin,ANTHRACYCLINE;TOP2A;TOP2B,TOP2A;TOP2B,0.6666666666666666,0.9234972677595629,True,0.37919415995906425,high_expression_shorter_survival,False,56,-0.34719956,0.34719956,BRD:BRD-K04548931-003-16-5,44,36,-3.4319838015056385,0.9444444444444444,True,ENSG00000077097;ENSG00000131747,0.2513295170240817,49
8,1810,Mitoxantrone,TOP2;TOP2A;TOP2B,TOP2A;TOP2B,0.6666666666666666,0.9234972677595629,True,0.37919415995906425,high_expression_shorter_survival,False,12,-0.45492253,0.45492253,BRD:BRD-K21680192-300-14-4,44,35,-2.9995934021331423,0.9428571428571428,True,ENSG00000077097;ENSG00000131747,0.2513295170240817,49
9,1024,Lestaurtinib,FLT3;JAK2;NTRK1;NTRK2;NTRK3,FLT3;JAK2;NTRK1;NTRK2;NTRK3,1.0,0.0,False,0.8770016641322167,high_expression_shorter_survival,False,0,-0.58893126,0.58893126,BRD:BRD-A27376179-001-01-3,44,35,-2.867708284293943,0.9714285714285714,True,ENSG00000096968;ENSG00000122025;ENSG00000140538;ENSG00000148053;ENSG00000198400,0.4643052246618058,253
10,1594,OSI-027,MTOR,MTOR,1.0,0.31693989071038253,True,0.7751666628926428,high_expression_shorter_survival,False,0,-0.5906325,0.5906325,BRD:BRD-K87124298-001-03-4,44,36,-0.33813746000104383,0.25,True,ENSG00000198793,0.31877858457698127,441
