majority_cluster,cluster_n_cases,drug_rank,drug_name,canonical_drug_id,target,pathway,rationale
C0,129,5,Temozolomide,1375,DNA alkylating agent,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,7,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,9,Oxaliplatin,1089,DNA alkylating agent,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,10,Fludarabine,1813,Antimetabolite,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,14,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,18,Nelarabine,1814,,DNA replication,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,19,Veliparib,1018,"PARP1, PARP2",Genome integrity,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C0,129,20,MIRA-1,1931,TP53,p53 pathway,PIK3CA mutation 40%; TP53 mutation 26%; BRCA1/2 mutation 3%
C1,22,5,Temozolomide,1375,DNA alkylating agent,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,7,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,9,Oxaliplatin,1089,DNA alkylating agent,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,10,Fludarabine,1813,Antimetabolite,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,14,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,18,Nelarabine,1814,,DNA replication,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,19,Veliparib,1018,"PARP1, PARP2",Genome integrity,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C1,22,20,MIRA-1,1931,TP53,p53 pathway,PIK3CA mutation 32%; TP53 mutation 32%; BRCA1/2 mutation 5%
C2,121,5,Temozolomide,1375,DNA alkylating agent,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,7,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,9,Oxaliplatin,1089,DNA alkylating agent,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,10,Fludarabine,1813,Antimetabolite,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,14,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,18,Nelarabine,1814,,DNA replication,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,19,Veliparib,1018,"PARP1, PARP2",Genome integrity,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C2,121,20,MIRA-1,1931,TP53,p53 pathway,PIK3CA mutation 28%; TP53 mutation 40%; BRCA1/2 mutation 4%
C3,9,5,Temozolomide,1375,DNA alkylating agent,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,7,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,9,Oxaliplatin,1089,DNA alkylating agent,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,10,Fludarabine,1813,Antimetabolite,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,12,CCT007093,1067,PPM1D,Cell cycle,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,14,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,18,Nelarabine,1814,,DNA replication,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
C3,9,19,Veliparib,1018,"PARP1, PARP2",Genome integrity,"PIK3CA mutation 33%; TP53 mutation 44%; BRCA1/2 mutation 11%; Basal-enriched subtype {'BRCA_Basal': 4, 'BRCA_LumA': 3}"
