drug_id,rank,drug_name,tier,tier_name,tier_validation_goal,selected_config,ensemble_method,drug_level_score,confidence_grade,canonical_smiles,safety_score,verdict,n_total_matches,n_exact,n_close_analog,n_analog,hard_fail,hard_fail_reasons,soft_flag_count,soft_flags,context_flag_count,context_flags,herg_value,ames_value,dili_value,cyp3a4_value,ppbr_value,caco2_value,bioavailability_value,half_life_value,pains_alerts,lipinski_violations,mw,logp,hbd,hba,tpsa,rotatable_bonds,verdict_priority,confidence_priority,final_admet_rank
1814,18,Nelarabine,3,유방암 비사용 치료제,타 적응증 치료제의 신규 repurposing 탐색,A,directive_weighted_average,4.939345971377194,A,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,33.285,PASS,7,4,0,3,0,,0,,1,Half_life_low,,,,0.0,,,,0.5,0,0,297.271,-1.9713999999999994,4,9,148.76999999999998,3,0,0,1
1507,16,Ruxolitinib,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,5.074542883916546,A,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,30.776,PASS,2,2,0,0,0,,0,,0,,,,,,83.37,,,,0,0,306.37300000000005,3.466380000000001,1,4,83.17999999999999,4,0,0,2
1813,10,Fludarabine,3,유방암 비사용 치료제,타 적응증 치료제의 신규 repurposing 탐색,A,directive_weighted_average,5.1769369815559525,C,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,12.16,PASS,6,3,0,3,0,,0,,0,,,,,0.0,,,1.0,11.0,0,0,285.235,-1.8409000000000002,4,8,139.54000000000002,2,0,2,3
1375,5,Temozolomide,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,6.201372027721784,B,Cn1nnc2c(C(N)=O)ncn2c1=O,6.5760000000000005,PASS,5,5,0,0,0,,0,,0,,,,0.0,,,,1.0,1.5,0,0,194.154,-2.078099999999999,1,5,108.17000000000002,1,0,1,4
1073,11,5-Fluorouracil,1,유방암 치료제,유방암 치료 맥락의 positive control 확인,A,directive_weighted_average,5.1282340258609125,C,FC1=CNC(=O)NC1=O,6.129,PASS,7,7,0,0,0,,0,,1,Half_life_low,,,,,,,1.0,0.12,0,0,130.078,-0.7977000000000001,2,2,65.72,0,0,2,5
2498,4,alpha-lipoic acid,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,6.37713898102255,B,OC(=O)CCCC[C@@H]1CCSS1,6.0734763324,PASS,5,5,0,0,0,,0,,0,,,0.0,,0.0,,,,,0,0,206.332,2.7851000000000017,1,3,37.3,5,0,1,6
1449,25,AZD1208,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,4.846864699827835,B,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,43.506,WARNING,4,0,0,4,0,,1,PPBR_high,0,,,,,,97.76,,,,0,0,379.4850000000001,3.605000000000002,2,5,75.43,3,1,1,7
1512,22,Cyclophosphamide,1,유방암 치료제,유방암 치료 맥락의 positive control 확인,A,directive_weighted_average,4.882440830674113,A,O.O=P1(N(CCCl)CCCl)NCCCO1,12.868999999999998,WARNING,8,0,8,0,0,,1,Ames,0,,,1.0,,,14.23,,1.0,8.0,0,0,279.10400000000004,1.0593,1,2,73.07000000000001,5,1,0,8
2499,2,N-acetyl cysteine,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,7.848305785113417,C,CC(=O)N[C@@H](CS)C(O)=O,7.259,WARNING,4,4,0,0,0,,1,Ames,1,Oral_bio_low,,1.0,,,,,0.0,5.5,0,0,163.198,-0.4945,3,3,66.4,3,1,2,9
1847,8,BEN,4,화합물 또는 미지 약물,비승인 화합물/보충제/실험용 물질 분리,A,directive_weighted_average,5.472948052631643,C,C1=CC=C(C=C1)C(=N)N,5.0,WARNING,3,3,0,0,0,,0,,0,,,0.0,,0.0,,,,,0,0,120.15499999999999,0.9706699999999999,2,1,49.870000000000005,1,1,2,10
1089,9,Oxaliplatin,2,유방암 적응증 확장 연구 치료제,유방암 임상연구/적응증 확장 가능성 확인,A,directive_weighted_average,5.356930068447554,A,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,5.0,WARNING,0,0,0,0,0,,0,,0,,,,,,,,,,0,0,397.2880000000001,-0.7861,2,6,86.80000000000001,2,1,0,11
