step7_final_rank,step7_experiment_id,step7_experiment_label_ko,canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,y_true_mean,n_cell_lines,drug_name_norm,DRUG_NAME,TARGET,TARGET_PATHWAY,rank,rank_20260428_colon_v2,tier_20260428_colon_v2,tier_rationale_20260428_colon_v2,crc_clinical_tier,crc_clinical_tier_label_ko,crc_tier_evidence_source,rank_admet,drug_name,pred_ic50_mean_admet,target,target_pathway,smiles,safety_score,verdict,n_total_matches,n_exact,n_close_analog,n_analog,pains_alert,mw,logp,hbd,hba,tpsa,rotatable_bonds,admet_coverage,admet_category
1,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1808,1.1393122808035585,0.8842896628697595,-0.4083640513902578,3.639402749865355,1.2513804,35,topotecan,Topotecan,TOP1,DNA replication,27,27,Tier2,Approved outside CRC and under CRC study (indication expansion),2,"대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물",ensemble:step6_tier_20260428_colon_v2,27,Topotecan,1.1393122808035585,TOP1,DNA replication,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,7.5,PASS,10,6,3,1,True,421.45,1.85,2,7,104.89,3,0.4545454545454545,Candidate
2,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,2048,-1.6594675574451558,0.8887211268890233,-2.7013098666115463,1.06243229498815,-2.8993995,34,vinorelbine,Vinorelbine,Microtubule destabiliser,Mitosis,4,4,Tier2,Approved outside CRC and under CRC study (indication expansion),2,"대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물",ensemble:step6_tier_20260428_colon_v2,4,Vinorelbine,-1.6594675574451558,Microtubule destabiliser,Mitosis,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,7.25,PASS,10,6,0,4,False,778.95,4.75,2,11,133.87,7,0.4545454545454545,Candidate
3,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1004,-1.88130152959283,0.8877903561946269,-2.972125143163342,0.4396240209206846,-2.883335,32,vinblastine,Vinblastine,Microtubule destabiliser,Mitosis,3,3,Tier3,Not used/established for CRC in current protocol context,3,대장암에 전형적으로 쓰이지 않는(또는 미사용) 약물,ensemble:step6_tier_20260428_colon_v2,3,Vinblastine,-1.88130152959283,Microtubule destabiliser,Mitosis,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,7.0,PASS,12,9,2,1,False,810.99,3.99,3,12,154.1,7,0.5454545454545454,Candidate
4,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1088,1.071075002411201,0.8720221451415644,-0.1735170300590127,3.8072823915481657,3.7548714,35,irinotecan,Irinotecan,TOP1,DNA replication,24,24,Tier1,CRC approved drug,1,대장암(CRC) 승인 약물,ensemble:step6_tier_20260428_colon_v2,24,Irinotecan,1.071075002411201,TOP1,DNA replication,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,6.4,PASS,9,8,0,1,False,586.69,4.09,1,8,114.2,4,0.4090909090909091,Candidate
5,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1003,-0.2178194859610918,0.7263120858746933,-1.0421588202773562,1.931103465783504,-1.4908013,35,camptothecin,Camptothecin,TOP1,DNA replication,11,11,Tier4,Compound / requires further review,4,화합물·근거 부족·추가 확인이 필요한 약물,ensemble:step6_tier_20260428_colon_v2,11,Camptothecin,-0.2178194859610918,TOP1,DNA replication,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,6.25,PASS,5,3,0,2,False,348.36,2.08,1,5,81.42,1,0.2272727272727272,Candidate
6,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1016,-0.9397781208459692,0.7418608798334463,-2.0084161137890555,0.9926970667275864,2.0678022,34,temsirolimus,Temsirolimus,MTOR,PI3K/MTOR signaling,7,7,Tier2,Approved outside CRC and under CRC study (indication expansion),2,"대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물",ensemble:step6_tier_20260428_colon_v2,7,Temsirolimus,-0.9397781208459692,MTOR,PI3K/MTOR signaling,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,5.5,WARNING,7,3,0,4,False,1030.3,5.72,4,16,241.96,10,0.3181818181818182,Caution
7,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1084,-0.7914829007194344,0.7248989367182039,-1.8774746689476705,1.1935458202936435,-1.4873266,33,rapamycin,Rapamycin,MTORC1,PI3K/MTOR signaling,8,8,Tier2,Approved outside CRC and under CRC study (indication expansion),2,"대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물",ensemble:step6_tier_20260428_colon_v2,8,Rapamycin,-0.7914829007194344,MTORC1,PI3K/MTOR signaling,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC,5.5,WARNING,7,2,4,1,False,914.19,6.18,3,13,195.43,6,0.3181818181818182,Caution
8,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1034,0.0724530932993555,0.6390760274414361,-0.6902701993548904,2.1395217749132875,-2.5252082,35,staurosporine,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,14,14,Tier4,Compound / requires further review,4,화합물·근거 부족·추가 확인이 필요한 약물,ensemble:step6_tier_20260428_colon_v2,14,Staurosporine,0.0724530932993555,Broad spectrum kinase inhibitor,RTK signaling,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.25,WARNING,1,0,0,1,False,466.54,4.35,2,4,69.45,2,0.0454545454545454,Caution
9,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,1372,0.669847320967591,0.6657980351325283,-0.0865022981169466,3.049077499191077,-2.4655933,35,trametinib,Trametinib,"MEK1, MEK2",ERK MAPK signaling,16,16,Tier2,Approved outside CRC and under CRC study (indication expansion),2,"대장암 외 암종 승인, 대장암 적응증 확장·연구 중인 약물",ensemble:step6_tier_20260428_colon_v2,16,Trametinib,0.669847320967591,"MEK1, MEK2",ERK MAPK signaling,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,5.15,WARNING,2,2,0,0,False,615.4,3.94,2,5,107.13,5,0.0909090909090909,Caution
10,colon_v2_step7_admet22assay_choi_protocol,초이 프로토콜 22 assay ADMET(Tanimoto) 병합 후 PASS/WARNING 기준 Top15,2169,0.816394261630078,0.2891173576229351,0.5352720015635118,1.0728094745871872,4.1665077,4,azd6482,AZD6482,PI3Kbeta,PI3K/MTOR signaling,19,19,Tier4,Compound / requires further review,4,화합물·근거 부족·추가 확인이 필요한 약물,ensemble:step6_tier_20260428_colon_v2,19,AZD6482,0.816394261630078,PI3Kbeta,PI3K/MTOR signaling,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,5.15,WARNING,2,0,0,2,False,408.46,2.71,2,6,96.17,5,0.0909090909090909,Caution
