candidate_id,disease_id,drug_id,canonical_drug_id,drug_name,rank,tier,score,target,target_pathway,evidence_summary,canonical_smiles,source_file,source_row_number,raw_json,is_final_candidate
poolcand_a69392ba7f10cdd2,BRCA,1375,1375,Temozolomide,1,D,8.0,,,,Cn1nnc2c(C(N)=O)ncn2c1=O,BRCA_candidates_pool.csv,1,"{""Ames_risk"": ""high"", ""DILI_risk"": ""high"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""2"", ""admet_tier"": ""D"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1375"", ""canonical_smiles"": ""Cn1nnc2c(C(N)=O)ncn2c1=O"", ""clearance_or_metabolism_flag"": ""typical_cyp_max=0.325"", ""drug_name"": ""Temozolomide"", ""ev_composite_0_10"": ""8.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""low"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.9520230293273926"", ""permeability"": ""0.9976109266281128"", ""rank"": ""1"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-1.9824962615966797""}",true
poolcand_6e82f819d5d6a470,BRCA,1089,1089,Oxaliplatin,2,C,8.0,,,,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,BRCA_candidates_pool.csv,2,"{""Ames_risk"": ""high"", ""DILI_risk"": ""moderate"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""2"", ""admet_tier"": ""C"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1089"", ""canonical_smiles"": ""[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1"", ""clearance_or_metabolism_flag"": ""elevated_cyp_likelihood_max=0.880"", ""drug_name"": ""Oxaliplatin"", ""ev_composite_0_10"": ""8.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""low"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.3662447929382324"", ""permeability"": ""0.9378719329833984"", ""rank"": ""2"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-2.4797818660736084""}",true
poolcand_6e9006fe9fd8657b,BRCA,1806,1806,Oxaliplatin,3,C,8.0,,,,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,BRCA_candidates_pool.csv,3,"{""Ames_risk"": ""high"", ""DILI_risk"": ""moderate"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""2"", ""admet_tier"": ""C"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1806"", ""canonical_smiles"": ""[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1"", ""clearance_or_metabolism_flag"": ""elevated_cyp_likelihood_max=0.880"", ""drug_name"": ""Oxaliplatin"", ""ev_composite_0_10"": ""8.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""low"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.3662447929382324"", ""permeability"": ""0.9378719329833984"", ""rank"": ""3"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-2.4797818660736084""}",true
poolcand_4483ba2709e04581,BRCA,1507,1507,Ruxolitinib,4,C,5.0,,,,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,BRCA_candidates_pool.csv,4,"{""Ames_risk"": ""moderate"", ""DILI_risk"": ""high"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""4"", ""admet_tier"": ""C"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1507"", ""canonical_smiles"": ""N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1"", ""clearance_or_metabolism_flag"": ""elevated_cyp_likelihood_max=0.850"", ""drug_name"": ""Ruxolitinib"", ""ev_composite_0_10"": ""5.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""moderate"", ""hepatotoxicity_risk"": ""moderate"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=5.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.8280823826789856"", ""permeability"": ""0.999906361103058"", ""rank"": ""4"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-4.485034465789795""}",true
poolcand_3c5288e1ca5b961f,BRCA,1373,1373,Dabrafenib,5,D,4.0,,,,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BRCA_candidates_pool.csv,5,"{""Ames_risk"": ""low"", ""DILI_risk"": ""high"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""2"", ""admet_tier"": ""D"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1373"", ""canonical_smiles"": ""CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1"", ""clearance_or_metabolism_flag"": ""elevated_cyp_likelihood_max=0.977"", ""drug_name"": ""Dabrafenib"", ""ev_composite_0_10"": ""4.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""high"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=4.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.6830302476882935"", ""permeability"": ""0.99986732006073"", ""rank"": ""5"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-5.6069512367248535""}",false
poolcand_18ef061eab02221c,BRCA,1847,1847,BEN,6,A,3.0,,,,C1=CC=C(C=C1)C(=N)N,BRCA_candidates_pool.csv,6,"{""Ames_risk"": ""low"", ""DILI_risk"": ""low"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""0"", ""admet_tier"": ""A"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1847"", ""canonical_smiles"": ""C1=CC=C(C=C1)C(=N)N"", ""clearance_or_metabolism_flag"": ""typical_cyp_max=0.205"", ""drug_name"": ""BEN"", ""ev_composite_0_10"": ""3.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""low"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=A; merge ADMET with ev_composite_0_10=3.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.5859165191650391"", ""permeability"": ""0.8169221878051758"", ""rank"": ""6"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-0.5497685670852661""}",true
poolcand_584138ad88cf2f3f,BRCA,1073,1073,5-Fluorouracil,7,C,2.0,,,,FC1=CNC(=O)NC1=O,BRCA_candidates_pool.csv,7,"{""Ames_risk"": ""low"", ""DILI_risk"": ""high"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""1"", ""admet_tier"": ""C"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1073"", ""canonical_smiles"": ""FC1=CNC(=O)NC1=O"", ""clearance_or_metabolism_flag"": ""typical_cyp_max=0.287"", ""drug_name"": ""5-Fluorouracil"", ""ev_composite_0_10"": ""2.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""low"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=C; merge ADMET with ev_composite_0_10=2.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.873687744140625"", ""permeability"": ""0.9636324048042296"", ""rank"": ""7"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-1.2050069570541382""}",true
poolcand_9f9a3273e4b30d09,BRCA,1177,1177,Niraparib,8,D,2.0,,,,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,BRCA_candidates_pool.csv,8,"{""Ames_risk"": ""moderate"", ""DILI_risk"": ""high"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""4"", ""admet_tier"": ""D"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1177"", ""canonical_smiles"": ""NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12"", ""clearance_or_metabolism_flag"": ""typical_cyp_max=0.445"", ""drug_name"": ""Niraparib"", ""ev_composite_0_10"": ""2.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""high"", ""hepatotoxicity_risk"": ""high"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction."", ""oral_bioavailability"": ""0.808149516582489"", ""permeability"": ""0.9891203045845032"", ""rank"": ""8"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-3.240081787109375""}",false
poolcand_bf6a3b7aac47c2da,BRCA,1736,1736,Selumetinib,9,D,2.0,,,,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,BRCA_candidates_pool.csv,9,"{""Ames_risk"": ""high"", ""DILI_risk"": ""high"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""3"", ""admet_tier"": ""D"", ""cancer"": ""brca"", ""canonical_drug_id"": ""1736"", ""canonical_smiles"": ""Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21"", ""clearance_or_metabolism_flag"": ""elevated_cyp_likelihood_max=0.654"", ""drug_name"": ""Selumetinib"", ""ev_composite_0_10"": ""2.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""moderate"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction."", ""oral_bioavailability"": ""0.8678903579711914"", ""permeability"": ""0.9983040690422058"", ""rank"": ""9"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-4.353720664978027""}",false
poolcand_09cae2e162196169,BRCA,2438,2438,ascorbate (vitamin C),10,B,1.0,,,,C(C(C1C(=C(C(=O)O1)[O-])O)O)O,BRCA_candidates_pool.csv,10,"{""Ames_risk"": ""low"", ""DILI_risk"": ""moderate"", ""admet_engine"": ""rdkit_descriptors+admet_ai"", ""admet_engine_status"": ""ok"", ""admet_risk_flag_count"": ""1"", ""admet_tier"": ""B"", ""cancer"": ""brca"", ""canonical_drug_id"": ""2438"", ""canonical_smiles"": ""C(C(C1C(=C(C(=O)O1)[O-])O)O)O"", ""clearance_or_metabolism_flag"": ""typical_cyp_max=0.183"", ""drug_name"": ""ascorbate (vitamin C)"", ""ev_composite_0_10"": ""1.0"", ""graph_luad_caveat"": ""False"", ""hERG_risk"": ""low"", ""hepatotoxicity_risk"": ""low"", ""mandatory_caveat"": """", ""oncology_relaxed_interpretation"": ""Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=B; merge ADMET with ev_composite_0_10=1.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run."", ""oral_bioavailability"": ""0.7885450720787048"", ""permeability"": ""0.8658957481384277"", ""rank"": ""10"", ""rdkit_parse_status"": ""ok"", ""solubility"": ""-0.0235491283237934""}",false
