alias_id,canonical_drug_id,source_drug_id,alias_name,normalized_alias,alias_type
dalias_82c3d6f7cda74669,cdrug_03bbcc358333fe29,1629,ML323,ml323,source_drug
dalias_74dd07b3bd856e8b,cdrug_06622178d9ceb258,2169,AZD6482,azd6482,source_drug
dalias_29f8c95c822ac8c5,cdrug_07e5800d7654ee82,1936,Savolitinib,savolitinib,source_drug
dalias_b2dc1a2b5952e462,cdrug_09df56fea397fe63,1563,EPZ5676,epz5676,source_drug
dalias_dec89dc1960e940f,cdrug_0abcecf22edf1da7,CHEMBL4066193,ATINVICITINIB,atinvicitinib,source_drug
dalias_2d908cfa2a26d294,cdrug_0fd545cc40bef19b,CHEMBL3775234,CHEMBL3775234,chembl3775234,source_drug
dalias_1757d3a8060f06be,cdrug_14411daba423616d,1039,SL0101,sl0101,source_drug
dalias_0e647536760d5c1b,cdrug_14bc3bba5c9315c4,CHEMBL477772,Pazopanib,pazopanib,source_drug
dalias_24264f7e6cbca404,cdrug_18e3cf278c38ce2a,1372,Trametinib,trametinib,source_drug
dalias_344b7bde0ebb603d,cdrug_19bfedb68dfcc6d9,1401,AZD5438,azd5438,source_drug
dalias_25be3cae93b9e861,cdrug_1ac4a2d6c19d68f5,1051,Alisertib,alisertib,source_drug
dalias_5e9cf9258cc46b50,cdrug_1b002a0118c221e9,CHEMBL4789639,BMS-986202,bms-986202,source_drug
dalias_066ff1856f175a72,cdrug_1f309e1d1aaae0f9,1249,BMS-345541,bms-345541,source_drug
dalias_4627228e32986d95,cdrug_209ac767f05cbe80,1091,BMS-536924,bms-536924,source_drug
dalias_137c428ba68f0501,cdrug_20a9e92029833ac8,CHEMBL60367,CHEMBL60367,chembl60367,source_drug
dalias_1168fef8e5707c35,cdrug_20b83add6b9c4f21,1080,Paclitaxel,paclitaxel,source_drug
dalias_ff4fa04ea01ba7ec,cdrug_22a8c630c15b10fe,1073,5-Fluorouracil,5-fluorouracil,source_drug
dalias_92fab4b118c4ae4d,cdrug_258a26e1e68187f5,1059,AZD8055,azd8055,source_drug
dalias_e79b30c400cb5903,cdrug_25c95fa72ddae840,,LMP744,lmp744,evidence_only
dalias_f3bcbbe7b06e5038,cdrug_25eaec7308a97eee,CHEMBL1916483,CHEMBL1916483,chembl1916483,source_drug
dalias_b3e69bdd843468de,cdrug_265b3cb9e72545aa,1847,BEN,ben,source_drug
dalias_9c33e1e263cd9472,cdrug_2e9ab8a291ff1bc8,1817,Romidepsin,romidepsin,source_drug
dalias_9ecd3b32b5253a7f,cdrug_2ebf6143a4e9c068,CHEMBL910,EPOPROSTENOL,epoprostenol,source_drug
dalias_eb9cfbf1b628819f,cdrug_31e511f6bf320f2c,CHEMBL238804,SELEXIPAG,selexipag,source_drug
dalias_4c9d2a8293836c0e,cdrug_32e12f4a864d093b,1096,Tozasertib,tozasertib,source_drug
dalias_9964fec414293e97,cdrug_34152dace9ff98c9,1511,Epirubicin,epirubicin,source_drug
dalias_4ec17b201385c4db,cdrug_346ad922ccbc1f5b,1849,Sabutoclax,sabutoclax,source_drug
dalias_61990ace7f335275,cdrug_34b98cc5fbbbb5da,CHEMBL779,TADALAFIL,tadalafil,source_drug
dalias_9ff998ff2050a639,cdrug_36dba5df8466d8d4,1237,EPZ004777,epz004777,source_drug
dalias_c4fece97900fdb33,cdrug_371d0df931c65f11,1862,MG-132,mg-132,source_drug
dalias_864adbd7e5e5181d,cdrug_3a9a8e675b94f430,CHEMBL4163691,POSELTINIB,poseltinib,source_drug
dalias_bdb31292281b7b3c,cdrug_3de95f54a079fa92,1810,Mitoxantrone,mitoxantrone,source_drug
dalias_7b639a8beb9fa84e,cdrug_3ea906f99daca16c,CHEMBL957,BOSENTAN,bosentan,source_drug
dalias_9d72478923be4afd,cdrug_3edfd50510eef142,CHEMBL3900554,BMS-986142,bms-986142,source_drug
dalias_2f3bf9d513caa647,cdrug_403848db34080ce6,CHEMBL410215,CHEMBL410215,chembl410215,source_drug
dalias_7d6acc844a91b941,cdrug_437729aca9b5a6f7,,PD0325901,pd0325901,evidence_only
dalias_ead537dcf3267a44,cdrug_48c33381342f928d,CHEMBL2105759,BARICITINIB,baricitinib,source_drug
dalias_aeeeb4e6109f921b,cdrug_4a29d26f8861fbe6,CHEMBL4303389,NS-018,ns-018,source_drug
dalias_1ba48249e506e71f,cdrug_4ad83c742144b729,CHEMBL4759667,CHEMBL4759667,chembl4759667,source_drug
dalias_79f07dfb8873f19b,cdrug_4fccd7a69505f16f,CHEMBL304460,CHEMBL304460,chembl304460,source_drug
dalias_02c96bfefbca2b9c,cdrug_5171ad46a038c047,CHEMBL1873475,IBRUTINIB,ibrutinib,source_drug
dalias_f0ad0ee655322c5c,cdrug_52692989966fe3dc,1031,Elesclomol,elesclomol,source_drug
dalias_6a6d02786c636e53,cdrug_5327ddd6a8dfd4ff,CHEMBL3622821,UPADACITINIB,upadacitinib,source_drug
dalias_0e797c5b92230d71,cdrug_5330c9b8ef421a58,CHEMBL1916485,CHEMBL1916485,chembl1916485,source_drug
dalias_dc2cc47d9d58e4a0,cdrug_53c80a3c0d50123d,CHEMBL2035187,PACRITINIB,pacritinib,source_drug
dalias_3dbb49b110cb1091,cdrug_5481b56eb9cd688d,CHEMBL4650323,TOLEBRUTINIB,tolebrutinib,source_drug
dalias_cab3420756b3fa0e,cdrug_55e70c4ca380f295,1617,AZD5582,azd5582,source_drug
dalias_1a1679e745cfbb71,cdrug_575c6385c524f680,CHEMBL1287853,FEDRATINIB,fedratinib,source_drug
dalias_f126ab4b91e48471,cdrug_58450c4db13a14e1,1593,Entinostat,entinostat,source_drug
dalias_d47826c0ee310960,cdrug_5a6ce189f111e47c,CHEMBL221959,Tofacitinib,tofacitinib,source_drug
dalias_6d9770a3b72e62c9,cdrug_5b0d446d35d3790d,1191,Bortezomib,bortezomib,source_drug
dalias_1b6fe5007fc7f509,cdrug_5d6b2e1a477d01ae,CHEMBL603469,LESTAURTINIB,lestaurtinib,source_drug
dalias_2b06cc07f5906066,cdrug_5d6b2e1a477d01ae,1024,Lestaurtinib,lestaurtinib,source_drug
dalias_36ee940bd823aaf8,cdrug_5e0c687278b12bfc,CHEMBL9194,ATRASENTAN,atrasentan,source_drug
dalias_786a8e5894888409,cdrug_5e43b24a58c005d7,1086,BI-2536,bi-2536,source_drug
dalias_a5eaed82761de45c,cdrug_61a5e8e07ce664d1,1819,Docetaxel,docetaxel,source_drug
dalias_f3cea9a6ba207b4b,cdrug_62478e2e0df12fb4,CHEMBL192,SILDENAFIL,sildenafil,source_drug
dalias_82b3d68c41cfc545,cdrug_625e359eee8fc99b,1375,Temozolomide,temozolomide,source_drug
dalias_972106c4b4a96371,cdrug_633891f706d06abd,CHEMBL1916475,CHEMBL1916475,chembl1916475,source_drug
dalias_2401eff2c63773d0,cdrug_63bd67f24b93fc34,CHEMBL3936761,ZANUBRUTINIB,zanubrutinib,source_drug
dalias_12999122884496ab,cdrug_652bf5a33b201df2,CHEMBL294291,CHEMBL294291,chembl294291,source_drug
